"Prefijo";"Tipo";"Origen";"ca-es"
"an";"auténtico";;0
"de";"auténtico";;0
"i";"auténtico";;0
"circun";"auténtico";;0
"circum";"auténtico";;0
"entre";"auténtico";;0
"infra";"auténtico";;0
"pos";"auténtico";;0
"so";"auténtico";;0
"tras";"auténtico";;0
"vice";"auténtico";;0
"archi";"auténtico";;0
"bis";"auténtico";;0
"mini";"auténtico";;0
"mon";"auténtico";;0
"en";"auténtico";;0
"em";"auténtico";;0
"es";"auténtico";;0
"acui";"prefijoide";;0
"ad";"prefijoide";;0
"anglo";"prefijoide";;0
"audio";"prefijoide";;0
"centi";"prefijoide";;0
"cis";"prefijoide";;0
"cito";"prefijoide";;0
"com";"prefijoide";;0
"con";"prefijoide";;0
"cuadri";"prefijoide";;0
"dento";"prefijoide";;0
"di";"prefijoide";;0
"eco";"prefijoide";;0
"electro";"prefijoide";;0
"equi";"prefijoide";;0
"fago";"prefijoide";;0
"ferro";"prefijoide";;0
"galo";"prefijoide";;0
"hemi";"prefijoide";;0
"infra";"prefijoide";;0
"mili";"prefijoide";;0
"mio";"prefijoide";;0
"nano";"prefijoide";;0
"octo";"prefijoide";;0
"per";"prefijoide";;0
"proto";"prefijoide";;0
"an";"prefijoide";;0
"acanto";"prefijoide";;0
"acro";"prefijoide";;0
"adeno";"prefijoide";;0
"aero";"prefijoide";;0
"agro";"prefijoide";;0
"alo";"prefijoide";;0
"ana";"prefijoide";;0
"andro";"prefijoide";;0
"anemo";"prefijoide";;0
"anfi";"prefijoide";;0
"angio";"prefijoide";;0
"antropo";"prefijoide";;0
"arqueo";"prefijoide";;0
"astro";"prefijoide";;0
"baro";"prefijoide";;0
"biblio";"prefijoide";;0
"bio";"prefijoide";;0
"cardio";"prefijoide";;0
"cata";"prefijoide";;0
"cefalo";"prefijoide";;0
"clepto";"prefijoide";;0
"cosmo";"prefijoide";;0
"crio";"prefijoide";;0
"cripto";"prefijoide";;0
"cromo";"prefijoide";;0
"crono";"prefijoide";;0
"dactilo";"prefijoide";;0
"deca";"prefijoide";;0
"demo";"prefijoide";;0
"dermato";"prefijoide";;0
"dermo";"prefijoide";;0
"dia";"prefijoide";;0
"dodeca";"prefijoide";;0
"eco";"prefijoide";;0
"ecto";"prefijoide";;0
"endo";"prefijoide";;0
"eno";"prefijoide";;0
"eritro";"prefijoide";;0
"etno";"prefijoide";;0
"exo";"prefijoide";;0
"filo";"prefijoide";;0
"fisio";"prefijoide";;0
"fito";"prefijoide";;0
"fono";"prefijoide";;0
"foto";"prefijoide";;0
"galacto";"prefijoide";;0
"gastro";"prefijoide";;0
"geo";"prefijoide";;0
"geronto";"prefijoide";;0
"giga";"prefijoide";;0
"gineco";"prefijoide";;0
"gluco";"prefijoide";;0
"grafo";"prefijoide";;0
"helio";"prefijoide";;0
"hemato";"prefijoide";;0
"hemo";"prefijoide";;0
"hepato";"prefijoide";;0
"hepta";"prefijoide";;0
"hetero";"prefijoide";;0
"hexa";"prefijoide";;0
"hidro";"prefijoide";;0
"higro";"prefijoide";;0
"holo";"prefijoide";;0
"homo";"prefijoide";;0
"iso";"prefijoide";;0
"kili";"prefijoide";;0
"leuco";"prefijoide";;0
"lipo";"prefijoide";;0
"lito";"prefijoide";;0
"mega";"prefijoide";;0
"meso";"prefijoide";;0
"meta";"prefijoide";;0
"miria";"prefijoide";;0
"morfo";"prefijoide";;0
"necro";"prefijoide";;0
"nefro";"prefijoide";;0
"neumo";"prefijoide";;0
"neuro";"prefijoide";;0
"oligo";"prefijoide";;0
"onco";"prefijoide";;0
"onto";"prefijoide";;0
"ornito";"prefijoide";;0
"osteo";"prefijoide";;0
"paleo";"prefijoide";;0
"pan";"prefijoide";;0
"para";"prefijoide";;0
"pato";"prefijoide";;0
"penta";"prefijoide";;0
"piro";"prefijoide";;0
"podo";"prefijoide";;0
"poli";"prefijoide";;0
"proto";"prefijoide";;0
"psico";"prefijoide";;0
"quiro";"prefijoide";;0
"rino";"prefijoide";;0
"sarco";"prefijoide";;0
"seudo";"prefijoide";;0
"sin";"prefijoide";;0
"taqui";"prefijoide";;0
"tecno";"prefijoide";;0
"tera";"prefijoide";;0
"termo";"prefijoide";;0
"tetra";"prefijoide";;0
"xeno";"prefijoide";;0
"xero";"prefijoide";;0
"xilo";"prefijoide";;0
"zoo";"prefijoide";;0
