"NombreOriginal";"Tipo";"Raiz"
"Abel";"ETIM";"Raíz hebrea Hevel"
"Abili";"ETIM";"Raíz latina Abilius"
"Abilio";"ETIM";"Raíz latina Abilius"
"Abilio";"HIST";"Raíz latina Abilius."
"Abilius";"HIST";"Raíz latina Abilius."
"Abraão";"ETIM";"Raíz hebrea Avraham."
"Abraham";"ETIM";"Raíz hebrea Avraham"
"Abundi";"ETIM";"Raíz latina abundare"
"Abundio";"ETIM";"Raíz latina abundare"
"Acaci";"ETIM";"Raíz griega Akakios"
"Acacio";"ETIM";"Raíz griega Akakios"
"Aciscle";"ETIM";"Raíz griega Akisklos"
"Acisclo";"ETIM";"Raíz griega Akisklos"
"Adalberta";"ETIM";"Raíz germánica adal + berht"
"Adalinda";"ETIM";"Raíz germánica adal + lind"
"Adalric";"ETIM";"Raíz germánica adal + rik"
"Adalrico";"ETIM";"Raíz germánica adal + rik"
"Adalsinda";"ETIM";"Raíz germánica adal + swinth"
"Adaltruda";"ETIM";"Raíz germánica adal + trud"
"Adalvira";"ETIM";"Raíz germánica adal + wer"
"Adela";"ETIM";"Raíz germánica adal"
"Adelaida";"ETIM";"Raíz germánica adal + haid"
"Adelard";"ETIM";"Raíz germánica adal + hard"
"Adelardo";"ETIM";"Raíz germánica adal + hard"
"Adolf";"ETIM";"Raíz germánica adal + wulf"
"Adolfo";"ETIM";"Raíz germánica adal + wulf"
"Adosinda";"ETIM";"Raíz germánica hathu + swinth"
"Adossinda";"ETIM";"Raíz germánica hathu + swinth"
"Adrià";"ETIM";"Raíz latina Hadrianus"
"Adrián";"ETIM";"Raíz latina Hadrianus"
"Adriana";"ETIM";"Raíz latina Hadrianus"
"Adriano";"ETIM";"Raíz latina Hadrianus"
"Agustí";"ETIM";"Raíz latina augustus"
"Agustín";"ETIM";"Raíz latina augustus"
"Ainara";"ETIM";"Origen vasco"
"Aitor";"CULT";"Origen vasco moderno"
"Alba";"ETIM";"Raíz latina Albus Blanco, Amanecer"
"Albert";"ETIM";"Raíz germánica Adalbert"
"Alberto";"ETIM";"Raíz germánica Adalbert"
"Albí";"ETIM";"Raíz latina albus"
"Albino";"ETIM";"Raíz latina albus"
"Alceo";"ETIM";"Raíz griega Alkaios"
"Alceó";"ETIM";"Raíz griega Alkyon"
"Alceón";"ETIM";"Raíz griega Alkyon"
"Alceu";"ETIM";"Raíz griega Alkaios"
"Aleix";"ETIM";"Raíz griega Alexios"
"Alejandro";"ETIM";"Raíz griega Alexandros"
"Alejo";"ETIM";"Raíz griega Alexios"
"Alexandre";"ETIM";"Raíz griega Alexandros"
"Alfons";"ETIM";"Raíz germánica"
"Alfonso";"ETIM";"Raíz germánica"
"Alicia";"ETIM";"Raíz germánica Adalheidis"
"Alícia";"ETIM";"Raíz germánica Adalheidis"
"Alipi";"ETIM";"Raíz griega Alypios"
"Alipia";"ETIM";"Raíz griega Alypios"
"Alípia";"ETIM";"Raíz griega Alypios"
"Alipio";"ETIM";"Raíz griega Alypios"
"Alodia";"ETIM";"Raíz germánica alja + od"
"Alòdia";"ETIM";"Raíz germánica alja + od"
"Alpidi";"ETIM";"Raíz latina Alpidus"
"Alpidia";"ETIM";"Raíz latina Alpidia"
"Alpídia";"ETIM";"Raíz latina Alpidia"
"Alpidio";"ETIM";"Raíz latina Alpidus"
"Álvar";"ETIM";"Raíz germánica"
"Álvaro";"ETIM";"Raíz germánica"
"Amabilia";"ETIM";"Raíz latina amabilis"
"Amado";"ETIM";"Raíz latina amatus"
"Amaia";"CULT";"Origen vasco"
"Amalia";"ETIM";"Raíz germánica amal"
"Amàlia";"ETIM";"Raíz germánica amal"
"Amanci";"ETIM";"Raíz latina amans"
"Amancio";"ETIM";"Raíz latina amans"
"Amand";"ETIM";"Raíz latina amandus"
"Amando";"ETIM";"Raíz latina amandus"
"Amat";"ETIM";"Raíz latina amatus"
"Ambròs";"ETIM";"Raíz griega ambrosios"
"Ambrosio";"ETIM";"Raíz griega ambrosios"
"Amelia";"ETIM";"Raíz germánica Amal"
"Amèlia";"ETIM";"Raíz germánica Amal"
"Ana";"ETIM";"Raíz hebrea Hannah"
"Andrés";"ETIM";"Raíz Andreas"
"Andreu";"ETIM";"Raíz Andreas"
"Anfiloqui";"ETIM";"Raíz griega Amphilochios"
