en-gb;ca-ib;ca-va;ca;es;gl;eu;pt-eu;pt-br;en-us;en-us-af;fr
Aaron;Aaró;Aaró;Aaró;Aarón;Aarón;Aron;Arão;Arão;Aaron;Aron;Aaron
Abigail;Abigail;Abigail;Abigail;Abigail;Abigail;Abigail;Abigail;Abigail;Abigail;Abbigail;Abigaïl
Ada;Ada;Ada;Ada;Ada;Ada;Ada;Ada;Ada;Ada;Adah;Ada
Adam;Adam;Adam;Adam;Adán;Adán;Adan;Adão;Adão;Adam;Adam;Adam
Adeline;Adelina;Adelina;Adelina;Adelina;Adelina;Adeline;Adelina;Adelina;Adeline;Adalene;Adeline
Adrian;Adrià;Adrià;Adrià;Adrián;Adrián;Adrian;Adriano;Adriano;Adrian;Adreean;Adrien
Agnes;Inés;Inés;Inés;Inés;Inés;Inese;Inês;Inês;Agnes;Nessie;Agnès
Aidan;Aidan;Aidan;Aidan;Aidán;Aidan;Aidan;Aidan;Aidan;Aidan;Ayden;Aidan
Aileen;Elena;Elena;Elena;Elena;Helena;Elene;Helena;Helena;Aileen;Alene;Hélène
Aisha;Aisha;Aisha;Aisha;Aisha;Aisha;Aisha;Aixa;Aícha;Aisha;Ayissha;Aïcha
Alan;Alà;Alà;Alà;Alan;Alán;Alan;Alano;Alano;Alan;Alain;Alain
Albert;Albert;Albert;Albert;Alberto;Alberto;Albert;Alberto;Alberto;Albert;Al;Albert
Alex;Àlex;Àlex;Àlex;Álex;Alex;Alex;Alex;Alex;Alex;Alex;Alex
Alexander;Alexandre;Alexandre;Alexandre;Alejandro;Alexandre;Alexandre;Alexandre;Alexandre;Alexander;Zavier;Alexandre
Alexandra;Alexandra;Alexandra;Alexandra;Alexandra;Alexandra;Alexandra;Alexandra;Alexandra;Alexandra;Zandra;Alexandra
Alfred;Alfred;Alfred;Alfred;Alfredo;Alfredo;Alfredo;Alfredo;Alfredo;Alfred;Alfie;Alfred
Alice;Alícia;Alícia;Alícia;Alicia;Alicia;Alize;Alícia;Alícia;Alice;Alyce;Alice
Alicia;Alícia;Alícia;Alícia;Alicia;Alicia;Alize;Alícia;Alícia;Alicia;Lish;Alice
Alison;Alícia;Alícia;Alícia;Alicia;Alicia;Alize;Alícia;Alícia;Alison;Alisoun;Alison
Amanda;Amanda;Amanda;Amanda;Amanda;Amanda;Amanda;Amanda;Amanda;Amanda;Manda;Amanda
Amber;Àmbar;Àmbar;Àmbar;Ámbar;Ámbar;Anbar;Âmbar;Âmbar;Amber;Amber;Ambre
Amelia;Amàlia;Amàlia;Amàlia;Amalia;Amalia;Amale;Amélia;Amélia;Amelia;Amala;Amélie
Amy;Aimée;Aimée;Aimée;Amada;Amada;Amada;Amada;Amada;Amy;Aimee;Aimée
Andrew;Andreu;Andreu;Andreu;Andrés;André;Ander;André;André;Andrew;Andre;André
Andy;Andreu;Andreu;Andreu;Andrés;André;Ander;André;André;Andy;Drew;André
Angela;Àngela;Àngela;Àngela;Ángela;Ánxela;Aingeru;Ângela;Ângela;Angela;Angie;Angèle
Ann;Aina;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Ann;Quiana;Anne
Anna;Aina;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Anna;Quiana;Anne
Anne;Aina;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Anne;Quiana;Anne
Annie;Aina;Anna;Anna;Anita;Anita;Anitxo;Ana;Ana;Annie;Anika;Anne
Anthony;Antoni;Antoni;Antoni;Antonio;Antón;Antoni;António;Antônio;Anthony;Antwan;Antoine
April;Abril;Abril;Abril;Abril;Abril;Apiril;Abril;Abril;April;April;Avril
Ariana;Ariana;Ariana;Ariana;Ariana;Ariana;Ariane;Ariana;Ariana;Ariana;Aryana;Ariane
Ariel;Ariel;Ariel;Ariel;Ariel;Ariel;Ariel;Ariel;Ariel;Ariel;Ariel;Ariel
Arthur;Artur;Artur;Artur;Arturo;Artur;Artur;Artur;Artur;Arthur;Art;Arthur
Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;Ashlee;Ashley
Audrey;Audrey;Audrey;Audrey;Audrey;Audrey;Audrey;Audrey;Audrey;Audrey;Audree;Audrey
Austin;Agustí;Agustí;Agustí;Agustín;Agostiño;Augustin;Agostinho;Agostinho;Austin;Austin;Augustin
Avery;Avery;Avery;Avery;Avery;Avery;Avery;Avery;Avery;Avery;Avery;Avery
Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;Baylee;Bailey
Barbara;Bàrbara;Bàrbara;Bàrbara;Bárbara;Bárbara;Barbara;Bárbara;Bárbara;Barbara;Barbarella;Barbe
Beatrice;Beatriu;Beatriu;Beatriu;Beatriz;Beatriz;Batirtze;Beatriz;Beatriz;Beatrice;Beatrice;Béatrice
Belinda;Belinda;Belinda;Belinda;Belinda;Belinda;Belinda;Belinda;Belinda;Belinda;Belinda;Belinde
