eu;ca-ib;ca-va;ca;es;gl;pt-eu;pt-br;en-gb;en-us;en-us-af;fr
Abar;Ram;Ram;Ram;Ramo;Ramo;Ramo;Ramo;Branch;Branch;Abar;Rameau
Abarne;Ramos;Ramos;Ramos;Ramos;Ramos;Ramos;Ramos;Ramos;Ramos;Barne;Rameaux
Abelko;Abel;Abel;Abel;Abel;Abel;Abel;Abel;Abel;Abel;Abel;Abel
Adei;Respecte;Respecte;Respecte;Respeto;Respecto;Respeito;Respeito;Respect;Respect;Adey;Respect
Adin;Edat;Edat;Edat;Edad;Idade;Idade;Idade;Age;Age;Adin;Âge
Adur;Sort;Sort;Sort;Suerte;Sorte;Sorte;Sorte;Luck;Luck;Adur;Chance
Ageda;Àgueda;Àgueda;Àgueda;Águeda;Águeda;Águeda;Águeda;Agatha;Agatha;Aggie;Agathe
Ager;Manifest;Manifest;Manifest;Manifiesto;Manifesto;Manifesto;Manifesto;Manifest;Manifest;Ager;Manifeste
Agin;Teix;Teix;Teix;Tejo;Teixo;Teixo;Teixo;Yew;Yew;Agin;If
Aguxtin;Agustí;Agustí;Agustí;Agustín;Agostiño;Agostinho;Agostinho;Augustine;Augustine;August;Augustin
Aimar;Aimar;Aimar;Aimar;Aimar;Aimar;Aimar;Aimar;Aimar;Aimar;Aimar;Aimar
Ainara;Oreneta;Oreneta;Oreneta;Golondrina;Andoriña;Andorinha;Andorinha;Swallow;Swallow;Ainara;Hirondelle
Ainhoa;Ainhoa;Ainhoa;Ainhoa;Ainhoa;Ainhoa;Ainhoa;Ainhoa;Ainhoa;Ainhoa;Ainhoa;Ainhoa
Aintzane;Glòria;Glòria;Glòria;Gloria;Gloria;Glória;Glória;Gloria;Gloria;Glo;Gloire
Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor
Aketza;Aketza;Aketza;Aketza;Aketza;Aketza;Aketza;Aketza;Aketza;Aketza;Aketza;Aketza
Alaia;Alegre;Alegre;Alegre;Alegre;Alegre;Alegre;Alegre;Joy;Joy;Alayah;Joie
Alain;Alà;Alà;Alà;Alan;Alán;Alano;Alano;Alan;Alan;Alain;Alain
Alaine;Alana;Alana;Alana;Alana;Alana;Alana;Alana;Alana;Alana;Alaina;Alaine
Alar;Alar;Alar;Alar;Alar;Alar;Alar;Alar;Alar;Alar;Alar;Alar
Alatz;Miracle;Miracle;Miracle;Milagro;Milagre;Milagre;Milagre;Miracle;Miracle;Alatz;Miracle
