fr;ca-ib;ca-va;ca;es;gl;eu;pt-eu;pt-br;en_gb;en-us;en-us-af
Achille;Aquil·les;Aquil·les;Aquil·les;Aquiles;Aquiles;Akiles;Aquiles;Aquiles;Achilles;Achilles;Achilles
Adalbert;Adalbert;Adalbert;Adalbert;Adalberto;Adalberto;Adalberto;Adalberto;Adalberto;Adalbert;Adalbert;Adalbert
Adèle;Adela;Adela;Adela;Adela;Adela;Adela;Adela;Adela;Adela;Adela;Adelle
Adeline;Adelina;Adelina;Adelina;Adelina;Adelina;Adeline;Adelina;Adelina;Adeline;Adeline;Adalene
Adolphe;Adolf;Adolf;Adolf;Adolfo;Adolfo;Adolfo;Adolfo;Adolfo;Adolph;Adolph;Adolph
Adrien;Adrià;Adrià;Adrià;Adrián;Adrián;Adrian;Adriano;Adriano;Adrian;Adrian;Adreean
Adrienne;Adriana;Adriana;Adriana;Adriana;Adriana;Adriane;Adriana;Adriana;Adriana;Adriana;Audriana
Agneline;Anhelina;Anhelina;Anhelina;Angelina;Anxelina;Aingeru;Angelina;Angelina;Angelina;Angelina;Anjelina
Agnès;Inés;Inés;Inés;Inés;Inés;Inese;Inês;Inês;Agnes;Agnes;Nessie
Aimé;Amat;Amat;Amat;Amado;Amado;Amado;Amado;Amado;Amyas;Amyas;Aime
Aimée;Amada;Amada;Amada;Amada;Amada;Amada;Amada;Amada;Amy;Amy;Aimee
Alain;Alà;Alà;Alà;Alan;Alán;Alan;Alano;Alano;Alan;Alan;Alain
Alban;Albà;Albà;Albà;Albán;Albán;Alban;Albano;Albano;Alban;Alban;Alban
Albert;Albert;Albert;Albert;Alberto;Alberto;Albert;Alberto;Alberto;Albert;Albert;Al
Alberte;Alberta;Alberta;Alberta;Alberta;Alberta;Alberte;Alberta;Alberta;Alberta;Alberta;Alberta
Albin;Albí;Albí;Albí;Albino;Albino;Albin;Albino;Albino;Albin;Albin;Alvin
Alexandre;Alexandre;Alexandre;Alexandre;Alejandro;Alexandre;Alexandre;Alexandre;Alexandre;Alexander;Alexander;Zavier
Alexandrine;Alexandrina;Alexandrina;Alexandrina;Alejandrina;Alexandrina;Alexandrine;Alexandrina;Alexandrina;Alexandrina;Alexandrina;Zandrine
Alice;Alícia;Alícia;Alícia;Alicia;Alicia;Alize;Alícia;Alícia;Alice;Alice;Alyce
Aliénor;Elionor;Elionor;Elionor;Leonor;Leonor;Leonor;Leonor;Leonor;Eleanor;Eleanor;Nora
Aline;Aline;Aline;Aline;Aline;Aline;Alis;Aline;Aline;Aline;Aline;Alene
Alizée;Alícia;Alícia;Alícia;Alicia;Alicia;Alize;Alícia;Alícia;Alice;Alice;Alyssa
Aloïs;Lluís;Lluís;Lluís;Luis;Luís;Koldobika;Luís;Luís;Louis;Louis;Louie
Amandine;Amantina;Amantina;Amantina;Amantina;Amantina;Amandine;Amantina;Amantina;Amandine;Amandine;Amandine
Amaury;Amalric;Amalric;Amalric;Amalarico;Amalarico;Amalariko;Amalarico;Amalarico;Amalric;Amalric;Amaury
Ambre;Àmbar;Àmbar;Àmbar;Ámbar;Ámbar;Anbar;Âmbar;Âmbar;Amber;Amber;Amber
Ambroise;Ambròs;Ambròs;Ambròs;Ambrosio;Ambrosio;Anbros;Ambrósio;Ambrósio;Ambrose;Ambrose;Ambrose
Amélie;Amàlia;Amàlia;Amàlia;Amalia;Amalia;Amale;Amélia;Amélia;Amelia;Amelia;Amala
Anaëlle;Anna;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Ann;Ann;Quiana
Anaïs;Aina;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Anne;Anna;Quiana
Anaïse;Aina;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Anne;Anna;Quiana
Anaïssa;Aina;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Anne;Anna;Quiana
Anatole;Anatoli;Anatoli;Anatoli;Anatolio;Anatolio;Anatoli;Anatólio;Anatólio;Anatole;Anatole;Anatole
André;Andreu;Andreu;Andreu;Andrés;André;Ander;André;André;Andrew;Andrew;Andre
Andrée;Andrea;Andrea;Andrea;Andrea;Andrea;Andere;Andreia;Andreia;Andrea;Andrea;Andreatta
Angèle;Àngela;Àngela;Àngela;Ángela;Ánxela;Aingeru;Ângela;Ângela;Angela;Angela;Angie
Angélique;Angèlica;Angèlica;Angèlica;Angélica;Anxélica;Angélica;Angélica;Angélica;Angelica;Angelica;Angelique
Annabelle;Anabel;Anabel;Anabel;Anabel;Anabel;Anabel;Anabela;Anabela;Annabelle;Annabelle;Annabelle
Anne;Aina;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Ann;Anna;Quiana
Annette;Anita;Anita;Anita;Anita;Anita;Anitxo;Anita;Anita;Annie;Annie;Anika
Anselme;Anselm;Anselm;Anselm;Anselmo;Anselmo;Antselmo;Anselmo;Anselmo;Anselm;Anselm;Ansel
Antoine;Antoni;Antoni;Antoni;Antonio;Antón;Antoni;António;Antônio;Anthony;Anthony;Antwan
