gl;ca-ib;ca-va;ca;es;eu;pt-eu;pt-br;en-gb;en-us;en-us-af;fr
Aarón;Aaró;Aaró;Aaró;Aarón;Aron;Arão;Arão;Aaron;Aaron;Aron;Aaron
Adela;Adela;Adela;Adela;Adela;Adele;Adela;Adela;Adela;Adela;Adelle;Adèle
Afonso;Alfons;Alfons;Alfons;Alfonso;Alfontso;Afonso;Afonso;Alphonse;Alphonse;Alphonzo;Alphonse
Alberto;Albert;Albert;Albert;Alberto;Albert;Alberto;Alberto;Albert;Albert;Al;Albert
Aldara;Ilduara;Ilduara;Ilduara;Ilduara;Aldara;Aldara;Aldara;Aldara;Aldara;Aldara;Aldara
Amalia;Amàlia;Amàlia;Amàlia;Amalia;Amale;Amália;Amália;Amalia;Amalia;Amalia;Amélie
Amancio;Amanci;Amanci;Amanci;Amancio;Amantzi;Amâncio;Amâncio;Amantius;Amantius;Amancio;Amance
Amaro;Amar;Amar;Amar;Amaro;Amara;Amaro;Amaro;Amaro;Amaro;Amaro;Amare
André;Andreu;Andreu;Andreu;Andrés;Ander;André;André;Andrew;Andrew;Andre;André
Andrea;Andrea;Andrea;Andrea;Andrea;Andere;Andreia;Andreia;Andrea;Andrea;Andreatta;Andrée
Anselmo;Anselm;Anselm;Anselm;Anselmo;Antselmo;Anselmo;Anselmo;Anselm;Anselm;Ansel;Anselme
Antón;Antoni;Antoni;Antoni;Antonio;Antoni;António;Antônio;Anthony;Anthony;Antwan;Antoine
Ánxela;Àngela;Àngela;Àngela;Ángela;Aingeru;Ângela;Ângela;Angela;Angela;Angie;Angèle
Anxo;Àngel;Àngel;Àngel;Ángel;Aingeru;Ângelo;Ângelo;Angel;Angel;Angel;Ange
Arsenio;Arseni;Arseni;Arseni;Arsenio;Arsenio;Arsénio;Arsênio;Arsenius;Arsenius;Arsenio;Arsène
Artai;Artai;Artai;Artai;Artai;Artai;Artai;Artai;Artai;Artai;Artai;Artai
Aurea;Àurea;Àurea;Àurea;Aurea;Aure;Áurea;Áurea;Aurea;Aurea;Aurelia;Aurée
Baldomero;Baldomer;Baldomer;Baldomer;Baldomero;Baldomer;Baldomero;Baldomero;Baldomero;Baldomero;Bal;Baldomère
Basilisa;Basilissa;Basilissa;Basilissa;Basilisa;Basilise;Basilisa;Basilisa;Basilissa;Basilissa;Basilisa;Basilisse
Benedita;Benedicta;Benedicta;Benedicta;Benita;Benedikte;Benedita;Benedita;Benedicta;Benedicta;Benita;Béatrice
Benedito;Benet;Benet;Benet;Benito;Benedit;Benedito;Benedito;Benedict;Benedict;Ben;Benoît
Bieita;Benedicta;Benedicta;Benedicta;Benita;Benedikte;Benedita;Benedita;Benedicta;Benedicta;Benita;Bénédicte
Bieito;Benet;Benet;Benet;Benito;Benedit;Benedito;Benedito;Benedict;Benedict;Ben;Benoît
