pt-br;ca-ib;ca-va;ca;es;gl;eu;pt-eu;en_gb;en-us;en-us-af;fr
Alexandre;Alexandre;Alexandre;Alexandre;Alejandro;Alexandre;Alexandre;Alexandre;Alexander;Alexander;Zavier;Alexandre
Aline;Aline;Aline;Aline;Aline;Aline;Alis;Aline;Aline;Aline;Alene;Aline
Ana;Aina;Anna;Anna;Ana;Ana;Ane;Ana;Anne;Anna;Quiana;Anne
André;Andreu;Andreu;Andreu;Andrés;André;Ander;André;Andrew;Andrew;Andre;André
Antônio;Antoni;Antoni;Antoni;Antonio;Antón;Antoni;António;Anthony;Anthony;Antwan;Antoine
Beatriz;Beatriu;Beatriu;Beatriu;Beatriz;Beatriz;Batirtze;Beatriz;Beatrice;Beatrice;Beatrice;Béatrice
Bianca;Blanca;Blanca;Blanca;Blanca;Branca;Zuria;Branca;Bianca;Bianca;Bianca;Blanche
Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Brune
Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno
Caio;Gai;Gai;Gai;Cayo;Caio;Kaio;Caio;Caius;Caius;Caio;Caïus
Camila;Camila;Camila;Camila;Camila;Camila;Kamile;Camila;Camilla;Camilla;Camila;Camille
Carolina;Carolina;Carolina;Carolina;Carolina;Carolina;Karoline;Carolina;Caroline;Caroline;Carrie;Caroline
Catarina;Catalina;Caterina;Caterina;Catalina;Catarina;Katalin;Catarina;Catherine;Catherine;Kayla;Catherine
Cauã;Cauã;Cauã;Cauã;Cauã;Cauã;Kaua;Cauã;Kaua;Kaua;Kauan;Cauã
Cláudia;Clàudia;Clàudia;Clàudia;Claudia;Claudia;Klaudia;Cláudia;Claudia;Claudia;Claudette;Claude
Danilo;Danil;Danil;Danil;Danilo;Danilo;Danilo;Danilo;Danilo;Danilo;Danilo;Danilo
Davi;David;David;David;David;David;Davidi;David;David;David;Dave;David
Débora;Dèbora;Dèbora;Dèbora;Débora;Débora;Debore;Débora;Deborah;Deborah;Debra;Déborah
Diego;Dídac;Dídac;Dídac;Diego;Diego;Diegotxo;Diogo;Diego;Diego;Diego;Diego
Diogo;Dídac;Dídac;Dídac;Diego;Diego;Diegotxo;Diogo;Diego;Diego;Diego;Diego
Eduardo;Eduard;Eduard;Eduard;Eduardo;Eduardo;Eduard;Eduardo;Edward;Edward;Eddie;Édouard
Elaine;Helena;Elena;Elena;Elena;Helena;Elene;Helena;Elaine;Elaine;Lany;Hélène
Enzo;Enzo;Enzo;Enzo;Enzo;Enzo;Enzo;Enzo;Enzo;Enzo;Enzo;Enzo
Fabiana;Fabiana;Fabiana;Fabiana;Fabiana;Fabiana;Fabiane;Fabiana;Fabiana;Fabiana;Fabiana;Fabienne
Fabrício;Fabrici;Fabrici;Fabrici;Fabricio;Fabricio;Fabrizio;Fabrício;Fabricius;Fabricio;Fabricio;Fabrice
Fátima;Fàtima;Fàtima;Fàtima;Fátima;Fátima;Fatima;Fátima;Fatima;Fatima;Fatima;Fatima
Felipe;Felip;Felip;Felip;Felipe;Filipe;Felipe;Filipe;Philip;Philip;Phil;Philippe
Fernanda;Ferranda;Ferranda;Ferranda;Fernanda;Fernanda;Erranda;Fernanda;Fernanda;Fernanda;Fernanda;Fernande
Francisco;Francesc;Francesc;Francesc;Francisco;Francisco;Frantzisko;Francisco;Francis;Francis;Frank;François
Gabriel;Gabriel;Gabriel;Gabriel;Gabriel;Gabriel;Gabirel;Gabriel;Gabriel;Gabriel;Gabe;Gabriel
Gabriela;Gabriela;Gabriela;Gabriela;Gabriela;Gabriela;Gabirele;Gabriela;Gabriela;Gabriela;Gaby;Gabrielle
Gustavo;Gustau;Gustau;Gustau;Gustavo;Gustavo;Gustabo;Gustavo;Gustav;Gustave;Gus;Gustave
Heitor;Hèctor;Hèctor;Hèctor;Héctor;Héitor;Hektor;Heitor;Hector;Hector;Hector;Hector
Henrique;Enric;Enric;Enric;Enrique;Henrique;Endrika;Henrique;Henry;Henry;Hank;Henri
Iago;Jaume;Jaume;Jaume;Santiago;Iago;Jakue;Tiago;James;James;Jamal;Jacques
Igor;Igor;Igor;Igor;Igor;Igor;Igor;Igor;Igor;Igor;Igor;Igor
Isabela;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabella;Isabella;Latoya;Isabelle
Jéssica;Jèssica;Jèssica;Jèssica;Jessica;Jessica;Jesika;Jéssica;Jessica;Jessica;Jazzy;Jessica
Joana;Joana;Joana;Joana;Juana;Xoana;Jone;Joana;Joan;Jane;Shanice;Jeanne
João;Joan;Joan;Joan;Juan;Xoán;Jon;João;John;John;Deshawn;Jean
Jorge;Jordi;Jordi;Jordi;Jorge;Xurxo;Gorka;Jorge;George;George;Georgethon;Georges
José;Josep;Josep;Josep;José;Xosé;Joseba;José;Joseph;Joseph;Joe;Joseph
Juliana;Juliana;Juliana;Juliana;Juliana;Juliana;Juliane;Juliana;Juliana;Juliana;Juliana;Julienne
Larissa;Larissa;Larissa;Larissa;Larissa;Larissa;Larisa;Larissa;Larissa;Larissa;Larissa;Larissa
Leonardo;Lleonard;Lleonard;Lleonard;Leonardo;Leonardo;Leonardo;Leonardo;Leonard;Leonard;Leo;Léonard
Letícia;Letícia;Letícia;Letícia;Leticia;Leticia;Letizia;Letícia;Letitia;Letitia;Letty;Laetitia
Luana;Luana;Luana;Luana;Luana;Luana;Luana;Luana;Luana;Luana;Luana;Luana
Lucas;Lluc;Lluc;Lluc;Lucas;Lucas;Luken;Lucas;Luke;Luke;Luken;Luc
Luís;Lluís;Lluís;Lluís;Luis;Lois;Koldobika;Luís;Louis;Louis;Louie;Louis
Madalena;Magdalena;Magdalena;Magdalena;Magdalena;Madalena;Maialen;Madalena;Magdalene;Magdalene;Maddie;Madeleine
Manoel;Manel;Manel;Manel;Manuel;Manuel;Imanol;Manuel;Manuel;Manuel;Manny;Manuel
Marcelo;Marcel;Marcel;Marcel;Marcelo;Marcelo;Martzelo;Marcelo;Marcel;Marcel;Marcelo;Marcel
Maria;Maria;Maria;Maria;María;María;Maria;Maria;Mary;Mary;Tamika;Marie
Mariana;Mariana;Mariana;Mariana;Mariana;Mariana;Mariane;Mariana;Marian;Marian;Marianne;Marianne
Matheus;Mateu;Mateu;Mateu;Mateo;Mateu;Mateo;Mateus;Matthew;Matthew;Matt;Matthieu
Maurício;Maurici;Maurici;Maurici;Mauricio;Mauricio;Maurizio;Maurício;Maurice;Maurice;Maurice;Maurice
Michele;Miquela;Miquela;Miquela;Miguela;Miguela;Mikele;Micaela;Michaela;Michaela;Makayla;Michèle
Miguel;Miquel;Miquel;Miquel;Miguel;Miguel;Mikel;Miguel;Michael;Michael;Micheal;Michel
