pt-eu;ca-ib;ca-va;ca;es;gl;eu;pt-br;en_gb;en-us;en-us-af;fr
Adriana;Adriana;Adriana;Adriana;Adriana;Adriana;Adriane;Adriana;Adriana;Adriana;Audriana;Adrienne
Adriano;Adrià;Adrià;Adrià;Adrián;Adrián;Adrian;Adriano;Adrian;Adrian;Adreean;Adrien
Afonso;Alfons;Alfons;Alfons;Alfonso;Afonso;Alfontso;Afonso;Alphonse;Alphonse;Alphonzo;Alphonse
Alcina;Alcina;Alcina;Alcina;Alcina;Alcina;Alcina;Alcina;Alcina;Alcina;Alcina;Alcine
Alda;Alda;Alda;Alda;Alda;Alda;Alde;Alda;Alda;Alda;Alda;Alde
Álvaro;Àlvar;Àlvar;Àlvar;Álvaro;Álvaro;Albaro;Álvaro;Alvaro;Alvaro;Alvaro;Alvare
Alzira;Alzira;Alzira;Alzira;Alzira;Alzira;Alzira;Alzira;Alzira;Alzira;Alzira;Alzire
Amaro;Amar;Amar;Amar;Amaro;Amaro;Amara;Amaro;Amaro;Amaro;Amaro;Amare
Amélia;Amàlia;Amàlia;Amàlia;Amalia;Amalia;Amale;Amélia;Amelia;Amelia;Amala;Amélie
Américo;Amèric;Amèric;Amèric;Américo;Américo;Ameriko;Américo;Americus;Americo;Americus;Aymeric
Ana;Aina;Anna;Anna;Ana;Ana;Ane;Ana;Anne;Anna;Quiana;Anne
André;Andreu;Andreu;Andreu;Andrés;André;Ander;André;Andrew;Andrew;Andre;André
Andreia;Andrea;Andrea;Andrea;Andrea;Andrea;Andere;Andreia;Andrea;Andrea;Andreatta;Andrée
Ângela;Àngela;Àngela;Àngela;Ángela;Ánxela;Aingeru;Ângela;Angela;Angela;Angie;Angèle
Anselmo;Anselm;Anselm;Anselm;Anselmo;Anselmo;Antselmo;Anselmo;Anselm;Anselm;Ansel;Anselme
António;Antoni;Antoni;Antoni;Antonio;Antón;Antoni;Antônio;Anthony;Anthony;Antwan;Antoine
Artur;Artur;Artur;Artur;Arturo;Artur;Artur;Artur;Arthur;Arthur;Art;Arthur
Augusto;August;August;August;Augusto;Augusto;Augusto;Augusto;Augustus;August;August;Auguste
Aurora;Aurora;Aurora;Aurora;Aurora;Aurora;Goizargi;Aurora;Aurora;Aurora;Rora;Aurore
Baltasar;Baltasar;Baltasar;Baltasar;Baltasar;Baltasar;Baltasar;Baltasar;Balthazar;Balthazar;Balthazar;Balthazar
Bárbara;Bàrbara;Bàrbara;Bárbara;Bárbara;Bárbara;Barbara;Bárbara;Barbara;Barbara;Barbarella;Barbe
Bartolomeu;Bartomeu;Bartomeu;Bartomeu;Bartolomé;Bartolomeu;Bartolo;Bartolomeu;Bartholomew;Bartholomew;Bart;Barthélemy
Beatriz;Beatriu;Beatriu;Beatriu;Beatriz;Beatriz;Batirtze;Beatriz;Beatrice;Beatrice;Beatrice;Béatrice
Benedita;Benedicta;Benedicta;Benedicta;Benita;Benedita;Benedikte;Benedita;Benedicta;Benedicta;Benita;Bénédicte
Bento;Benet;Benet;Benet;Benito;Bieito;Benedit;Bento;Benedict;Benedict;Ben;Benoît
Bernardo;Bernat;Bernat;Bernat;Bernardo;Bernardo;Bernat;Bernardo;Bernard;Bernard;Bernie;Bernard
Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Brune
Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno
Camilo;Camil;Camil;Camil;Camilo;Camilo;Kamilo;Camilo;Camillus;Camille;Camilo;Camille
Carlos;Carles;Carles;Carles;Carlos;Carlos;Karlata;Carlos;Charles;Charles;Charley;Charles
Carolina;Carolina;Carolina;Carolina;Carolina;Carolina;Karoline;Carolina;Caroline;Caroline;Carrie;Caroline
Cássio;Cassi;Cassi;Cassi;Casio;Casio;Kasio;Cássio;Cassius;Cassius;Cassio;Cassie
Catarina;Catalina;Caterina;Caterina;Catalina;Catarina;Katalin;Catarina;Catherine;Catherine;Kayla;Catherine
Célia;Cèlia;Cèlia;Cèlia;Celia;Celia;Zelia;Célia;Celia;Celia;Cece;Célie
Celso;Cels;Cels;Cels;Celso;Celso;Keltsa;Celso;Celso;Celso;Celso;Celse
César;Cèsar;Cèsar;Cèsar;César;César;Zesar;César;Caesar;Caesar;Cezar;César
Céu;Cel;Cel;Cel;Cielo;Ceo;Ortzi;Céu;Sky;Sky;Sky;Ciel
Clara;Clara;Clara;Clara;Clara;Clara;Klare;Clara;Clare;Clara;Clarette;Claire
Constança;Constança;Constança;Constança;Constanza;Constanza;Konstantze;Constança;Constance;Constance;Connie;Constance
Cristóvão;Cristòfol;Cristòfol;Cristòfol;Cristóbal;Cristovo;Kristobal;Cristóvão;Christopher;Christopher;Chris;Christophe
Dalila;Dalila;Dalila;Dalila;Dalila;Dalila;Dalila;Dalila;Delilah;Delilah;Dalilah;Dalila
Daniela;Daniela;Daniela;Daniela;Daniela;Daniela;Danele;Daniela;Daniela;Daniela;Dani;Danielle
Débora;Dèbora;Dèbora;Dèbora;Débora;Débora;Debore;Débora;Deborah;Deborah;Debra;Déborah
