Nombre;Genero;Origen;Etimologia
Aaliyah;F;Árabe;Deriva de 'Aliyya', significa "sublime", "exaltada" o "ascendida".
Aaron;M;Hebreo;De 'Aharon', probable origen egipcio que significa "iluminado" o "montañés".
Aarón;M;Hebreo;Variante de Aaron, significa "iluminado" o "montañés".
Abar;M;Hebreo/Árabe;Relacionado con "pasar" o "cruzar". En árabe significa "pozos".
Abarne;F;Vasco;Equivalente a Ramos, del término 'abar' que significa "rama" o "follaje".
Abel;M;Hebreo;De 'Hebel', significa "aliento", "vapor" o "hijo".
Abelko;M;Vasco;Diminutivo o variante cariñosa de Abel.
Abigail;F;Hebreo;De 'Abigayil', significa "mi padre es alegría".
Abraham;M;Hebreo;Significa "padre de una multitud" o "padre de muchas naciones".
Achille;M;Griego;De 'Achilleus', posiblemente "el que tiene el dolor de un pueblo".
Ada;F;Hebreo;De 'Adah', significa "belleza" o "adorno".
Adalbert;M;Germánico;De 'adal' (noble) y 'berht' (brillo), significa "nobleza brillante".
Adam;M;Hebreo;De 'Adahmah', significa "hombre" o "hecho de la tierra roja".
Addison;F;Inglés;Apellido patronímico que significa "hijo de Adam".
Adei;F;Vasco;Nombre moderno que significa "respeto" o "deferencia".
Adela;F;Germánico;De la raíz 'adal', significa "noble" o "de linaje noble".
Adèle;F;Francés;Variante francesa de Adela, significa "noble".
Adeline;F;Francés;Diminutivo de Adela, significa "pequeña noble".
Adin;M;Hebreo/Vasco;En hebreo "delicado"; en vasco significa "edad" o "juicio".
Adolphe;M;Germánico;De 'adal' (noble) y 'wulf' (lobo), significa "lobo noble".
Adrià;M;Catalán;Forma catalana de Adrián, "procedente del mar Adriático".
Adrian;M;Latín;De 'Hadrianus', significa "el que viene del mar" o de la ciudad de Adria.
Adrián;M;Latín;Variante de Adrian, "aquel que viene del mar Adriático".
Adriana;F;Latín;Forma femenina de Adrián, significa "mujer del mar".
Adriano;M;Latín;Variante directa del nombre romano Hadrianus.
Adrien;M;Francés;Variante francesa de Adrián.
Adrienne;F;Francés;Variante francesa de Adriana.
Adur;M;Vasco;Significa "suerte", "fortuna" o "corriente de aire".
Afonso;M;Germánico;De 'adal' (noble) y 'funs' (listo), significa "noble dispuesto".
Ager;M;Vasco;Significa "manifiesto", "patente" o "a la vista".
Agin;M;Vasco;Relacionado con el tejo (árbol sagrado) o "aparición".
Agneline;F;Francés;Diminutivo de Agnés, derivado del griego 'hagnos' (casta/pura).
Agnes;F;Griego;De 'hagnos', significa "casta", "pura" o "sagrada".
Agnès;F;Francés;Variante francesa de Agnes (casta/pura).
Agustín;M;Latín;De 'Augustinus', derivado de 'Augustus', significa "consagrado por los augures" o "venerable".
Aguxtin;M;Vasco;Forma vasca de Agustín.
Aidan;M;Gaélico;De 'Aodhan', significa "fuego pequeño" o "ardiente".
Aiden;M;Gaélico;Variante moderna de Aidan, "pequeño fuego".
Aileen;F;Irlandés;Variante de Eibhlin, probablemente deriva de 'Aveline' o 'Elena' (antorcha).
Aimar;M;Germánico;De 'hadu' (combate) y 'mar' (famoso), significa "famoso en la batalla".
Aimé;M;Francés;Del latín 'Amatus', significa "amado".
Aimée;F;Francés;Forma femenina de Aimé, significa "amada".
Aina;F;Catalán/Hebreo;Variante de Anna, que significa "gracia" o "benéfica".
Ainara;F;Vasco;Significa "golondrina".
Ainara;U;Vasco;Significa "golondrina" (uso como nombre neutro).
Ainhoa;F;Vasco;Nombre de advocación mariana local, referente al pueblo de Ainhoa.
Aintzane;F;Vasco;Derivado de 'aintza', equivalente a Gloria. Significa "gloriosa".
Aintzane;U;Vasco;Equivalente a Gloria (uso como nombre neutro).
Aisha;F;Árabe;Significa "viva" o "la que está viva".
Aitor;M;Vasco;Del término suletino 'aitoren' (hijo de buenos padres/nobles).
Aketza;M;Vasco;Significa "valle de piedras" o "pedregal".
Alaia;F;Vasco;Significa "alegre" o "gozosa".
Alain;M;Bretón;Posiblemente significa "apuesto" o "pequeña roca".
Alaine;F;Vasco;Forma femenina de Alain o derivada de 'alaia' (alegre).
Alan;M;Celta/Bretón;Significa "apuesto" o "armonía".
Alar;M;Germánico/Estonio;Variante de Adalhard (noble y fuerte) o nombre de origen estonio.
Alatz;M;Vasco;Significa "milagro" o "prodigio".
Alazne;F;Vasco;Equivalente a Milagros, de 'alatz' (prodigio).
Alban;M;Latín;De 'Albanus', significa "blanco" o "natural de Alba Longa".
Albert;M;Germánico;De 'adal' (noble) y 'berht' (brillo), "nobleza brillante".
Alberte;F;Gallego/Francés;Forma femenina de Alberto, "nobleza brillante".
Alberto;M;Germánico;Variante de Adalberto, significa "nobleza ilustre".
Albin;M;Latín;De 'Albinus', derivado de 'albus' (blanco).
Alcina;F;Griego;Significa "de mente fuerte" o "mujer con fuerza".
Alda;F;Germánico;Significa "vieja", "sabia" o "de noble estirpe".
Aldara;F;Germánico;De 'ald' (viejo) y 'war' (protector), "protectora sabia".
Aldats;M;Vasco;Significa "cuesta", "pendiente" o "ladera".
Aldo;M;Germánico;De 'ald', significa "experimentado" o "noble de edad".
Aleix;M;Catalán;Forma catalana de Alexis, del griego 'alexo' (defender/proteger).
Alex;U;Griego;Abreviatura de Alexander o Alexandra, significa "protector(a)".
Alexander;M;Griego;De 'Alexandros', significa "defensor de los hombres".
Alexandra;F;Griego;Forma femenina de Alexander, "defensora de la humanidad".
Alexandre;M;Francés/Catalán;Variante de Alexander.
Alexandrine;F;Francés;Diminutivo de Alexandra.
Alfonso;M;Germánico;De 'adal' (noble) y 'funs' (listo/preparado).
Alfred;M;Germánico;De 'alf' (elfo) y 'rad' (consejo), "consejo de elfos".
Alice;F;Francés/Germánico;Del nombre 'Adalheidis' (Adelaida), "de linaje noble".
Alicia;F;Griego/Germánico;Derivado de Alice o del griego 'aletheia' (verdad).
Aliénor;F;Occitano;Forma antigua de Leonor, de significado incierto (posiblemente "otra Aenor").
Aline;F;Germánico;Variante de Adeline, del término 'adal' (noble). Significa "de noble linaje".
Alison;F;Francés antiguo;Diminutivo de Alis (Alice). Significa "pequeña noble".
Alizée;F;Francés;Nombre inspirado en los vientos alisios ('alizé').
Aloïs;M;Germánico;Variante occitana/francesa de Ludovico. De 'hlud' (fama) y 'wig' (combate).
Álvaro;M;Germánico;De 'all' (todo) y 'war' (protección). Significa "protector de todos" o "muy atento".
Alyssa;F;Griego;Deriva de la flor 'Alyssum', del griego 'a-' (no) y 'lyssa' (rabia), usada antiguamente contra la locura.
Alzira;F;Árabe;Significa "la isla" o "la belleza".
Amaia;F;Vasco;Significa "el fin", "final" o "límite".
Amalia;F;Germánico;De la raíz 'amal' (trabajo/actividad). Significa "mujer trabajadora y enérgica".
Amancio;M;Latín;De 'Amantius', derivado de 'amare'. Significa "el que ama" o "amante de Dios".
Amanda;F;Latín;Significa "la que debe ser amada" o "digna de amor".
Amandine;F;Francés;Diminutivo de Amanda. Significa "pequeña digna de amor".
Amani;U;Árabe/Suajili;Significa "paz" o "deseos".
Amari;U;Yoruba/Hebreo;En yoruba "fuerza"; en hebreo relacionado con "dicho por Dios".
Amaro;M;Latín/Germánico;Del latín 'amarus' (amargo) o del germánico 'hadu-mar' (famoso en la lucha).
Amaury;M;Germánico;De 'amal' (trabajo) y 'ric' (poder). Significa "gobernante trabajador".
Amber;F;Árabe/Inglés;Referente a la resina fósil 'ámbar'. Significa "dorada" o "valiosa".
Ambre;F;Francés;Variante francesa de Amber (ámbar).
Ambroise;M;Griego;De 'ambrosios', significa "inmortal" o "divino".
Amelia;F;Germánico;Variante de Amalia, de la raíz 'amal' (trabajo).
Amélia;F;Portugués/Francés;Variante de Amelia.
Amélie;F;Francés;Forma francesa de Amelia.
Américo;M;Germánico;De 'amal' (trabajo) y 'ric' (poder). Significa "el que es príncipe por su trabajo".
Amets;M;Vasco;Significa "sueño" o "ilusión".
Ametza;F;Vasco;Significa "quejigo" (tipo de roble) o relacionado con "sueño".
Amparo;F;Latín;De 'anteparium', significa "protección", "refugio" o "auxilio".
Amuru;M;Vasco;Variante de Amurrio, nombre de localidad.
Amy;F;Francés antiguo;Del francés 'aimée' (del latín 'amatus'). Significa "amada".
Ana;F;Hebreo;De 'Hannah', significa "benéfica", "compasiva" o "llena de gracia".
Anaëlle;F;Bretón;Combinación de Ana y el sufijo bretón 'el' (ángel). Significa "ángel de gracia".
Anai;M;Vasco;Significa "hermano".
Anaís;F;Hebreo/Francés;Variante de Ana, significa "llena de gracia" o "benéfica".
Anaïs;F;Hebreo/Francés;Variante de Ana, significa "llena de gracia" o "benéfica".
Anaïse;F;Francés;Variante de Anaïs, derivada de Ana (gracia).
Anaïssa;F;Francés;Variante elaborada de Ana.
Anartz;M;Vasco;Significa "robusto", "fuerte" o "vigoroso".
Anatole;M;Griego;De 'Anatole', significa "amanecer" o "procedente del Este".
Ander;M;Vasco;Forma vasca de Andrés, del griego 'aner' (hombre/varonil).
André;M;Francés/Portugués;Variante de Andrés, significa "varonil" o "valiente".
Andrea;F;Griego;Forma femenina de Andrés, significa "valerosa" o "fuerte".
Andrée;F;Francés;Forma femenina francesa de André.
Andreia;F;Portugués;Variante de Andrea, "valerosa".
Andrés;M;Griego;De 'Andreas', derivado de 'aner' (hombre). Significa "varonil" o "guerrero".
Andrew;M;Inglés;Forma inglesa de Andrés.
Andy;U;Inglés;Hipocorístico de Andrew o Andrea.
Ane;F;Vasco;Forma vasca de Ana, significa "gracia".
Angel;U;Griego;Del griego 'angelos', significa "mensajero".
Ángel;M;Griego;De 'angelos', significa "el mensajero de Dios".
Angela;F;Griego;Forma femenina de Ángel, "mensajera".
Ângela;F;Portugués;Variante de Angela.
Angèle;F;Francés;Variante francesa de Angela.
Angélica;F;Latín/Griego;Significa "relativo a los ángeles" o "angelical".
Angélique;F;Francés;Variante francesa de Angélica.
Ania;F;Ruso/Polaco;Diminutivo de Anna, significa "gracia".
Anitz;M;Vasco;Significa "mucho", "abundante" o "variado".
Ann;F;Inglés;Forma inglesa de Ana.
Anna;F;Hebreo/Latín;Variante de Hannah, significa "gracia" o "compasión".
Annabelle;F;Francés/Inglés;Combinación de Anna (gracia) y Belle (bella).
Anne;F;Francés/Alemán;Variante de Ana.
Annette;F;Francés;Diminutivo de Anne, "pequeña Ana".
Annie;F;Inglés;Diminutivo de Ann o Anne.
Anselme;M;Francés;Forma francesa de Anselmo.
Anselmo;M;Germánico;De 'ans' (dios) y 'helm' (yelmo/protección). "Protección divina".
Anthony;M;Latín;Del nombre de la familia romana 'Antonius'. Significa "digno de alabanza".
Antoine;M;Francés;Variante francesa de Antonio.
Antoinette;F;Francés;Diminutivo femenino de Antoine.
Antón;M;Gallego/Español;Variante de Antonio.
Antoni;M;Catalán;Forma catalana de Antonio.
Antònia;F;Catalán;Forma femenina catalana de Antonio.
Antonio;M;Latín;De 'Antonius', probablemente de origen etrusco, significa "el que se enfrenta a sus adversarios".
António;M;Latín;Variante portuguesa de Antonio. Del nombre de la familia 'Antonius'.
Antônio;M;Latín;Variante brasileña de Antonio. Significa "valioso" o "el que se enfrenta a sus adversarios".
Anuntz;M;Vasco;Derivado de Anuntziación (Anunciación). Significa "anuncio" o "mensaje".
Ánxela;F;Gallego;Forma gallega de Ángela. Del griego 'angelos' (mensajera).
Anxo;M;Gallego;Forma gallega de Ángel. Significa "mensajero".
Apar;M;Vasco;Significa "espuma".
Apolline;F;Griego/Francés;Derivado de Apolo (dios del sol). Significa "la que pertenece a Apolo".
April;F;Latín;Del latín 'Aprilis', derivado de 'aperire' (abrir), en referencia a la primavera.
Arago;M;Vasco;Nombre de origen toponímico local.
Arantxa;F;Vasco;Hipocorístico de Arantzazu. Significa "lugar de espinos".
Arantza;F;Vasco;Significa "espina". Variante de Arantzazu.
Aratz;M;Vasco;Significa "limpio", "puro" o "claro".
Ardan;M;Vasco;Relacionado con 'ardantza' (viñedo).
Argi;M;Vasco;Significa "luz" o "claridad".
Argider;M;Vasco;De 'argi' (luz) y 'eder' (hermoso). Significa "luz hermosa".
Argimiro;M;Germánico;De 'erkan' (auténtico) y 'mir' (famoso). Significa "ejército famoso".
Argiñe;F;Vasco;Forma femenina de Argi. Significa "luminosa".
Argiñeta;M;Vasco;Topónimo vasco que significa "lugar de luz" o "pedregal luminoso".
Argoitz;M;Vasco;Significa "luz de la mañana" o "aurora".
Ariadna;F;Griego;De 'ari' (muy) y 'adnos' (pura). Significa "muy pura" o "muy santa".
Ariana;F;Griego;Variante de Ariadna. Significa "la que es muy pura".
Ariane;F;Francés/Griego;Variante francesa de Ariadna.
Ariel;U;Hebreo;Significa "león de Dios" o "altar de Dios".
Arima;F;Vasco;Significa "alma".
Arin;M;Vasco;Significa "ligero", "ágil" o "veloz".
Aritz;M;Vasco;Significa "roble". Símbolo de fortaleza.
Ariz;M;Vasco;Variante de Aritz, significa "roble".
Ariznabar;M;Vasco;De 'aritz' (roble) y 'nabar' (pardo/multicolor). "Roble de tonos pardos".
Arkaia;M;Vasco;Topónimo alavés que refiere a una "zona de piedras".
Arkan;M;Turco;Significa "sangre de linaje noble".
Arketz;M;Vasco;Variante de Arketza, significa "pequeño roble" o "lugar de robles".
Arman;M;Germánico/Persa;En germánico "hombre de armas"; en persa "deseo" o "esperanza".
Armand;M;Germánico;De 'hari' (ejército) y 'man' (hombre). "Hombre de ejército".
Armelle;F;Bretón;De 'arth' (oso) y 'mael' (príncipe). Significa "princesa de los osos".
Arnau;M;Catalán;Forma catalana de Arnoldo. De 'arn' (águila) y 'wald' (gobierno).
Arnaut;M;Occitano/Vasco;Variante de Arnau. "El que gobierna con el poder del águila".
Arri;M;Vasco;Significa "piedra".
Arritz;M;Vasco;De 'arri' (piedra) y el sufijo abundante '-itz'. "Pedregal".
Arrosa;F;Vasco;Significa "rosa" (la flor).
Arsène;M;Griego;De 'arsenios'. Significa "viril" o "fuerte".
Arsenio;M;Griego;Variante de Arsène. Significa "varonil".
Artai;M;Vasco;Nombre mitológico o variante de Artaios.
Arthur;M;Celta;De 'artos' (oso). Significa "oso fuerte" o "noble".
Artur;M;Catalán/Portugués;Variante de Arthur.
Arturo;M;Celta/Latín;Forma española de Arthur.
Artzai;M;Vasco;Significa "pastor".
Ase;F;Escandinavo;De 'as' (dios). Significa "diosa".
Asentzio;M;Vasco;Equivalente a Ascensión. Del latín 'ascensio'.
Ashley;F;Inglés;De 'ash' (fresno) y 'leah' (prado). "Prado de fresnos".
Ashley;U;Inglés;Uso unisex de Ashley (prado de fresnos).
Ashton;U;Inglés;De 'ash' (fresno) y 'tun' (asentamiento). Significa "lugar de fresnos".
Asier;M;Vasco;Significa "el principio" o "el comienzo".
Assumpció;F;Catalán;Referente a la Asunción de la Virgen María (del latín 'assumptio').
Aste;F;Vasco;Significa "semana" o relacionado con 'aste' (inicio).
Asto;M;Vasco;Significa "burro" (uso histórico o mitológico poco común hoy).
Asunción;F;Latín;De 'assumptio', significa "atracción", "acción de tomar para sí" o "elevación".
Atarrabi;M;Vasco;Personaje de la mitología vasca, hijo de Mari (personifica el bien).
Ator;M;Vasco;Nombre mitológico o derivado de 'ator' (túnica/camisa).
Atxarte;F;Vasco;De 'atx' (roca) y 'arte' (entre). "Entre rocas" o "desfiladero".
Aubin;M;Latín/Francés;De 'Albinus', derivado de 'albus' (blanco/brillante).
Aubrey;F;Germánico;De 'alf' (elfo) y 'ric' (poder). "Gobernante de los elfos".
Aude;F;Germánico;Variante femenina de Aldo, significa "vieja", "sabia" o "noble".
Audrey;F;Anglosajón;De 'aethel' (noble) y 'thryth' (fuerza). "Noble fortaleza".
Audric;M;Germánico;De 'ald' (viejo) y 'ric' (poder). "Gobernante sabio o antiguo".
Augustin;M;Latín;Variante francesa/inglesa de Agustín. Significa "venerable".
Augusto;M;Latín;Significa "majestuoso", "sagrado" o "consagrado por los augures".
Aurea;F;Latín;Significa "dorada" o "hecha de oro".
Aurèle;M;Latín/Francés;Forma francesa de Aurelio. Significa "dorado".
Aurelia;F;Latín;Forma femenina de Aurelio. Significa "dorada" o "resplandeciente".
Aurélie;F;Francés;Variante francesa de Aurelia.
Aurélien;M;Latín/Francés;Derivado de Aurelio. Significa "perteneciente a la familia de los Aurelios".
Aurora;F;Latín;Significa "amanecer" o "diosa del alba".
Aurore;F;Francés;Forma francesa de Aurora.
Aurre;M;Vasco;Significa "delante" o "frente".
Aurtz;M;Vasco;Relacionado con 'aur' (niño) o formas de la naturaleza.
Austin;M;Latín/Inglés;Contracción de Augustin. Significa "digno de veneración".
Autumn;F;Latín;Significa "otoño", la estación de la cosecha.
Auzolan;M;Vasco;Significa "trabajo vecinal" o "trabajo en comunidad".
Avery;U;Germánico/Inglés;Derivado de Alfred. Significa "consejo de los elfos".
Axelle;F;Hebreo/Francés;Forma femenina de Axel (Absalón). Significa "mi padre es paz".
Axular;M;Vasco;Nombre del famoso escritor vasco Pedro de Aguerre 'Axular', apodo de su casa.
Ayana;F;Etíope/Sánscrito;En amhárico "flor hermosa"; en sánscrito "camino" o "refugio".
Baialde;F;Vasco;Topónimo vasco.
Bailey;F;Inglés;Significa "alguacil" o "administrador del patio de un castillo".
Bailey;U;Inglés;Uso unisex del nombre Bailey.
Bakarne;F;Vasco;Equivalente a Soledad. De 'bakar' (solo). Significa "solitaria".
Baldomero;M;Germánico;De 'bald' (audaz) y 'meri' (famoso). "Famoso por su audacia".
Balkar;M;Vasco;Referente a una cordillera o zona de montaña.
Baltasar;M;Acadio/Hebreo;De 'Bel-shat-zar'. Significa "Bel protege al rey".
Baltz;M;Vasco;Significa "negro".
Baptiste;M;Griego;De 'baptistes'. Significa "el que bautiza".
Barbara;F;Griego;Significa "extranjera" o "la que no habla griego".
Bárbara;F;Español;Variante de Barbara.
Bàrbara;F;Catalán;Variante de Barbara.
Bartolomeu;M;Arameo;Significa "hijo de Tolmai" o "hijo de los surcos".
Bartomeu;M;Catalán;Forma catalana de Bartolomé.
Basile;M;Griego;De 'basileios'. Significa "rey" o "regio".
Basilisa;F;Griego;Forma femenina de Basilio. Significa "reina" o "emperatriz".
Bastien;M;Griego;Abreviatura de Sébastien (Sebastián). Significa "venerable".
