ca-va;ca-ib;ca;es;gl;eu;pt-eu;pt-br;en-gb;en-us;en-us-af;fr;Género
Adrià;Adrià;Adrià;Adrián;Adrián;Adrian;Adriano;Adriano;Adrian;Adrian;Adreean;Adrien;M
Àfrica;Àfrica;Àfrica;África;África;Afrika;África;África;Africa;Africa;Africa;Afrique;F
Àgueda;Àgueda;Àgueda;Águeda;Águeda;Agate;Águeda;Águeda;Agatha;Agatha;Aggie;Agathe;F
Aina;Aina;Anna;Ana;Ana;Ane;Ana;Ana;Anne;Anna;Quiana;Anne;F
Aleix;Aleix;Aleix;Alejo;Aleixo;Aleixo;Aleixo;Aleixo;Alexis;Alexis;Alexee;Alexis;M
Amparo;Empar;Empar;Amparo;Amparo;Babesne;Amparo;Amparo;Amparo;Amparo;Amparo;Amparo;F
Andreu;Andreu;Andreu;Andrés;Andrés;Ander;André;André;Andrew;Andrew;Andre;André;M
Àngel;Àngel;Àngel;Ángel;Anxo;Aingeru;Ângelo;Ângelo;Angel;Angel;Angel;Ange;M
Àngela;Àngela;Àngela;Ángela;Anxa;Aingeru;Ângela;Ângela;Angela;Angela;Angie;Angèle;F
Anna;Aina;Anna;Ana;Ana;Ane;Ana;Ana;Anne;Anna;Quiana;Anne;F
Antoni;Antoni;Antoni;Antonio;Antón;Antoni;António;Antônio;Anthony;Anthony;Antwan;Antoine;M
Antònia;Antònia;Antònia;Antonia;Antonia;Antone;Antónia;Antônia;Antonia;Antonia;Latonia;Antonie;F
Arnau;Arnau;Arnau;Arnaldo;Arnaldo;Arnau;Arnaldo;Arnaldo;Arnold;Arnold;Arnie;Arnaud;M
Assumpció;Assumpció;Assumpció;Asunción;Asunción;Veronike;Assunção;Assunção;Assumption;Assumption;Assumpcia;Assomption;F
Asunción;Assumpció;Assumpció;Asunción;Asunción;Veronike;Assunção;Assunção;Assumption;Assumption;Assumpcia;Assomption;F
Bàrbara;Bàrbara;Bàrbara;Bárbara;Bárbara;Barbara;Bárbara;Bárbara;Barbara;Barbara;Barbarella;Barbe;F
Beatriu;Beatriu;Beatriu;Beatriz;Beatriz;Batirtze;Beatriz;Beatriz;Beatrice;Beatrice;Beatrice;Béatrice;F
Bernat;Bernat;Bernat;Bernardo;Bernardo;Bernat;Bernardo;Bernardo;Bernard;Bernard;Bernie;Bernard;M
Berta;Berta;Berta;Berta;Berta;Berte;Berta;Berta;Bertha;Bertha;Bertie;Berthe;F
Carles;Carles;Carles;Carlos;Carlos;Karlata;Carlos;Carlos;Charles;Charles;Charley;Charles;M
Carme;Carme;Carme;Carmen;Carme;Karmen;Carmo;Carmo;Carmen;Carmen;Carmel;Carmine;F
Catalina;Catalina;Caterina;Catalina;Catalina;Katalin;Catarina;Catarina;Catherine;Catherine;Kayla;Catherine;F
Caterina;Caterina;Caterina;Caterina;Caterina;Katarin;Catarina;Catarina;Catherine;Catherine;Catrina;Catherine;F
Clara;Clara;Clara;Clara;Clara;Klare;Clara;Clara;Clare;Clara;Clarette;Claire;F
Dolors;Dolors;Dolors;Dolores;Dores;Nekane;Dores;Dores;Dolores;Dolores;Lola;Dolores;F
Eduard;Eduard;Eduard;Eduardo;Eduardo;Eduard;Eduardo;Eduardo;Edward;Edward;Eddie;Édouard;M
Elena;Elena;Elena;Elena;Elena;Elene;Helena;Helena;Helen;Helen;Yelena;Hélène;F
Enric;Enric;Enric;Enrique;Henrique;Endrika;Henrique;Henrique;Henry;Henry;Hank;Henri;M
Ernest;Ernest;Ernest;Ernesto;Ernesto;Ernesto;Ernesto;Ernesto;Ernest;Ernest;Ernie;Ernest;M
Eva;Eva;Eva;Eva;Eva;Ebe;Eva;Eva;Eve;Eve;Evie;Ève;F
Ferran;Ferran;Ferran;Fernando;Fernando;Errando;Fernando;Fernando;Ferdinand;Ferdinand;Ferris;Ferdinand;M
Francesc;Francesc;Francesc;Francisco;Francisco;Frantzisko;Francisco;Francisco;Francis;Francis;Frank;François;M
Guillem;Guillem;Guillem;Guillermo;Guillerme;Guilen;Guilherme;Guilherme;William;William;Willie;Guillaume;M
Irene;Irene;Irene;Irene;Irene;Irene;Irene;Irene;Irene;Irene;Ireen;Irène;F
Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Elizabeth;Elizabeth;Latoya;Isabelle;F
Jaume;Jaume;Jaume;Jaime;Santiago;Jakue;Tiago;Tiago;James;James;Jamal;Jacques;M
Joan;Joan;Joan;Juan;Xoán;Jon;João;João;John;John;Deshawn;Jean;M
Joana;Joana;Joana;Juana;Xoana;Jone;Joana;Joana;Joan;Jane;Shanice;Jeanne;F
Joaquim;Joaquim;Joaquim;Joaquín;Xaquín;Iokin;Joaquim;Joaquim;Joachim;Joachim;Joakim;Joachim;M
Jordi;Jordi;Jordi;Jorge;Xurxo;Gorka;Jorge;Jorge;George;George;Georgethon;Georges;M
Josefa;Josefa;Josepa;Josefa;Xosefa;Josebe;Josefa;Josefa;Josephine;Josephine;Jo-Sista;Josèphe;F
Josep;Josep;Josep;José;Xosé;Joseba;José;José;Joseph;Joseph;Joe;Joseph;M
Josepa;Josepa;Josepa;Josefa;Xosefa;Josebe;Josefa;Josefa;Josephine;Josephine;Jo-Sista;Josèphe;F
Júlia;Júlia;Júlia;Julia;Xulia;Yuile;Júlia;Júlia;Julia;Julia;Juliette;Julie;F
Laia;Laia;Laia;Eulalia;Eulalia;Eulale;Eulália;Eulália;Eulalia;Eulalia;Lalia;Eulalie;F
Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Lauryn;Laure;F
Llúcia;Llúcia;Llúcia;Lucía;Lucía;Luzia;Lúcia;Lúcia;Lucy;Lucy;Lucinda;Lucie;F
Lluís;Lluís;Lluís;Luis;Luís;Koldobika;Luís;Luís;Louis;Louis;Louie;Louis;M
Magdalena;Magdalena;Magdalena;Magdalena;Madalena;Maialen;Madalena;Madalena;Magdalene;Magdalene;Maddie;Madeleine;F
Manel;Manel;Manel;Manuel;Manuel;Imanol;Manuel;Manuel;Manuel;Manuel;Manny;Manuel;M
Marc;Marc;Marc;Marcos;Marcos;Marko;Marcos;Marcos;Mark;Mark;Marcus;Marc;M
Maria;Maria;Maria;María;María;Maria;Maria;Maria;Mary;Mary;Tamika;Marie;F
Marta;Marta;Marta;Marta;Marta;Marta;Marta;Marta;Martha;Martha;Martha;Marthe;F
Martí;Martí;Martí;Martín;Martiño;Martin;Martim;Martim;Martin;Martin;Martell;Martin;M
Mercè;Mercè;Mercè;Mercedes;Mercedes;Mesede;Mercês;Mercês;Mercy;Mercy;Merced;Mercédès;F
Miquel;Miquel;Miquel;Miguel;Miguel;Mikel;Miguel;Miguel;Michael;Michael;Micheal;Michel;M
Mireia;Mireia;Mireia;Mireya;Mireia;Mireia;Mireia;Mireia;Mireia;Mireia;Miree;Mireille;F
Neus;Neus;Neus;Nieves;Neves;Edurne;Neves;Neves;Snows;Snow;Nieva;Neige;F
Nicolau;Nicolau;Nicolau;Nicolás;Nicolao;Nikola;Nicolau;Nicolau;Nicholas;Nicholas;Nick;Nicolas;M
Núria;Núria;Núria;Nuria;Nuria;Nuria;Nuria;Nuria;Nuria;Nuria;Nuria;Nuria;F
Pau;Pau;Pau;Pablo;Paulo;Paul;Paulo;Paulo;Paul;Paul;Pauley;Paul;M
Pere;Pere;Pere;Pedro;Pedro;Peru;Pedro;Pedro;Peter;Peter;Pete;Pierre;M
Pilar;Pilar;Pilar;Pilar;Pilar;Miren;Pilar;Pilar;Pillar;Pillar;Pillar;Pilar;F
Rafel;Rafel;Rafael;Rafael;Rafael;Rafael;Rafael;Rafael;Raphael;Raphael;Rafe;Raphaël;M
