ca;ca-ib;ca-va;es;gl;eu;pt-eu;pt-br;en-gb;en-us;en-us-af;fr;Género
Adrià;Adrià;Adrià;Adrián;Adrián;Adrian;Adriano;Adriano;Adrian;Adrian;Adrian;Adrien;M
Agustí;Agustí;Agustí;Agustín;Agostiño;Agustin;Agostinho;Agostinho;Augustine;Augustine;Augustine;Augustin;M
Aina;Aina;Anna;Ana;Ana;Ane;Ana;Ana;Anne;Anne;Anna;Anne;F
Ainara;Ainara;Ainara;Ainara;Ainara;Ainara;Ainara;Ainara;Ainara;Ainara;Ainara;Ainara;F
Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;M
Alba;Alba;Alba;Alba;Alba;Albe;Alba;Alba;Dawn;Dawn;Alba;Albe;F
Albert;Albert;Albert;Alberto;Alberte;Alberto;Alberto;Alberto;Albert;Albert;Albert;Albert;M
Aleix;Aleix;Aleix;Alejo;Aleixo;Aleix;Aleixo;Aleixo;Alexis;Alexis;Alexis;Alexis;M
Aleixandra;Alexandra;Alexandra;Alejandra;Alexandra;Alexandra;Alexandra;Alexandra;Alexandra;Alexandra;Alexandra;Alexandra;F
Alexandre;Alexandre;Alexandre;Alejandro;Alexandro;Alexandro;Alexandre;Alexandre;Alexander;Alexander;Alexander;Alexandre;M
Alfons;Alfons;Alfons;Alfonso;Afonso;Alfontso;Afonso;Afonso;Alphonse;Alphonse;Alphonse;Alphonse;M
Alícia;Alícia;Alícia;Alicia;Alicia;Alizia;Alice;Alice;Alice;Alice;Alicia;Alice;F
Aloma;Aloma;Aloma;Aloma;Aloma;Aloma;Aloma;Aloma;Paloma;Paloma;Aloma;Aloma;F
Amàlia;Amàlia;Amàlia;Amalia;Amalia;Amale;Amália;Amália;Amalia;Amalia;Amalia;Amélie;F
Amanda;Amanda;Amanda;Amanda;Amanda;Amanda;Amanda;Amanda;Amanda;Amanda;Amanda;Amanda;F
Andreu;Andreu;Andreu;Andrés;André;Ander;André;André;Andrew;Andrew;Dre;André;M
Anna;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Anne;Anne;Anna;Anne;F
Anselm;Anselm;Anselm;Anselmo;Anselmo;Antselmo;Anselmo;Anselmo;Anselm;Anselm;Anselm;Anselme;M
Antoni;Antoni;Antoni;Antonio;Antón;Antoni;António;Antônio;Anthony;Anthony;Tony;Antoine;M
Antònia;Antònia;Antònia;Antonia;Antonia;Antone;Antónia;Antônia;Antonia;Antonia;Antonia;Antoinette;F
Ariadna;Ariadna;Ariadna;Ariadna;Ariadna;Ariadne;Ariadne;Ariadne;Ariadne;Ariadne;Ariadna;Ariane;F
Arlet;Arlet;Arlet;Arlet;Arlete;Arlet;Arlete;Arlete;Arlette;Arlette;Arlet;Arlette;F
Arnau;Arnau;Arnau;Arnau;Arnau;Arnau;Arnau;Arnau;Arnau;Arnau;Arnau;Arnaud;M
Artur;Artur;Artur;Arturo;Artur;Artur;Artur;Artur;Arthur;Arthur;Arturo;Arthur;M
Assumpció;Assumpció;Assumpció;Asunción;Asunción;Agurne;Assunção;Assunção;Assumption;Assumption;Assumption;Assomption;F
Auba;Auba;Alba;Alba;Alba;Albe;Alba;Alba;Dawn;Dawn;Alba;Aube;F
Aurèlia;Aurèlia;Aurèlia;Aurelia;Aurelia;Aurele;Aurélia;Aurélia;Aurelia;Aurelia;Aurelia;Aurélie;F
Baldiri;Baldiri;Baldiri;Baudilio;Baudilio;Baudilio;Baudílio;Baudílio;Baudilius;Baudilius;Baudilio;Baudile;M
Baltasar;Baltasar;Baltasar;Baltasar;Baltasar;Baltasar;Baltasar;Baltasar;Balthazar;Balthazar;Baltasar;Balthazar;M
Bàrbara;Bàrbara;Bàrbara;Bárbara;Bárbara;Barbare;Bárbara;Bárbara;Barbara;Barbara;Barbara;Barbe;F
Beatriu;Beatriu;Beatriu;Beatriz;Beatriz;Beatriz;Beatriz;Beatriz;Beatrice;Beatrice;Beatriz;Béatrice;F
Benet;Benet;Benet;Benito;Benito;Benedito;Bento;Bento;Benedict;Benedict;Benny;Benoît;M
Bernat;Bernat;Bernat;Bernardo;Bernardo;Bernat;Bernardo;Bernardo;Bernard;Bernard;Bernie;Bernard;M
Berta;Berta;Berta;Berta;Berta;Berta;Berta;Berta;Bertha;Bertha;Berta;Berthe;F
Blai;Blai;Blai;Blas;Blas;Blas;Brás;Brás;Blaise;Blaise;Blas;Blaise;M
Blanca;Blanca;Blanca;Blanca;Branca;Zuria;Branca;Branca;Blanche;Blanche;Blanca;Blanche;F
Boi;Boi;Baudili;Baudilio;Baudilio;Baudilio;Baudílio;Baudílio;Baudilius;Baudilius;Baudilio;Baudile;M
Borja;Borja;Borja;Borja;Borja;Borja;Borja;Borja;Borja;Borja;Borja;Borgia;M
Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Brune;F
Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;M
Cal·líope;Cal·líope;Cal·líope;Calíope;Calíope;Kaliope;Calíope;Calíope;Calliope;Calliope;Calíope;Calliope;F
Camila;Camila;Camila;Camila;Camila;Camila;Camila;Camila;Camilla;Camilla;Camila;Camille;F
Carina;Carina;Carina;Carina;Carina;Karine;Carina;Carina;Carina;Carina;Carina;Carine;F
Carles;Carles;Carles;Carlos;Carlos;Karlos;Carlos;Carlos;Charles;Charles;Charlie;Charles;M
Carlota;Carlota;Carlota;Carlota;Carlota;Karoline;Carlota;Carlota;Charlotte;Charlotte;Carlotta;Charlotte;F
