en-gb;ca-ib;ca-va;ca;es;gl;eu;pt-eu;pt-br;en-us;en-us-af;fr;Género
Aaron;Aaró;Aaró;Aaró;Aarón;Aarón;Aron;Arão;Arão;Aaron;Aron;Aaron;M
Abigail;Abigail;Abigail;Abigail;Abigail;Abigail;Abigail;Abigail;Abigail;Abigail;Abbigail;Abigaïl;F
Ada;Ada;Ada;Ada;Ada;Ada;Ada;Ada;Ada;Ada;Adah;Ada;F
Adam;Adam;Adam;Adam;Adán;Adán;Adan;Adão;Adão;Adam;Adam;Adam;M
Adeline;Adelina;Adelina;Adelina;Adelina;Adelina;Adeline;Adelina;Adelina;Adeline;Adalene;Adeline;F
Adrian;Adrià;Adrià;Adrià;Adrián;Adrián;Adrian;Adriano;Adriano;Adrian;Adreean;Adrien;M
Agnes;Inés;Inés;Inés;Inés;Inés;Inese;Inês;Inês;Agnes;Nessie;Agnès;F
Aidan;Aidan;Aidan;Aidan;Aidán;Aidan;Aidan;Aidan;Aidan;Aidan;Ayden;Aidan;M
Aileen;Elena;Elena;Elena;Elena;Helena;Elene;Helena;Helena;Aileen;Alene;Hélène;F
Aisha;Aisha;Aisha;Aisha;Aisha;Aisha;Aisha;Aixa;Aícha;Aisha;Ayissha;Aïcha;F
Alan;Alà;Alà;Alà;Alan;Alán;Alan;Alano;Alano;Alan;Alain;Alain;M
Albert;Albert;Albert;Albert;Alberto;Alberto;Albert;Alberto;Alberto;Albert;Al;Albert;M
Alex;Àlex;Àlex;Àlex;Álex;Alex;Alex;Alex;Alex;Alex;Alex;Alex;U
Alexander;Alexandre;Alexandre;Alexandre;Alejandro;Alexandre;Alexandre;Alexandre;Alexandre;Alexander;Zavier;Alexandre;M
Alexandra;Alexandra;Alexandra;Alexandra;Alexandra;Alexandra;Alexandra;Alexandra;Alexandra;Alexandra;Zandra;Alexandra;F
Alfred;Alfred;Alfred;Alfred;Alfredo;Alfredo;Alfredo;Alfredo;Alfredo;Alfred;Alfie;Alfred;M
Alice;Alícia;Alícia;Alícia;Alicia;Alicia;Alize;Alícia;Alícia;Alice;Alyce;Alice;F
Alicia;Alícia;Alícia;Alícia;Alicia;Alicia;Alize;Alícia;Alícia;Alicia;Lish;Alice;F
Alison;Alícia;Alícia;Alícia;Alicia;Alicia;Alize;Alícia;Alícia;Alison;Alisoun;Alison;F
Amanda;Amanda;Amanda;Amanda;Amanda;Amanda;Amanda;Amanda;Amanda;Amanda;Manda;Amanda;F
Amber;Àmbar;Àmbar;Àmbar;Ámbar;Ámbar;Anbar;Âmbar;Âmbar;Amber;Amber;Ambre;F
Amelia;Amàlia;Amàlia;Amàlia;Amalia;Amalia;Amale;Amélia;Amélia;Amelia;Amala;Amélie;F
Amy;Aimée;Aimée;Aimée;Amada;Amada;Amada;Amada;Amada;Amy;Aimee;Aimée;F
Andrew;Andreu;Andreu;Andreu;Andrés;André;Ander;André;André;Andrew;Andre;André;M
Andy;Andreu;Andreu;Andreu;Andrés;André;Ander;André;André;Andy;Drew;André;M
Angela;Àngela;Àngela;Àngela;Ángela;Ánxela;Aingeru;Ângela;Ângela;Angela;Angie;Angèle;F
Ann;Aina;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Ann;Quiana;Anne;F
Anna;Aina;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Anna;Quiana;Anne;F
Anne;Aina;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Anne;Quiana;Anne;F
Annie;Aina;Anna;Anna;Anita;Anita;Anitxo;Ana;Ana;Annie;Anika;Anne;F
Anthony;Antoni;Antoni;Antoni;Antonio;Antón;Antoni;António;Antônio;Anthony;Antwan;Antoine;M
April;Abril;Abril;Abril;Abril;Abril;Apiril;Abril;Abril;April;April;Avril;F
Ariana;Ariana;Ariana;Ariana;Ariana;Ariana;Ariane;Ariana;Ariana;Ariana;Aryana;Ariane;F
Ariel;Ariel;Ariel;Ariel;Ariel;Ariel;Ariel;Ariel;Ariel;Ariel;Ariel;Ariel;U
Arthur;Artur;Artur;Artur;Arturo;Artur;Artur;Artur;Artur;Arthur;Art;Arthur;M
Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;Ashlee;Ashley;U
Audrey;Audrey;Audrey;Audrey;Audrey;Audrey;Audrey;Audrey;Audrey;Audrey;Audree;Audrey;F
Austin;Agustí;Agustí;Agustí;Agustín;Agostiño;Augustin;Agostinho;Agostinho;Austin;Austin;Augustin;M
Avery;Avery;Avery;Avery;Avery;Avery;Avery;Avery;Avery;Avery;Avery;Avery;U
Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;Baylee;Bailey;U
Barbara;Bàrbara;Bàrbara;Bàrbara;Bárbara;Bárbara;Barbara;Bárbara;Bárbara;Barbara;Barbarella;Barbe;F
Beatrice;Beatriu;Beatriu;Beatriu;Beatriz;Beatriz;Batirtze;Beatriz;Beatriz;Beatrice;Beatrice;Béatrice;F
Belinda;Belinda;Belinda;Belinda;Belinda;Belinda;Belinda;Belinda;Belinda;Belinda;Belinda;Belinde;F
Benjamin;Benjamí;Benjamí;Benjamí;Benjamín;Benxamín;Benjamin;Benjamim;Benjamim;Benjamin;Benji;Benjamin;M
Bernice;Bernice;Bernice;Bernice;Bernice;Bernice;Bernice;Bernice;Bernice;Bernice;Bernice;Bernice;F
Bethany;Betània;Betània;Betània;Betania;Betania;Betania;Betânia;Betânia;Bethany;Beth;Béthanie;F
Beverly;Beverly;Beverly;Beverly;Beverly;Beverly;Beverly;Beverly;Beverly;Beverly;Beverly;Beverly;F
Blair;Blair;Blair;Blair;Blair;Blair;Blair;Blair;Blair;Blair;Blair;Blair;U
Blake;Blake;Blake;Blake;Blake;Blake;Blake;Blake;Blake;Blake;Blake;Blake;U
Bradley;Bradley;Bradley;Bradley;Bradley;Bradley;Bradley;Bradley;Bradley;Bradley;Brad;Bradley;M
Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;M
Brenda;Brenda;Brenda;Brenda;Brenda;Brenda;Brenda;Brenda;Brenda;Brenda;Brenda;Brenda;F
Brett;Brett;Brett;Brett;Brett;Brett;Brett;Brett;Brett;Brett;Brett;Brett;M
Brian;Brian;Brian;Brian;Brian;Brian;Brian;Brian;Brian;Brian;Bryon;Brian;M
Brianna;Briana;Briana;Briana;Briana;Briana;Briana;Briana;Briana;Brianna;Bryanna;Briane;F
Brook;Riera;Riera;Riera;Arroyo;Regato;Erreka;Ribeiro;Ribeiro;Brook;Brook;Ruisseau;U
Brooke;Riera;Riera;Riera;Arroyo;Regato;Erreka;Ribeiro;Ribeiro;Brooke;Brooke;Ruisseau;F
Bruce;Bruce;Bruce;Bruce;Bruce;Bruce;Bruce;Bruce;Bruce;Bruce;Bruce;Bruce;M
Caleb;Caleb;Caleb;Caleb;Caleb;Caleb;Kaleb;Caleb;Caleb;Caleb;Caleb;Caleb;M
Callum;Coloma;Coloma;Coloma;Palomo;Pombo;Uxue;Pombo;Pombo;Callum;Callum;Callum;M
Cameron;Cameron;Cameron;Cameron;Cameron;Cameron;Cameron;Cameron;Cameron;Cameron;Camron;Cameron;U
Camilla;Camila;Camila;Camila;Camila;Camila;Kamile;Camila;Camila;Camilla;Camilla;Camille;F
Candice;Candice;Candice;Candice;Candice;Candice;Candice;Candice;Candice;Candice;Kandi;Candice;F
Carl;Carles;Carles;Carles;Carlos;Carlos;Karlata;Carlos;Carlos;Carl;Charley;Charles;M
Carla;Carla;Carla;Carla;Carla;Carla;Karla;Carla;Carla;Carla;Carla;Carle;F
Carmen;Carme;Carme;Carme;Carmen;Carme;Karmen;Carmo;Carmo;Carmen;Carmel;Carmine;F
Caroline;Carolina;Carolina;Carolina;Carolina;Carolina;Karoline;Carolina;Carolina;Caroline;Carrie;Caroline;F
Casey;Casey;Casey;Casey;Casey;Casey;Casey;Casey;Casey;Casey;Kacy;Casey;U
Catherine;Catalina;Caterina;Caterina;Catalina;Catarina;Katalin;Catarina;Catarina;Catherine;Kayla;Catherine;F
Cecilia;Cecília;Cecília;Cecília;Cecilia;Cecilia;Zezili;Cecília;Cecília;Cecilia;Cece;Cécile;F
Charles;Carles;Carles;Carles;Carlos;Carlos;Karlata;Carlos;Carlos;Charles;Charley;Charles;M
Charlie;Carles;Carles;Carles;Carlos;Carlos;Karlata;Carlos;Carlos;Charlie;Chuck;Charles;U
Charlotte;Carlota;Carlota;Carlota;Carlota;Carlota;Karlote;Carlota;Carlota;Charlotte;Lottie;Charlotte;F
Chelsea;Chelsea;Chelsea;Chelsea;Chelsea;Chelsea;Chelsea;Chelsea;Chelsea;Chelsea;Chels;Chelsea;F
Cheryl;Cheryl;Cheryl;Cheryl;Cheryl;Cheryl;Cheryl;Cheryl;Cheryl;Cheryl;Cheryl;Cheryl;F
Chloe;Cloe;Cloe;Cloe;Cloe;Cloe;Kloe;Cloe;Cloe;Chloe;Khloe;Cloé;F
Chris;Cristòfol;Cristòfol;Cristòfol;Cristóbal;Cristovo;Kristobal;Cristóvão;Cristóvão;Chris;Chris;Christophe;U
Christian;Cristià;Cristià;Cristià;Cristiano;Cristián;Kristian;Cristiano;Cristiano;Christian;Chris;Chrétien;M
Christina;Cristina;Cristina;Cristina;Cristina;Cristina;Kristina;Cristina;Cristina;Christina;Chrissy;Christine;F
Christine;Cristina;Cristina;Cristina;Cristina;Cristina;Kristina;Cristina;Cristina;Christine;Chrissy;Christine;F
Christopher;Cristòfol;Cristòfol;Cristòfol;Cristóbal;Cristovo;Kristobal;Cristóvão;Cristóvão;Christopher;Chris;Christophe;M
Claire;Clara;Clara;Clara;Clara;Clara;Klare;Clara;Clara;Claire;Clarette;Claire;F
Clara;Clara;Clara;Clara;Clara;Clara;Klare;Clara;Clara;Clara;Clarette;Claire;F
Colin;Nicolau;Nicolau;Nicolau;Nicolás;Nicolao;Nikola;Nicolau;Nicolau;Colin;Colin;Nicolas;M
Colleen;Colleen;Colleen;Colleen;Colleen;Colleen;Colleen;Colleen;Colleen;Colleen;Colleen;Colleen;F
Connor;Connor;Connor;Connor;Connor;Connor;Connor;Connor;Connor;Connor;Connor;Connor;M
Constance;Constança;Constança;Constança;Constanza;Constanza;Konstantze;Constança;Constança;Constance;Connie;Constance;F
Corey;Corey;Corey;Corey;Corey;Corey;Corey;Corey;Corey;Corey;Corey;Corey;U
Courtney;Courtney;Courtney;Courtney;Courtney;Courtney;Courtney;Courtney;Courtney;Courtney;Court;Courtney;U
Craig;Craig;Craig;Craig;Craig;Craig;Craig;Craig;Craig;Craig;Craig;Craig;M
Cynthia;Cíntia;Cíntia;Cíntia;Cintia;Cintia;Zintia;Cíntia;Cíntia;Cynthia;Cindy;Cyntia;F
Daisy;Margarida;Margarida;Margarida;Margarita;Margarida;Margarita;Margarida;Margarida;Daisy;Daisy;Marguerite;F
Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;U
Dale;Dale;Dale;Dale;Dale;Dale;Dale;Dale;Dale;Dale;Dale;Dale;U
Dana;Dana;Dana;Dana;Dana;Dana;Dana;Dana;Dana;Dana;Dana;Dana;F
Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Danny;Daniel;M
Danielle;Daniela;Daniela;Daniela;Daniela;Daniela;Danele;Daniela;Daniela;Danielle;Dani;Danielle;F
Daryl;Daryl;Daryl;Daryl;Daryl;Daryl;Daryl;Daryl;Daryl;Daryl;Daryl;Daryl;U
David;David;David;David;David;David;Davidi;David;David;David;Dave;David;M
Dean;Degà;Degà;Degà;Deán;Dean;Dean;Dean;Dean;Dean;Deon;Doyen;M
Deborah;Dèbora;Dèbora;Dèbora;Débora;Débora;Debore;Débora;Débora;Deborah;Debra;Déborah;F
Declan;Declan;Declan;Declan;Declano;Declan;Deklane;Declano;Declano;Declan;Declan;Declan;M
Denise;Denisa;Denisa;Denisa;Denise;Denise;Denise;Denise;Denise;Denise;Deneen;Denise;F
Dennis;Dionís;Dionís;Dionís;Dionisio;Dinis;Dunixi;Dionísio;Dionísio;Dennis;Dennis;Denis;M
Derek;Teodoric;Teodoric;Teodoric;Teodorico;Teodorico;Teodoriko;Teodorico;Teodorico;Derek;Derick;Didier;M
Devin;Devin;Devin;Devin;Devin;Devin;Devin;Devin;Devin;Devin;Devon;Devin;U
Diana;Diana;Diana;Diana;Diana;Diana;Diana;Diana;Diana;Diana;Deanna;Diane;F
Diane;Diana;Diana;Diana;Diana;Diana;Diana;Diana;Diana;Diane;Dianne;Diane;F
Dominic;Domènec;Domènec;Domènec;Domingo;Domingo;Domeka;Dominic;Dominic;Dominic;Dominique;Dominique;M
Donald;Donald;Donald;Donald;Donaldo;Donaldo;Donaldo;Donaldo;Donaldo;Donald;Donnie;Donald;M
Dorothy;Dorotea;Dorotea;Dorotea;Dorotea;Dorotea;Dorotea;Doroteia;Doroteia;Dorothy;Dottie;Dorothée;F
Douglas;Douglas;Douglas;Douglas;Douglas;Douglas;Douglas;Douglas;Douglas;Douglas;Doug;Douglas;M
Drew;Andreu;Andreu;Andreu;Andrés;André;Ander;André;André;Drew;Drew;André;U
Dylan;Dylan;Dylan;Dylan;Dylan;Dylan;Dylan;Dylan;Dylan;Dylan;Dillon;Dylan;M
Eden;Edèn;Edèn;Edèn;Edén;Edén;Eden;Éden;Éden;Eden;Edyn;Éden;U
Edith;Èdith;Èdith;Èdith;Edith;Edite;Edit;Edite;Edite;Edith;Edie;Édith;F
Edward;Eduard;Eduard;Eduard;Eduardo;Eduardo;Eduard;Eduardo;Eduardo;Edward;Eddie;Édouard;M
