en-us-af;ca-ib;ca-va;ca;es;gl;eu;pt-eu;pt-br;en-gb;en-us;fr;Género
Aaliyah;Alia;Alia;Alia;Alia;Alia;Alia;Alia;Alia;Aaliyah;Aaliyah;Aaliyah;F
Abigail;Abigail;Abigail;Abigail;Abigail;Abigail;Abigail;Abigail;Abigail;Abigail;Abigail;Abigaïl;F
Addison;Addison;Addison;Addison;Addison;Addison;Addison;Addison;Addison;Addison;Addison;Addison;U
Aiden;Aidan;Aidan;Aidan;Aidán;Aidan;Aidan;Aidan;Aidan;Aidan;Aiden;Aidan;M
Aisha;Aisha;Aisha;Aisha;Aisha;Aisha;Aisha;Aixa;Aícha;Aisha;Aisha;Aïcha;F
Alex;Àlex;Àlex;Àlex;Álex;Alex;Alex;Alex;Alex;Alex;Alex;Alex;U
Alyssa;Alícia;Alícia;Alícia;Alicia;Alicia;Alize;Alícia;Alícia;Alicia;Alyssa;Alice;F
Amani;Pau;Pau;Pau;Paz;Paz;Bake;Paz;Paz;Peace;Peace;Amani;U
Amari;Amari;Amari;Amari;Amari;Amari;Amari;Amari;Amari;Amari;Amari;Amari;U
Amber;Àmbar;Àmbar;Àmbar;Ámbar;Ámbar;Anbar;Âmbar;Âmbar;Amber;Amber;Ambre;F
Andrew;Andreu;Andreu;Andreu;Andrés;André;Ander;André;André;Andrew;Andrew;André;M
Angel;Àngel;Àngel;Àngel;Ángel;Anxo;Aingeru;Ângelo;Ângelo;Angel;Angel;Ange;U
Ariel;Ariel;Ariel;Ariel;Ariel;Ariel;Ariel;Ariel;Ariel;Ariel;Ariel;Ariel;U
Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;U
Ashton;Ashton;Ashton;Ashton;Ashton;Ashton;Ashton;Ashton;Ashton;Ashton;Ashton;Ashton;U
Aubrey;Aubrey;Aubrey;Aubrey;Aubrey;Aubrey;Aubrey;Aubrey;Aubrey;Audrey;Aubrey;Audrey;U
Austin;Agustí;Agustí;Agustí;Agustín;Agostiño;Augustin;Agostinho;Agostinho;Austin;Austin;Augustin;M
Autumn;Tardor;Tardor;Tardor;Otoño;Outono;Udazken;Outono;Outono;Autumn;Autumn;Automne;F
Avery;Avery;Avery;Avery;Avery;Avery;Avery;Avery;Avery;Avery;Avery;Avery;U
