en-us;ca-ib;ca-va;ca;es;gl;eu;pt-eu;pt-br;en-gb;en-us-af;fr;Género
Abigail;Abigail;Abigail;Abigail;Abigail;Abigail;Abigail;Abigail;Abigail;Abigail;Abbigail;Abigaïl;F
Addison;Addison;Addison;Addison;Addison;Addison;Addison;Addison;Addison;Addison;Addyson;Addison;U
Aiden;Aidan;Aidan;Aidan;Aidán;Aidan;Aidan;Aidan;Aidan;Aidan;Ayden;Aidan;M
Alyssa;Alícia;Alícia;Alícia;Alicia;Alicia;Alize;Alícia;Alícia;Alicia;Alyssa;Alice;F
Amber;Àmbar;Àmbar;Àmbar;Ámbar;Ámbar;Anbar;Âmbar;Âmbar;Amber;Amber;Ambre;F
Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;Ashley;Ashlee;Ashley;U
Aubrey;Aubrey;Aubrey;Aubrey;Aubrey;Aubrey;Aubrey;Aubrey;Aubrey;Audrey;Aubree;Audrey;U
Austin;Agustí;Agustí;Agustí;Agustín;Agostiño;Augustin;Agostinho;Agostinho;Austin;Austin;Augustin;M
Autumn;Tardor;Tardor;Tardor;Otoño;Outono;Udazken;Outono;Outono;Autumn;Autumn;Automne;F
Avery;Avery;Avery;Avery;Avery;Avery;Avery;Avery;Avery;Avery;Avery;Avery;U
Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;Baylee;Bailey;U
Blake;Blake;Blake;Blake;Blake;Blake;Blake;Blake;Blake;Blake;Blake;Blake;U
Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;M
Brianna;Briana;Briana;Briana;Briana;Briana;Briana;Briana;Briana;Brianna;Bryanna;Briane;F
Brooklyn;Brooklyn;Brooklyn;Brooklyn;Brooklyn;Brooklyn;Brooklyn;Brooklyn;Brooklyn;Brooklyn;Brooklynn;Brooklyn;F
Bryan;Brian;Brian;Brian;Brian;Brian;Brian;Brian;Brian;Brian;Bryon;Brian;M
Caitlin;Catalina;Caterina;Caterina;Catalina;Catarina;Katalin;Catarina;Catarina;Catherine;Caitlynn;Catherine;F
Caleb;Caleb;Caleb;Caleb;Caleb;Caleb;Kaleb;Caleb;Caleb;Caleb;Caleb;Caleb;M
Cameron;Cameron;Cameron;Cameron;Cameron;Cameron;Cameron;Cameron;Cameron;Cameron;Camron;Cameron;U
Carter;Carter;Carter;Carter;Carter;Carter;Carter;Carter;Carter;Carter;Carter;Carter;M
Casey;Casey;Casey;Casey;Casey;Casey;Casey;Casey;Casey;Casey;Kacy;Casey;U
Cassidy;Cassidy;Cassidy;Cassidy;Cassidy;Cassidy;Cassidy;Cassidy;Cassidy;Cassidy;Cassidy;Cassidy;U
Chase;Chase;Chase;Chase;Chase;Chase;Chase;Chase;Chase;Chase;Chase;Chase;M
Chloe;Cloe;Cloe;Cloe;Cloe;Cloe;Kloe;Cloe;Cloe;Chloe;Khloe;Cloé;F
Clayton;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton;Clay;Clayton;M
Cody;Cody;Cody;Cody;Cody;Cody;Cody;Cody;Cody;Cody;Kodi;Cody;M
Colton;Colton;Colton;Colton;Colton;Colton;Colton;Colton;Colton;Colton;Colt;Colton;M
Connor;Connor;Connor;Connor;Connor;Connor;Connor;Connor;Connor;Connor;Connor;Connor;M
Cooper;Cooper;Cooper;Cooper;Cooper;Cooper;Cooper;Cooper;Cooper;Cooper;Cooper;Cooper;M
Courtney;Courtney;Courtney;Courtney;Courtney;Courtney;Courtney;Courtney;Courtney;Courtney;Court;Courtney;F
Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;U
Derrick;Teodoric;Teodoric;Teodoric;Teodorico;Teodorico;Teodoriko;Teodorico;Teodorico;Derek;Derick;Didier;M
Destiny;Destí;Destí;Destí;Destino;Destino; kohtu;Destino;Destino;Destiny;Destinee;Destinée;F
