es;ca-ib;ca-va;ca;gl;eu;pt-eu;pt-br;en-gb;en-us;en-us-af;fr;Género
Abel;Abel;Abel;Abel;Abel;Abel;Abel;Abel;Abel;Abel;Abel;Abel;M
Abilio;Abili;Abili;Abili;Abilio;Abili;Abílio;Abílio;Abilio;Abilio;Abilio;Abile;M
Abraham;Abraham;Abraham;Abraham;Abraham;Abraham;Abraão;Abraão;Abraham;Abraham;Abraham;Abraham;M
Abundio;Abundi;Abundi;Abundi;Abundio;Abundi;Abúndio;Abúndio;Abundius;Abundius;Abundius;Abonde;M
Acacio;Acaci;Acaci;Acaci;Acacio;Akazi;Acácio;Acácio;Acacius;Acacius;Acacius;Acace;M
Acisclo;Iscle;Iscle;Iscle;Acisclo;Askisclo;Acisclo;Acisclo;Acisclus;Acisclus;Acisclus;Aciscle;M
Adalberta;Adalberta;Adalberta;Adalberta;Adalberta;Adalberte;Adalberta;Adalberta;Adalberta;Adalberta;Adalberta;Adalberte;F
Adalina;Adalina;Adalina;Adalina;Adalina;Adalina;Adalina;Adalina;Adeline;Adeline;Adalina;Adeline;F
Adalinda;Adalinda;Adalinda;Adalinda;Adalinda;Adalinda;Adalinda;Adalinda;Adalinda;Adalinda;Adalinda;Adalinde;F
Adalrico;Adalric;Adalric;Adalric;Adalrico;Adalriko;Adalrico;Adalrico;Adalric;Adalric;Adalric;Adalric;M
Adalsinda;Adalsinda;Adalsinda;Adalsinda;Adalsinda;Adalsinda;Adalsinda;Adalsinda;Adalsinda;Adalsinda;Adalsinda;Adalsinde;F
Adaltruda;Adaltruda;Adaltruda;Adaltruda;Adaltruda;Adaltruda;Adaltruda;Adaltruda;Adaltrude;Adaltrude;Adaltrude;Adaltrude;F
Adalvira;Adalvira;Adalvira;Adalvira;Adalvira;Adalbira;Adalvira;Adalvira;Adalvira;Adalvira;Adalvira;Adalvire;F
Adela;Adela;Adela;Adela;Adela;Adela;Adela;Adela;Adela;Adela;Adela;Adèle;F
Adelaida;Adelaida;Adelaida;Adelaida;Adelaida;Adelaide;Adelaide;Adelaide;Adelaide;Adelaide;Adelaide;Adélaïde;F
Adelardo;Adelard;Adelard;Adelard;Adelardo;Adelardo;Adelardo;Adelardo;Adelard;Adelard;Adelard;Adélard;M
Adelina;Adelina;Adelina;Adelina;Adelina;Adelina;Adelina;Adelina;Adeline;Adeline;Adelina;Adeline;F
Adolfo;Adolf;Adolf;Adolf;Adolfo;Adolfo;Adolfo;Adolfo;Adolph;Adolph;Adolph;Adolphe;M
Adoración;Adoració;Adoració;Adoració;Adoración;Adorazio;Adoração;Adoração;Adoration;Adoration;Adoration;Adoration;F
Adosinda;Adosinda;Adosinda;Adosinda;Adosinda;Adosinda;Adosinda;Adosinda;Adosinda;Adosinda;Adosinda;Adosinde;F
Adrián;Adrià;Adrià;Adrià;Adrián;Adrian;Adriano;Adriano;Adrian;Adrian;Adrian;Adrien;M
Adriana;Adriana;Adriana;Adriana;Adriana;Adriane;Adriana;Adriana;Adriana;Adriana;Adriana;Adrienne;F
Adriano;Adrià;Adrià;Adrià;Adriano;Adrian;Adriano;Adriano;Adrian;Adrian;Adrian;Adrien;M
