eu;ca-ib;ca-va;ca;es;gl;pt-eu;pt-br;en-gb;en-us;en-us-af;fr;Género
Abar;Ram;Ram;Ram;Ramo;Ramo;Ramo;Ramo;Branch;Branch;Abar;Rameau;M
Abarne;Ramos;Ramos;Ramos;Ramos;Ramos;Ramos;Ramos;Ramos;Ramos;Barne;Rameaux;F
Abelko;Abel;Abel;Abel;Abel;Abel;Abel;Abel;Abel;Abel;Abel;Abel;M
Adei;Respecte;Respecte;Respecte;Respeto;Respecto;Respeito;Respeito;Respect;Respect;Adey;Respect;M
Adin;Edat;Edat;Edat;Edad;Idade;Idade;Idade;Age;Age;Adin;Âge;M
Adur;Sort;Sort;Sort;Suerte;Sorte;Sorte;Sorte;Luck;Luck;Adur;Chance;M
Ageda;Àgueda;Àgueda;Àgueda;Águeda;Águeda;Águeda;Águeda;Agatha;Agatha;Aggie;Agathe;F
Ager;Manifest;Manifest;Manifest;Manifiesto;Manifesto;Manifesto;Manifesto;Manifest;Manifest;Ager;Manifeste;M
Agin;Teix;Teix;Teix;Tejo;Teixo;Teixo;Teixo;Yew;Yew;Agin;If;M
Aguxtin;Agustí;Agustí;Agustí;Agustín;Agostiño;Agostinho;Agostinho;Augustine;Augustine;August;Augustin;M
Aimar;Aimar;Aimar;Aimar;Aimar;Aimar;Aimar;Aimar;Aimar;Aimar;Aimar;Aimar;M
Ainara;Oreneta;Oreneta;Oreneta;Golondrina;Andoriña;Andorinha;Andorinha;Swallow;Swallow;Ainara;Hirondelle;F
Ainhoa;Ainhoa;Ainhoa;Ainhoa;Ainhoa;Ainhoa;Ainhoa;Ainhoa;Ainhoa;Ainhoa;Ainhoa;Ainhoa;F
Aintzane;Glòria;Glòria;Glòria;Gloria;Gloria;Glória;Glória;Gloria;Gloria;Glo;Gloire;F
Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;M
Aketza;Aketza;Aketza;Aketza;Aketza;Aketza;Aketza;Aketza;Aketza;Aketza;Aketza;Aketza;M
Alaia;Alegre;Alegre;Alegre;Alegre;Alegre;Alegre;Alegre;Joy;Joy;Alayah;Joie;F
Alain;Alà;Alà;Alà;Alan;Alán;Alano;Alano;Alan;Alan;Alain;Alain;M
Alaine;Alana;Alana;Alana;Alana;Alana;Alana;Alana;Alana;Alana;Alaina;Alaine;F
Alar;Alar;Alar;Alar;Alar;Alar;Alar;Alar;Alar;Alar;Alar;Alar;M
Alatz;Miracle;Miracle;Miracle;Milagro;Milagre;Milagre;Milagre;Miracle;Miracle;Alatz;Miracle;M
Alazne;Miracle;Miracle;Miracle;Milagros;Milagres;Milagres;Milagres;Miracle;Miracle;Alazne;Miracle;F
Aldats;Pendent;Pendent;Pendent;Pendiente;Pendente;Pendente;Pendente;Slope;Slope;Aldats;Pente;M
Aldo;Aldo;Aldo;Aldo;Aldo;Aldo;Aldo;Aldo;Aldo;Aldo;Aldo;Aldo;M
Amaia;Amaia;Amaia;Amaia;Amaya;Amaya;Amaia;Amaia;Amaya;Amaya;Amaya;Amaïa;F
Amets;Somni;Somni;Somni;Sueño;Sonio;Sonho;Sonho;Dream;Dream;Amets;Rêve;U
Ametza;Reboll;Reboll;Reboll;Quejigo;Caxigo;Carvalho;Carvalho;Oak;Oak;Ametza;Chêne;U
Amuru;Amuru;Amuru;Amuru;Amuru;Amuru;Amuru;Amuru;Amuru;Amuru;Amuru;Amuru;M
Anai;Germà;Germà;Germà;Hermano;Irmán;Irmão;Irmão;Brother;Brother;Anai;Frère;M
Anartz;Robust;Robust;Robust;Robusto;Robusto;Robusto;Robusto;Robust;Robust;Anartz;Robuste;M
Ander;Andreu;Andreu;Andreu;Andrés;Andrés;André;André;Andrew;Andrew;Andre;André;M
Andoni;Antoni;Antoni;Antoni;Antonio;Antón;António;Antônio;Anthony;Anthony;Antwan;Antoine;M
Ane;Aina;Anna;Anna;Ana;Ana;Ana;Ana;Anne;Anna;Quiana;Anne;F
Ania;Ania;Ania;Ania;Ania;Ania;Ania;Ania;Ania;Ania;Ania;Ania;F
Anitz;Molt;Molt;Molt;Mucho;Moito;Muito;Muito;Many;Many;Anitz;Maint;U
Anuntz;Anunci;Anunci;Anunci;Anuncio;Anuncio;Anúncio;Anúncio;Anunciation;Anunciation;Anuntz;Annonce;F
Apar;Escuma;Escuma;Escuma;Espuma;Escuma;Escuma;Escuma;Foam;Foam;Apar;Écume;M
Arago;Aragó;Aragó;Aragó;Aragón;Aragón;Aragão;Aragão;Aragon;Aragon;Arago;Aragon;M
Arantxa;Espina;Espina;Espina;Espina;Espiña;Espinha;Espinha;Thorn;Thorn;Arantxa;Épine;F
Arantza;Espina;Espina;Espina;Espina;Espiña;Espinha;Espinha;Thorn;Thorn;Arantza;Épine;F
Aratz;Pur;Pur;Pur;Puro;Puro;Puro;Puro;Pure;Pure;Aratz;Pur;U
Ardan;Vi;Vi;Vi;Vino;Viño;Vinho;Vinho;Wine;Wine;Ardan;Vin;M
Argi;Llum;Llum;Llum;Luz;Luz;Luz;Luz;Light;Light;Argi;Lumière;U
Argider;Llum-bella;Llum-bella;Llum-bella;Luz-bella;Luz-bela;Luz-bela;Luz-bela;Beautiful-light;Beautiful-light;Argider;Belle-lumière;M
Argimiro;Argimir;Argimir;Argimir;Argimiro;Argimiro;Argimiro;Argimiro;Argimiro;Argimiro;Argimiro;Argimire;M
Argiñe;Llum;Llum;Llum;Lucía;Lucía;Lúcia;Lúcia;Lucy;Lucy;Argiñe;Lucie;F
Argiñeta;Llumeta;Llumeta;Llumeta;Lucita;Luciña;Lucinha;Lucinha;Lucille;Lucille;Argiñeta;Lucette;F
Argoitz;Argoitz;Argoitz;Argoitz;Argoitz;Argoitz;Argoitz;Argoitz;Argoitz;Argoitz;Argoitz;Argoitz;M
Arima;Ànima;Ànima;Ànima;Alma;Alma;Alma;Alma;Soul;Soul;Arima;Âme;F
Arin;Lleuger;Lleuger;Lleuger;Ligero;Lixeiro;Ligeiro;Ligeiro;Light;Light;Arin;Léger;U
Aritz;Roure;Roure;Roure;Roble;Carballo;Carvalho;Carvalho;Oak;Oak;Aritz;Chêne;M
Ariz;Roure;Roure;Roure;Roble;Carballo;Carvalho;Carvalho;Oak;Oak;Ariz;Chêne;M
Ariznabar;Roure-vetejat;Roure-vetejat;Roure-vetejat;Roble-veteado;Carballo-veteado;Carvalho-raiado;Carvalho-raiado;Mottled-oak;Mottled-oak;Ariznabar;Chêne-vairé;M
Arkaia;Arkaia;Arkaia;Arkaia;Arkaia;Arkaia;Arkaia;Arkaia;Arkaia;Arkaia;Arkaia;Arkaia;F
Arkan;Arkan;Arkan;Arkan;Arkan;Arkan;Arkan;Arkan;Arkan;Arkan;Arkan;Arkan;M
Arketz;Arketz;Arketz;Arketz;Arketz;Arketz;Arketz;Arketz;Arketz;Arketz;Arketz;Arketz;M
Arman;Armand;Armand;Armand;Armando;Armando;Armando;Armando;Armand;Armand;Armani;Armand;M
Arnaut;Arnau;Arnau;Arnau;Arnaldo;Arnaldo;Arnaldo;Arnaldo;Arnold;Arnold;Arnie;Arnaud;M
Arri;Pedra;Pedra;Pedra;Piedra;Pedra;Pedra;Pedra;Stone;Stone;Arri;Pierre;M
Arritz;Pedregós;Pedregós;Pedregós;Pedregoso;Pedregoso;Pedregoso;Pedregoso;Stony;Stony;Arritz;Pierreux;M
Arrosa;Rosa;Rosa;Rosa;Rosa;Rosa;Rosa;Rosa;Rose;Rose;Rosetta;Rose;F
Artai;Artai;Artai;Artai;Artai;Artai;Artai;Artai;Artai;Artai;Artai;Artai;M
Artzai;Pastor;Pastor;Pastor;Pastor;Pastor;Pastor;Pastor;Shepherd;Shepherd;Artzai;Berger;M
Ase;Ase;Ase;Ase;Asno;Asno;Asno;Asno;Donkey;Donkey;Ase;Âne;M
Asentzio;Ascensió;Ascensió;Ascensió;Ascensión;Ascensión;Ascensão;Ascensão;Ascension;Ascension;Asentzio;Ascension;M
Asier;Començament;Començament;Començament;Principio;Principio;Princípio;Princípio;Beginning;Beginning;Asier;Commencement;M
Aste;Setmana;Setmana;Setmana;Semana;Semana;Semana;Semana;Week;Week;Aste;Semaine;F
Asto;Ase;Ase;Ase;Burro;Burro;Burro;Burro;Donkey;Donkey;Asto;Âne;M
Atarrabi;Atarrabi;Atarrabi;Atarrabi;Atarrabi;Atarrabi;Atarrabi;Atarrabi;Atarrabi;Atarrabi;Atarrabi;Atarrabi;M
Ator;Ator;Ator;Ator;Ator;Ator;Ator;Ator;Ator;Ator;Ator;Ator;M
Atxarte;Atxarte;Atxarte;Atxarte;Atxarte;Atxarte;Atxarte;Atxarte;Atxarte;Atxarte;Atxarte;Atxarte;F
Aurre;Davant;Davant;Davant;Adelante;Adiante;Adiante;Adiante;Forward;Forward;Aurre;Devant;U
Aurtz;Nen;Nen;Nen;Niño;Neno;Menino;Menino;Child;Child;Aurtz;Enfant;M
Auzolan;Treball-veïnal;Treball-veïnal;Treball-veïnal;Trabajo-vecinal;Traballo-veciñal;Trabalho-comunitário;Trabalho-comunitário;Community-work;Community-work;Auzolan;Travail-communautaire;M
Axular;Axular;Axular;Axular;Axular;Axular;Axular;Axular;Axular;Axular;Axular;Axular;M
Baialde;Baialde;Baialde;Baialde;Baialde;Baialde;Baialde;Baialde;Baialde;Baialde;Baialde;Baialde;U
Bakarne;Soledat;Soledat;Soledat;Soledad;Soledade;Solidão;Solidão;Solitude;Solitude;Bakarne;Solitude;F
Balkar;Balkar;Balkar;Balkar;Balkar;Balkar;Balkar;Balkar;Balkar;Balkar;Balkar;Balkar;M
Baltz;Negre;Negre;Negre;Negro;Negro;Preto;Preto;Black;Black;Baltz;Noir;M
Beltz;Negre;Negre;Negre;Negro;Negro;Preto;Preto;Black;Black;Beltz;Noir;M
Beñat;Bernat;Bernat;Bernat;Bernardo;Bernardo;Bernardo;Bernardo;Bernard;Bernard;Bernie;Bernard;M
Beor;Euga;Euga;Euga;Yegua;Egoa;Égua;Égua;Mare;Mare;Beor;Jument;F
Bihotz;Cor;Cor;Cor;Corazón;Corazón;Coração;Coração;Heart;Heart;Bihotz;Cœur;U
Bittor;Víctor;Víctor;Víctor;Víctor;Víctor;Vítor;Vitor;Victor;Victor;Victor;Victor;M
Bizen;Vicenç;Vicent;Vicenç;Vicente;Vicente;Vicente;Vicente;Vincent;Vincent;Vince;Vincent;M
Danel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Danny;Daniel;M
Danele;Daniela;Daniela;Daniela;Daniela;Daniela;Daniela;Daniela;Daniela;Daniela;Dani;Danielle;F
Dunixi;Dionís;Dionís;Dionís;Dionisio;Dionisio;Dionísio;Dionísio;Dionysus;Dionysus;Dunixi;Denis;M
Eban;Joan;Joan;Joan;Juan;Xoán;João;João;John;John;Deshawn;Jean;M
Eder;Bell;Bell;Bell;Bello;Belo;Belo;Belo;Handsome;Handsome;Eder;Beau;M
Ederne;Bella;Bella;Bella;Bella;Bela;Bela;Bela;Beautiful;Beautiful;Ederne;Belle;F
Edur;Neu;Neu;Neu;Nieve;Neve;Neve;Neve;Snow;Snow;Edur;Neige;U
Edurne;Neus;Neus;Neus;Nieves;Neves;Neves;Neves;Snows;Snow;Nieva;Neige;F
Eider;Eider;Eider;Eider;Eider;Eider;Eider;Eider;Eider;Eider;Eider;Eider;F
Ekain;Juny;Juny;Juny;Junio;Xuño;Junho;Junho;June;June;Ekain;Juin;M
Ekhi;Sol;Sol;Sol;Sol;Sol;Sol;Sol;Sun;Sun;Ekhi;Soleil;M
Eki;Sol;Sol;Sol;Sol;Sol;Sol;Sol;Sun;Sun;Eki;Soleil;M
Ekiñe;Sol;Sol;Sol;Sol;Sol;Sol;Sol;Sun;Sun;Ekiñe;Soleil;F
Elbira;Elvira;Elvira;Elvira;Elvira;Elvira;Elvira;Elvira;Elvira;Elvira;Elvira;Elvire;F
Elixabete;Isabel;Isabel;Isabel;Isabel;Sabela;Isabel;Isabel;Elizabeth;Elizabeth;Latoya;Élisabeth;F
Elixane;Elisenda;Elisenda;Elisenda;Elisenda;Elisenda;Elisenda;Elisenda;Elisenda;Elisenda;Elixane;Elisende;F
Elor;Espí;Espí;Espí;Espino;Espiño;Espinheiro;Espinheiro;Thorn;Thorn;Elor;Aubépine;M
Elorri;Espí;Espí;Espí;Espino;Espiño;Espinheiro;Espinheiro;Thorn;Thorn;Elorri;Aubépine;M
Elur;Neu;Neu;Neu;Nieve;Neve;Neve;Neve;Snow;Snow;Elur;Neige;U
Enara;Oreneta;Oreneta;Oreneta;Golondrina;Andoriña;Andorinha;Andorinha;Swallow;Swallow;Enara;Hirondelle;F
Endika;Enric;Enric;Enric;Enrique;Henrique;Henrique;Henrique;Henry;Henry;Hank;Henri;M
Eneko;Èneco;Èneco;Èneco;Íñigo;Eneko;Íñigo;Íñigo;Inigo;Inigo;Eneko;Inigo;M
Enetz;Enetz;Enetz;Enetz;Enezo;Enezo;Enezo;Enezo;Enetz;Enetz;Enetz;Enetz;M
Eragin;Eragin;Eragin;Eragin;Influencia;Influencia;Influência;Influência;Influence;Influence;Eragin;Influence;U
Erik;Èric;Èric;Èric;Eric;Eric;Erico;Érico;Eric;Eric;Erik;Éric;M
Erle;Abella;Abella;Abella;Abeja;Abella;Abelha;Abelha;Bee;Bee;Erle;Abeille;F
Ernai;Desperta;Desperta;Desperta;Alerta;Alerta;Alerta;Alerta;Alert;Alert;Ernai;Alerte;U
Ero;Boig;Boig;Boig;Loco;Tolo;Louco;Louco;Mad;Mad;Ero;Fou;M
Esti;Mel;Mel;Mel;Miel;Mel;Mel;Mel;Honey;Honey;Esti;Miel;F
Etxahun;Etxahun;Etxahun;Etxahun;Etxahun;Etxahun;Etxahun;Etxahun;Etxahun;Etxahun;Etxahun;Etxahun;M
Gaizka;Salvador;Salvador;Salvador;Salvador;Salvador;Salvador;Salvador;Salvador;Salvador;Sal;Sauveur;M
