fr;ca-ib;ca-va;ca;es;gl;eu;pt-eu;pt-br;en_gb;en-us;en-us-af;Género
Achille;Aquil·les;Aquil·les;Aquil·les;Aquiles;Aquiles;Akiles;Aquiles;Aquiles;Achilles;Achilles;Achilles;M
Adalbert;Adalbert;Adalbert;Adalbert;Adalberto;Adalberto;Adalberto;Adalberto;Adalberto;Adalbert;Adalbert;Adalbert;M
Adèle;Adela;Adela;Adela;Adela;Adela;Adela;Adela;Adela;Adela;Adela;Adelle;F
Adeline;Adelina;Adelina;Adelina;Adelina;Adelina;Adeline;Adelina;Adelina;Adeline;Adeline;Adalene;F
Adolphe;Adolf;Adolf;Adolf;Adolfo;Adolfo;Adolfo;Adolfo;Adolfo;Adolph;Adolph;Adolph;M
Adrien;Adrià;Adrià;Adrià;Adrián;Adrián;Adrian;Adriano;Adriano;Adrian;Adrian;Adreean;M
Adrienne;Adriana;Adriana;Adriana;Adriana;Adriana;Adriane;Adriana;Adriana;Adriana;Adriana;Audriana;F
Agneline;Anhelina;Anhelina;Anhelina;Angelina;Anxelina;Aingeru;Angelina;Angelina;Angelina;Angelina;Anjelina;F
Agnès;Inés;Inés;Inés;Inés;Inés;Inese;Inês;Inês;Agnes;Agnes;Nessie;F
Aimé;Amat;Amat;Amat;Amado;Amado;Amado;Amado;Amado;Amyas;Amyas;Aime;M
Aimée;Amada;Amada;Amada;Amada;Amada;Amada;Amada;Amada;Amy;Amy;Aimee;F
Alain;Alà;Alà;Alà;Alan;Alán;Alan;Alano;Alano;Alan;Alan;Alain;M
Alban;Albà;Albà;Albà;Albán;Albán;Alban;Albano;Albano;Alban;Alban;Alban;M
Albert;Albert;Albert;Albert;Alberto;Alberto;Albert;Alberto;Alberto;Albert;Albert;Al;M
Alberte;Alberta;Alberta;Alberta;Alberta;Alberta;Alberte;Alberta;Alberta;Alberta;Alberta;Alberta;F
Albin;Albí;Albí;Albí;Albino;Albino;Albin;Albino;Albino;Albin;Albin;Alvin;M
Alexandre;Alexandre;Alexandre;Alexandre;Alejandro;Alexandre;Alexandre;Alexandre;Alexandre;Alexander;Alexander;Zavier;M
Alexandrine;Alexandrina;Alexandrina;Alexandrina;Alejandrina;Alexandrina;Alexandrine;Alexandrina;Alexandrina;Alexandrina;Alexandrina;Zandrine;F
Alice;Alícia;Alícia;Alícia;Alicia;Alicia;Alize;Alícia;Alícia;Alice;Alice;Alyce;F
Aliénor;Elionor;Elionor;Elionor;Leonor;Leonor;Leonor;Leonor;Leonor;Eleanor;Eleanor;Nora;F
Aline;Aline;Aline;Aline;Aline;Aline;Alis;Aline;Aline;Aline;Aline;Alene;F
Alizée;Alícia;Alícia;Alícia;Alicia;Alicia;Alize;Alícia;Alícia;Alice;Alice;Alyssa;F
Aloïs;Lluís;Lluís;Lluís;Luis;Luís;Koldobika;Luís;Luís;Louis;Louis;Louie;M
Amandine;Amantina;Amantina;Amantina;Amantina;Amantina;Amandine;Amantina;Amantina;Amandine;Amandine;Amandine;F
Amaury;Amalric;Amalric;Amalric;Amalarico;Amalarico;Amalariko;Amalarico;Amalarico;Amalric;Amalric;Amaury;M
Ambre;Àmbar;Àmbar;Àmbar;Ámbar;Ámbar;Anbar;Âmbar;Âmbar;Amber;Amber;Amber;F
Ambre;Àmbar;Àmbar;Àmbar;Ámbar;Ámbar;Anbar;Âmbar;Âmbar;Amber;Amber;Amber;F
Ambroise;Ambròs;Ambròs;Ambròs;Ambrosio;Ambrosio;Anbros;Ambrósio;Ambrósio;Ambrose;Ambrose;Ambrose;M
Amélie;Amàlia;Amàlia;Amàlia;Amalia;Amalia;Amale;Amélia;Amélia;Amelia;Amelia;Amala;F
Anaëlle;Anna;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Ann;Ann;Quiana;F
Anaïs;Aina;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Anne;Anna;Quiana;F
Anaïse;Aina;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Anne;Anna;Quiana;F
Anaïssa;Aina;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Anne;Anna;Quiana;F
Anatole;Anatoli;Anatoli;Anatoli;Anatolio;Anatolio;Anatoli;Anatólio;Anatólio;Anatole;Anatole;Anatole;M
André;Andreu;Andreu;Andreu;Andrés;André;Ander;André;André;Andrew;Andrew;Andre;M
Andrée;Andrea;Andrea;Andrea;Andrea;Andrea;Andere;Andreia;Andreia;Andrea;Andrea;Andreatta;F
Angèle;Àngela;Àngela;Àngela;Ángela;Ánxela;Aingeru;Ângela;Ângela;Angela;Angela;Angie;F
Angélique;Angèlica;Angèlica;Angèlica;Angélica;Anxélica;Angélica;Angélica;Angélica;Angelica;Angelica;Angelique;F
Annabelle;Anabel;Anabel;Anabel;Anabel;Anabel;Anabel;Anabela;Anabela;Annabelle;Annabelle;Annabelle;F
Anne;Aina;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Ann;Anna;Quiana;F
Annette;Anita;Anita;Anita;Anita;Anita;Anitxo;Anita;Anita;Annie;Annie;Anika;F
Anselme;Anselm;Anselm;Anselm;Anselmo;Anselmo;Antselmo;Anselmo;Anselmo;Anselm;Anselm;Ansel;M
Antoine;Antoni;Antoni;Antoni;Antonio;Antón;Antoni;António;Antônio;Anthony;Anthony;Antwan;M
Antoinette;Antònia;Antònia;Antònia;Antonia;Antonia;Antone;Antónia;Antônia;Antonia;Antonia;Latonia;F
Apolline;Apol·lònia;Apol·lònia;Apol·lònia;Apolonia;Apolonia;Apoloni;Apolónia;Apolônia;Apollonia;Apollonia;Apollonia;F
Ariane;Ariana;Ariana;Ariana;Ariana;Ariana;Ariane;Ariana;Ariana;Ariana;Ariana;Aryana;F
Armand;Armand;Armand;Armand;Armando;Armando;Arman;Armando;Armando;Armand;Armand;Armani;M
Armelle;Armela;Armela;Armela;Armela;Armela;Armela;Armela;Armela;Armelle;Armelle;Armelle;F
Arnaud;Arnau;Arnau;Arnau;Arnaldo;Arnaldo;Arnau;Arnaldo;Arnaldo;Arnold;Arnold;Arnie;M
Arsène;Arseni;Arseni;Arseni;Arsenio;Arsenio;Arsenio;Arsénio;Arsênio;Arsenius;Arsenius;Arsenio;M
Arthur;Artur;Artur;Artur;Arturo;Artur;Artur;Artur;Artur;Arthur;Arthur;Art;M
Aubin;Albí;Albí;Albí;Albino;Albino;Albin;Albino;Albino;Albin;Albin;Alvin;M
Aude;Auda;Auda;Auda;Alda;Alda;Alde;Alda;Alda;Alda;Alda;Alda;F
Audric;Aldric;Aldric;Aldric;Aldrico;Aldrico;Aldric;Aldrico;Aldrico;Aldric;Aldric;Audric;M
Augustin;Agustí;Agustí;Agustí;Agustín;Agostiño;Augustin;Agostinho;Agostinho;Augustine;Augustine;August;M
Aurèle;Aureli;Aureli;Aureli;Aurelio;Aurelio;Aurelio;Aurélio;Aurélio;Aurelius;Aurelius;Aurelius;M
Aurélie;Aurèlia;Aurèlia;Aurèlia;Aurelia;Aurelia;Aure;Aurélia;Aurélia;Aurelia;Aurelia;Aurelia;F
Aurélien;Aurelià;Aurelià;Aurelià;Aureliano;Aureliano;Aureliano;Aureliano;Aureliano;Aurelian;Aurelian;Aurelian;M
Aurore;Aurora;Aurora;Aurora;Aurora;Aurora;Goizargi;Aurora;Aurora;Aurora;Aurora;Rora;F
Axelle;Axel·la;Axel·la;Axel·la;Axela;Axela;Axelle;Axela;Axela;Axelle;Axelle;Axelle;F
Baptiste;Baptista;Baptista;Baptista;Bautista;Bautista;Batista;Batista;Batista;Baptist;Baptist;Baptist;M
Basile;Basili;Basili;Basili;Basilio;Basilio;Basili;Basílio;Basílio;Basil;Basil;Basil;M
Bastien;Sebastià;Sebastià;Sebastià;Sebastián;Sebastián;Sebas;Sebastião;Sebastião;Sebastian;Sebastian;Seb;M
Béatrice;Beatriu;Beatriu;Beatriu;Beatriz;Beatriz;Batirtze;Beatriz;Beatriz;Beatrice;Beatrice;Beatrice;F
Benjamin;Benjamí;Benjamí;Benjamí;Benjamín;Benxamín;Benjamin;Benjamim;Benjamim;Benjamin;Benjamin;Benji;M
Benoît;Benet;Benet;Benet;Benito;Bieito;Benedit;Bento;Bento;Benedict;Benedict;Ben;M
Bérénice;Berenice;Berenice;Berenice;Berenice;Berenice;Berenize;Berenice;Berenice;Berenice;Berenice;Berenice;F
Bernadette;Bernadeta;Bernadeta;Bernadeta;Bernadette;Bernadette;Bernadete;Bernadete;Bernadete;Bernadette;Bernadette;Bernadette;F
Bernard;Bernat;Bernat;Bernat;Bernardo;Bernardo;Bernat;Bernardo;Bernardo;Bernard;Bernard;Bernie;M
Bertrand;Bertran;Bertran;Bertran;Beltrán;Bertrán;Bertran;Bertrando;Bertrando;Bertram;Bertram;Bertram;M
Blaise;Blai;Blai;Blai;Blas;Brais;Bladi;Brás;Brás;Blaise;Blaise;Blaze;M
Blandine;Blandina;Blandina;Blandina;Blandina;Blandina;Blandine;Blandina;Blandina;Blandina;Blandina;Blandina;F
Boniface;Bonifaci;Bonifaci;Bonifaci;Bonifacio;Bonifacio;Bonifazio;Bonifácio;Bonifácio;Boniface;Boniface;Boniface;M
Brigitte;Brígida;Brígida;Brígida;Brígida;Bríxida;Brigida;Brígida;Brígida;Bridget;Bridget;Biddy;F
Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;M
Calixte;Calixt;Calixt;Calixt;Calixto;Calixto;Kalisto;Calixto;Calixto;Calixtus;Calixtus;Calixto;M
Camille;Camil;Camil;Camil;Camilo;Camilo;Kamilo;Camilo;Camilo;Camille;Camille;Camille;U
Capucine;Caputxina;Caputxina;Caputxina;Capuchina;Capuchina;Capucine;Capuchinha;Capuchinha;Capucine;Capucine;Capucine;F
Carine;Carina;Carina;Carina;Carina;Carina;Karine;Carina;Carina;Carina;Carina;Karine;F
Carmelle;Carme;Carme;Carme;Carmen;Carme;Karmen;Carmo;Carmo;Carmel;Carmel;Carmel;F
Caroline;Carolina;Carolina;Carolina;Carolina;Carolina;Karoline;Carolina;Carolina;Caroline;Caroline;Carrie;F
Cassandre;Cassandra;Cassandra;Cassandra;Cassandra;Cassandra;Kasandra;Cassandra;Cassandra;Cassandra;Cassandra;Cassandra;F
Catherine;Catalina;Caterina;Caterina;Catalina;Catarina;Katalin;Catarina;Catarina;Catherine;Catherine;Kayla;F
Cécile;Cecília;Cecília;Cecília;Cecilia;Icía;Zezili;Cecília;Cecília;Cecilia;Cecilia;Cece;F
Cédric;Cédric;Cédric;Cédric;Cedric;Cedric;Sedrik;Cédric;Cédric;Cedric;Cedric;Cedric;M
Célestin;Celestí;Celestí;Celestí;Celestino;Celestino;Selestino;Celestino;Celestino;Celestine;Celestine;Celestine;M
Céline;Celia;Celia;Celia;Celia;Celia;Zelia;Célia;Célia;Celia;Celia;Cece;F
Cerise;Cirera;Cirera;Cirera;Cereza;Cereixa;Gerezi;Cereja;Cereja;Cherry;Cherry;Cherry;F
Césaire;Cèsar;Cèsar;Cèsar;César;César;Zesar;César;César;Caesar;Caesar;Cezar;M
Chantal;Txantal;Txantal;Txantal;Chantal;Chantal;Txantal;Chantal;Chantal;Chantal;Chantal;Chantal;F
Charles;Carles;Carles;Carles;Carlos;Carlos;Karlata;Carlos;Carlos;Charles;Charles;Charley;M
Charlotte;Carlota;Carlota;Carlota;Carlota;Carlota;Karlote;Carlota;Carlota;Charlotte;Charlotte;Lottie;F
Chloé;Cloe;Cloe;Cloe;Cloe;Cloe;Kloe;Cloe;Cloe;Chloe;Chloe;Khloe;F
Christelle;Cristina;Cristina;Cristina;Cristina;Cristina;Kristina;Cristina;Cristina;Christina;Christina;Chrissy;F
Christine;Cristina;Cristina;Cristina;Cristina;Cristina;Kristina;Cristina;Cristina;Christine;Christine;Chrissy;F
Christophe;Cristòfol;Cristòfol;Cristòfol;Cristóbal;Cristovo;Kristobal;Cristóvão;Cristóvão;Christopher;Christopher;Chris;M
Claire;Clara;Clara;Clara;Clara;Clara;Klare;Clara;Clara;Claire;Claire;Clarette;F
Clarisse;Clarissa;Clarissa;Clarissa;Clarisa;Clarisa;Klaris;Clarice;Clarice;Clarice;Clarice;Clarissa;F
Claude;Claudi;Claudi;Claudi;Claudio;Claudio;Klaudio;Cláudio;Cláudio;Claude;Claude;Claude;U
Claudine;Clàudia;Clàudia;Clàudia;Claudia;Claudia;Klaudia;Cláudia;Cláudia;Claudine;Claudine;Claudette;F
Cléandre;Cleandre;Cleandre;Cleandre;Cleandro;Cleandro;Kleandro;Cleandro;Cleandro;Cleander;Cleander;Cleander;M
Clémence;Climentça;Climentça;Climentça;Clemencia;Clemencia;Klementze;Clemência;Clemência;Clemency;Clemence;Clemence;F
Clément;Climent;Climent;Climent;Clemente;Clemente;Klemente;Clemente;Clemente;Clement;Clement;Clement;M
Clotilde;Clotilde;Clotilde;Clotilde;Clotilde;Clotilde;Klotilde;Clotilde;Clotilde;Clotilde;Clotilde;Clotilde;F
Clovis;Lluís;Lluís;Lluís;Clodoveo;Clodoveo;Koldobika;Clodoveu;Clodoveu;Clovis;Clovis;Clovis;M
Colette;Nicolasa;Nicolasa;Nicolasa;Nicolasa;Nicolasa;Nikole;Nicolau;Nicolau;Colette;Colette;Colette;F
Coline;Nicolasa;Nicolasa;Nicolasa;Nicolasa;Nicolasa;Nikole;Nicolau;Nicolau;Colleen;Colleen;Colleen;F
Constance;Constança;Constança;Constança;Constanza;Constanza;Konstantze;Constança;Constança;Constance;Constance;Connie;F
Constant;Constant;Constant;Constant;Constante;Constante;Konstantin;Constante;Constante;Constant;Constant;Constant;M
Coralie;Coràlia;Coràlia;Coràlia;Coralia;Coralia;Koralie;Corália;Corália;Coralie;Coralie;Coralie;F
Corentin;Corentí;Corentí;Corentí;Corentino;Corentino;Corentin;Corentino;Corentino;Corentin;Corentin;Corentin;M
Corinne;Corinna;Corinna;Corinna;Corina;Corina;Korine;Corina;Corina;Corinne;Corinne;Corinne;F
Cyprien;Cebrià;Cebrià;Cebrià;Cipriano;Cibrán;Kipiren;Cipriano;Cipriano;Cyprian;Cyprian;Cyprian;M
Cyril;Cirille;Cirille;Cirille;Cirilo;Cirilo;Ziril;Cirilo;Cirilo;Cyril;Cyril;Cyril;M
Cyrille;Cirille;Cirille;Cirille;Cirilo;Cirilo;Ziril;Cirilo;Cirilo;Cyril;Cyril;Cyril;U
Damien;Damià;Damià;Damià;Damián;Damián;Damian;Damião;Damião;Damian;Damian;Damien;M
Damiens;Damià;Damià;Damià;Damián;Damián;Damian;Damião;Damião;Damian;Damian;Damien;M
Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Danny;M
Darius;Darío;Darío;Darío;Darío;Darío;Dario;Dário;Dário;Darius;Darius;Darius;M
David;David;David;David;David;David;Davidi;David;David;David;David;Dave;M
Delphine;Delfina;Delfina;Delfina;Delfina;Delfina;Delfine;Delfina;Delfina;Delphine;Delphine;Delphine;F
Denis;Dionís;Dionís;Dionís;Dionisio;Dinis;Dunixi;Dionísio;Dionísio;Dennis;Dennis;Deion;M
Denise;Denisa;Denisa;Denisa;Denise;Denise;Denise;Denise;Denise;Denise;Denise;Deneen;F
Diane;Diana;Diana;Diana;Diana;Diana;Diana;Diana;Diana;Diana;Diane;Deanna;F
Didier;Desideri;Desideri;Desideri;Desiderio;Desiderio;Desiderio;Desidério;Desidério;Desiderius;Desiderius;Derek;M
Dimitri;Demetri;Demetri;Demetri;Demetrio;Demetrio;Demetrio;Demétrio;Demétrio;Demetrius;Demetrius;Dimitri;M
Dominique;Domènec;Domènec;Domènec;Domingo;Domingo;Domeka;Domingos;Domingos;Dominic;Dominic;Dominique;U
Donatien;Donacià;Donacià;Donacià;Donaciano;Donaciano;Donatiano;Donaciano;Donaciano;Donatian;Donatian;Donatien;M
Édith;Èdith;Èdith;Èdith;Edita;Edite;Edit;Edite;Edite;Edith;Edith;Edie;F
Édouard;Eduard;Eduard;Eduard;Eduardo;Eduardo;Eduard;Eduardo;Eduardo;Edward;Edward;Eddie;M
Églantine;Eglantina;Eglantina;Eglantina;Eglantina;Eglantina;Eglantine;Eglantina;Eglantina;Eglantine;Eglantine;Eglantine;F
Éléonore;Elionor;Elionor;Elionor;Leonor;Leonor;Leonor;Leonor;Leonor;Eleanor;Eleanor;Nora;F
Élie;Elies;Elies;Elies;Elías;Elías;Elias;Elias;Elias;Elijah;Eli;Eli;M
