gl;ca-ib;ca-va;ca;es;eu;pt-eu;pt-br;en-gb;en-us;en-us-af;fr;Género
Aarón;Aaró;Aaró;Aaró;Aarón;Aron;Arão;Arão;Aaron;Aaron;Aron;Aaron;M
Adela;Adela;Adela;Adela;Adela;Adele;Adela;Adela;Adela;Adela;Adelle;Adèle;F
Afonso;Alfons;Alfons;Alfons;Alfonso;Alfontso;Afonso;Afonso;Alphonse;Alphonse;Alphonzo;Alphonse;M
Alberto;Albert;Albert;Albert;Alberto;Albert;Alberto;Alberto;Albert;Albert;Al;Albert;M
Aldara;Ilduara;Ilduara;Ilduara;Ilduara;Aldara;Aldara;Aldara;Aldara;Aldara;Aldara;Aldara;F
Amalia;Amàlia;Amàlia;Amàlia;Amalia;Amale;Amália;Amália;Amalia;Amalia;Amalia;Amélie;F
Amancio;Amanci;Amanci;Amanci;Amancio;Amantzi;Amâncio;Amâncio;Amantius;Amantius;Amancio;Amance;M
Amaro;Amar;Amar;Amar;Amaro;Amara;Amaro;Amaro;Amaro;Amaro;Amaro;Amare;M
André;Andreu;Andreu;Andreu;Andrés;Ander;André;André;Andrew;Andrew;Andre;André;M
Andrea;Andrea;Andrea;Andrea;Andrea;Andere;Andreia;Andreia;Andrea;Andrea;Andreatta;Andrée;F
Anselmo;Anselm;Anselm;Anselm;Anselmo;Antselmo;Anselmo;Anselmo;Anselm;Anselm;Ansel;Anselme;M
Antón;Antoni;Antoni;Antoni;Antonio;Antoni;António;Antônio;Anthony;Anthony;Antwan;Antoine;M
Ánxela;Àngela;Àngela;Àngela;Ángela;Aingeru;Ângela;Ângela;Angela;Angela;Angie;Angèle;F
Anxo;Àngel;Àngel;Àngel;Ángel;Aingeru;Ângelo;Ângelo;Angel;Angel;Angel;Ange;M
Arsenio;Arseni;Arseni;Arseni;Arsenio;Arsenio;Arsénio;Arsênio;Arsenius;Arsenius;Arsenio;Arsène;M
Artai;Artai;Artai;Artai;Artai;Artai;Artai;Artai;Artai;Artai;Artai;Artai;M
Aurea;Àurea;Àurea;Àurea;Aurea;Aure;Áurea;Áurea;Aurea;Aurea;Aurelia;Aurée;F
Baldomero;Baldomer;Baldomer;Baldomer;Baldomero;Baldomer;Baldomero;Baldomero;Baldomero;Baldomero;Bal;Baldomère;M
Basilisa;Basilissa;Basilissa;Basilissa;Basilisa;Basilise;Basilisa;Basilisa;Basilissa;Basilissa;Basilisa;Basilisse;F
Benedita;Benedicta;Benedicta;Benedicta;Benita;Benedikte;Benedita;Benedita;Benedicta;Benedicta;Benita;Béatrice;F
Benedito;Benet;Benet;Benet;Benito;Benedit;Benedito;Benedito;Benedict;Benedict;Ben;Benoît;M
Bieita;Benedicta;Benedicta;Benedicta;Benita;Benedikte;Benedita;Benedita;Benedicta;Benedicta;Benita;Bénédicte;F
Bieito;Benet;Benet;Benet;Benito;Benedit;Benedito;Benedito;Benedict;Benedict;Ben;Benoît;M
Brais;Blai;Blai;Blai;Blas;Bladi;Brás;Brás;Blaise;Blaise;Blaze;Blaise;M
Branca;Blanca;Blanca;Blanca;Blanca;Zuria;Branca;Branca;Blanche;Blanche;Blanche;Blanche;F
Breogán;Breogán;Breogán;Breogán;Breogán;Breogan;Breogán;Breogán;Breogan;Breogan;Breogan;Breogan;M
Caridade;Caritat;Caritat;Caritat;Caridad;Karitate;Caridade;Caridade;Charity;Charity;Charity;Charité;F
Carmiña;Carme;Carme;Carme;Carmen;Karmen;Carmo;Carmo;Carmen;Carmen;Carmel;Carmine;F
Casiano;Cassià;Cassià;Cassià;Casiano;Kasian;Cassiano;Cassiano;Cassian;Cassian;Cassian;Cassien;M
Celsa;Celsa;Celsa;Celsa;Celsa;Kelsa;Celsa;Celsa;Celsa;Celsa;Celsa;Celse;F
Celso;Cels;Cels;Cels;Celso;Keltsa;Celso;Celso;Celso;Celso;Celso;Celse;M
Cibrán;Cebrià;Cebrià;Cebrià;Cipriano;Kipiren;Cipriano;Cipriano;Cyprian;Cyprian;Cyprian;Cyprien;M
Cira;Cira;Cira;Cira;Cira;Zira;Cira;Cira;Cyra;Cyra;Cyra;Cyra;F
Comba;Coloma;Coloma;Coloma;Paloma;Uxue;Pomba;Pomba;Dove;Dove;Paloma;Colombe;F
Damián;Damià;Damià;Damià;Damián;Damian;Damião;Damião;Damian;Damian;Damien;Damien;M
Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Danny;Daniel;M
David;David;David;David;David;Davidi;David;David;David;David;Dave;David;M
Diego;Dídac;Dídac;Dídac;Diego;Diegotxo;Diogo;Diogo;Diego;Diego;Diego;Diego;M
Domingo;Domènec;Domènec;Domènec;Domingo;Domeka;Domingos;Domingos;Dominic;Dominic;Dominique;Dominique;M
Dores;Dolors;Dolors;Dolors;Dolores;Nekane;Dores;Dores;Dolores;Dolores;Lola;Dolores;F
Eloi;Eloi;Eloi;Eloi;Eloy;Eloi;Elói;Elói;Eloy;Eloy;Eloy;Éloi;M
Erea;Irena;Irene;Irene;Irene;Irene;Irene;Irene;Irene;Irene;Ireen;Irène;F
Ermitas;Ermites;Ermites;Ermites;Ermitas;Ermita;Ermidas;Ermidas;Hermitage;Hermitage;Ermitas;Ermite;F
