pt-br;ca-ib;ca-va;ca;es;gl;eu;pt-eu;en_gb;en-us;en-us-af;fr;Género
Alexandre;Alexandre;Alexandre;Alexandre;Alejandro;Alexandre;Alexandre;Alexandre;Alexander;Alexander;Zavier;Alexandre;M
Aline;Aline;Aline;Aline;Aline;Aline;Alis;Aline;Aline;Aline;Alene;Aline;F
Ana;Aina;Anna;Anna;Ana;Ana;Ane;Ana;Anne;Anna;Quiana;Anne;F
André;Andreu;Andreu;Andreu;Andrés;André;Ander;André;Andrew;Andrew;Andre;André;M
Antônio;Antoni;Antoni;Antoni;Antonio;Antón;Antoni;António;Anthony;Anthony;Antwan;Antoine;M
Beatriz;Beatriu;Beatriu;Beatriu;Beatriz;Beatriz;Batirtze;Beatriz;Beatrice;Beatrice;Beatrice;Béatrice;F
Bianca;Blanca;Blanca;Blanca;Blanca;Branca;Zuria;Branca;Bianca;Bianca;Bianca;Blanche;F
Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Brune;F
Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;M
Caio;Gai;Gai;Gai;Cayo;Caio;Kaio;Caio;Caius;Caius;Caio;Caïus;M
Camila;Camila;Camila;Camila;Camila;Camila;Kamile;Camila;Camilla;Camilla;Camila;Camille;F
Carolina;Carolina;Carolina;Carolina;Carolina;Carolina;Karoline;Carolina;Caroline;Caroline;Carrie;Caroline;F
Catarina;Catalina;Caterina;Caterina;Catalina;Catarina;Katalin;Catarina;Catherine;Catherine;Kayla;Catherine;F
Cauã;Cauã;Cauã;Cauã;Cauã;Cauã;Kaua;Cauã;Kaua;Kaua;Kauan;Cauã;M
Cláudia;Clàudia;Clàudia;Clàudia;Claudia;Claudia;Klaudia;Cláudia;Claudia;Claudia;Claudette;Claude;F
Danilo;Danil;Danil;Danil;Danilo;Danilo;Danilo;Danilo;Danilo;Danilo;Danilo;Danilo;M
Davi;David;David;David;David;David;Davidi;David;David;David;Dave;David;M
Débora;Dèbora;Dèbora;Dèbora;Débora;Débora;Debore;Débora;Deborah;Deborah;Debra;Déborah;F
Diego;Dídac;Dídac;Dídac;Diego;Diego;Diegotxo;Diogo;Diego;Diego;Diego;Diego;M
Diogo;Dídac;Dídac;Dídac;Diego;Diego;Diegotxo;Diogo;Diego;Diego;Diego;Diego;M
Eduardo;Eduard;Eduard;Eduard;Eduardo;Eduardo;Eduard;Eduardo;Edward;Edward;Eddie;Édouard;M
Elaine;Helena;Elena;Elena;Elena;Helena;Elene;Helena;Elaine;Elaine;Lany;Hélène;F
Enzo;Enzo;Enzo;Enzo;Enzo;Enzo;Enzo;Enzo;Enzo;Enzo;Enzo;Enzo;M
Fabiana;Fabiana;Fabiana;Fabiana;Fabiana;Fabiana;Fabiane;Fabiana;Fabiana;Fabiana;Fabiana;Fabienne;F
