pt-eu;ca-ib;ca-va;ca;es;gl;eu;pt-br;en_gb;en-us;en-us-af;fr;Género
Adriana;Adriana;Adriana;Adriana;Adriana;Adriana;Adriane;Adriana;Adriana;Adriana;Audriana;Adrienne;F
Adriano;Adrià;Adrià;Adrià;Adrián;Adrián;Adrian;Adriano;Adrian;Adrian;Adreean;Adrien;M
Afonso;Alfons;Alfons;Alfons;Alfonso;Afonso;Alfontso;Afonso;Alphonse;Alphonse;Alphonzo;Alphonse;M
Alcina;Alcina;Alcina;Alcina;Alcina;Alcina;Alcina;Alcina;Alcina;Alcina;Alcina;Alcine;F
Alda;Alda;Alda;Alda;Alda;Alda;Alde;Alda;Alda;Alda;Alda;Alde;F
Álvaro;Àlvar;Àlvar;Àlvar;Álvaro;Álvaro;Albaro;Álvaro;Alvaro;Alvaro;Alvaro;Alvare;M
Alzira;Alzira;Alzira;Alzira;Alzira;Alzira;Alzira;Alzira;Alzira;Alzira;Alzira;Alzire;F
Amaro;Amar;Amar;Amar;Amaro;Amaro;Amara;Amaro;Amaro;Amaro;Amaro;Amare;M
Amélia;Amàlia;Amàlia;Amàlia;Amalia;Amalia;Amale;Amélia;Amelia;Amelia;Amala;Amélie;F
Américo;Amèric;Amèric;Amèric;Américo;Américo;Ameriko;Américo;Americus;Americo;Americus;Aymeric;M
Ana;Aina;Anna;Anna;Ana;Ana;Ane;Ana;Anne;Anna;Quiana;Anne;F
André;Andreu;Andreu;Andreu;Andrés;André;Ander;André;Andrew;Andrew;Andre;André;M
Andreia;Andrea;Andrea;Andrea;Andrea;Andrea;Andere;Andreia;Andrea;Andrea;Andreatta;Andrée;F
Ângela;Àngela;Àngela;Àngela;Ángela;Ánxela;Aingeru;Ângela;Angela;Angela;Angie;Angèle;F
Anselmo;Anselm;Anselm;Anselm;Anselmo;Anselmo;Antselmo;Anselmo;Anselm;Anselm;Ansel;Anselme;M
António;Antoni;Antoni;Antoni;Antonio;Antón;Antoni;Antônio;Anthony;Anthony;Antwan;Antoine;M
Artur;Artur;Artur;Artur;Arturo;Artur;Artur;Artur;Arthur;Arthur;Art;Arthur;M
Augusto;August;August;August;Augusto;Augusto;Augusto;Augusto;Augustus;August;August;Auguste;M
Aurora;Aurora;Aurora;Aurora;Aurora;Aurora;Goizargi;Aurora;Aurora;Aurora;Rora;Aurore;F
Baltasar;Baltasar;Baltasar;Baltasar;Baltasar;Baltasar;Baltasar;Baltasar;Balthazar;Balthazar;Balthazar;Balthazar;M
Bárbara;Bàrbara;Bàrbara;Bárbara;Bárbara;Bárbara;Barbara;Bárbara;Barbara;Barbara;Barbarella;Barbe;F
Bartolomeu;Bartomeu;Bartomeu;Bartomeu;Bartolomé;Bartolomeu;Bartolo;Bartolomeu;Bartholomew;Bartholomew;Bart;Barthélemy;M
Beatriz;Beatriu;Beatriu;Beatriu;Beatriz;Beatriz;Batirtze;Beatriz;Beatrice;Beatrice;Beatrice;Béatrice;F
Benedita;Benedicta;Benedicta;Benedicta;Benita;Benedita;Benedikte;Benedita;Benedicta;Benedicta;Benita;Bénédicte;F
Bento;Benet;Benet;Benet;Benito;Bieito;Benedit;Bento;Benedict;Benedict;Ben;Benoît;M
Bernardo;Bernat;Bernat;Bernat;Bernardo;Bernardo;Bernat;Bernardo;Bernard;Bernard;Bernie;Bernard;M
Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Bruna;Brune;F
Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;M
Camilo;Camil;Camil;Camil;Camilo;Camilo;Kamilo;Camilo;Camillus;Camille;Camilo;Camille;M
Carlos;Carles;Carles;Carles;Carlos;Carlos;Karlata;Carlos;Charles;Charles;Charley;Charles;M
Carolina;Carolina;Carolina;Carolina;Carolina;Carolina;Karoline;Carolina;Caroline;Caroline;Carrie;Caroline;F
Cássio;Cassi;Cassi;Cassi;Casio;Casio;Kasio;Cássio;Cassius;Cassius;Cassio;Cassie;M
Catarina;Catalina;Caterina;Caterina;Catalina;Catarina;Katalin;Catarina;Catherine;Catherine;Kayla;Catherine;F
Célia;Cèlia;Cèlia;Cèlia;Celia;Celia;Zelia;Célia;Celia;Celia;Cece;Célie;F
Celso;Cels;Cels;Cels;Celso;Celso;Keltsa;Celso;Celso;Celso;Celso;Celse;M
César;Cèsar;Cèsar;Cèsar;César;César;Zesar;César;Caesar;Caesar;Cezar;César;M
Céu;Cel;Cel;Cel;Cielo;Ceo;Ortzi;Céu;Sky;Sky;Sky;Ciel;U
Clara;Clara;Clara;Clara;Clara;Clara;Klare;Clara;Clare;Clara;Clarette;Claire;F
Constança;Constança;Constança;Constança;Constanza;Constanza;Konstantze;Constança;Constance;Constance;Connie;Constance;F
Cristóvão;Cristòfol;Cristòfol;Cristòfol;Cristóbal;Cristovo;Kristobal;Cristóvão;Christopher;Christopher;Chris;Christophe;M
Dalila;Dalila;Dalila;Dalila;Dalila;Dalila;Dalila;Dalila;Delilah;Delilah;Dalilah;Dalila;F
Daniela;Daniela;Daniela;Daniela;Daniela;Daniela;Danele;Daniela;Daniela;Daniela;Dani;Danielle;F
Débora;Dèbora;Dèbora;Dèbora;Débora;Débora;Debore;Débora;Deborah;Deborah;Debra;Déborah;F
Dinis;Dionís;Dionís;Dionís;Dionisio;Dinis;Dunixi;Diniz;Dionysus;Dionysus;Dunixi;Denis;M
Diogo;Dídac;Dídac;Dídac;Diego;Diego;Diegotxo;Diogo;Diego;Diego;Diego;Diego;M
Domingos;Domènec;Domènec;Domènec;Domingo;Domingo;Domeka;Domingos;Dominic;Dominic;Dominique;Dominique;M
Duarte;Eduard;Eduard;Eduard;Eduardo;Eduardo;Eduard;Duarte;Edward;Edward;Eddie;Édouard;M
Dulce;Dolça;Dolça;Dolça;Dulce;Dulce;Dultze;Dulce;Dulcie;Dulcie;Dulce;Dulce;F
Edgar;Edgar;Edgar;Edgar;Edgar;Edgar;Edgar;Edgar;Edgar;Edgar;Ed;Edgard;M
Eduardo;Eduard;Eduard;Eduard;Eduardo;Eduardo;Eduard;Eduardo;Edward;Edward;Eddie;Édouard;M
Elias;Elies;Elies;Elies;Elías;Elías;Elias;Elias;Elijah;Elijah;Eli;Élie;M
Eliseu;Eliseu;Eliseu;Eliseu;Eliseo;Eliseo;Eliseu;Eliseu;Elisha;Elisha;Eli;Élisée;M
Ema;Emma;Emma;Emma;Emma;Ema;Ema;Ema;Emma;Emma;Emma;Emma;F
Emília;Emília;Emília;Emília;Emilia;Emilia;Emile;Emília;Emily;Emily;Emmy;Émilie;F
Ermelinda;Ermelinda;Ermelinda;Ermelinda;Ermelinda;Ermelinda;Ermelinda;Ermelinda;Ermelinda;Ermelinda;Ermelinda;Ermelinde;F
Estevão;Esteve;Esteve;Esteve;Esteban;Estevo;Eztebe;Estevão;Stephen;Stephen;Steve;Étienne;M
Eugénia;Eugènia;Eugènia;Eugènia;Eugenia;Euxenia;Eukene;Eugênia;Eugenia;Eugenia;Genie;Eugénie;F
Evaristo;Evarist;Evarist;Evarist;Evaristo;Evaristo;Ebaristo;Evaristo;Evaristus;Evaristus;Evaristo;Évariste;M
Fábio;Fabi;Fabi;Fabi;Fabio;Fabio;Fabio;Fábio;Fabius;Fabius;Fabio;Fabien;M
Fátima;Fàtima;Fàtima;Fàtima;Fátima;Fátima;Fatima;Fátima;Fatima;Fatima;Fatima;Fatima;F
Filipa;Felipa;Felipa;Felipa;Felipa;Filipa;Felipe;Filipa;Philippa;Philippa;Pippa;Philippine;F
Filipe;Felip;Felip;Felip;Felipe;Filipe;Felipe;Felipe;Philip;Philip;Phil;Philippe;M
Florbela;Florbela;Florbela;Florbela;Florbela;Florbela;Florbela;Florbela;Florbela;Florbela;Florbela;Florbelle;F
Francisca;Francisca;Francisca;Francisca;Francisca;Francisca;Frantzeska;Francisca;Frances;Frances;Frani;Françoise;F
Francisco;Francesc;Francesc;Francesc;Francisco;Francisco;Frantzisko;Francisco;Francis;Francis;Frank;François;M
Gaspar;Gaspar;Gaspar;Gaspar;Gaspar;Gaspar;Gaspar;Gaspar;Jasper;Jasper;Gaspar;Gaspard;M
Geraldo;Gerard;Gerard;Gerard;Gerardo;Geraldo;Geraldo;Geraldo;Gerald;Gerald;Gerry;Gérald;M
Gil;Gil;Gil;Gil;Gil;Gil;Gil;Gil;Giles;Giles;Giles;Gilles;M
Glória;Glòria;Glòria;Glòria;Gloria;Gloria;Aintzane;Glória;Gloria;Gloria;Glo;Gloire;F
Gonçalo;Gonçal;Gonçal;Gonçal;Gonzalo;Gonzalo;Gontzal;Gonçalo;Gonzalo;Gonzalo;Gonzalo;Gonzalve;M
Graça;Gràcia;Gràcia;Gràcia;Gracia;Gracia;Gartze;Graça;Grace;Grace;Gracie;Grâce;F
Gregório;Gregori;Gregori;Gregori;Gregorio;Gregorio;Gregorio;Gregório;Gregory;Gregory;Greg;Grégoire;M
Helena;Elena;Elena;Elena;Elena;Helena;Elene;Helena;Helen;Helen;Yelena;Hélène;F
Henrique;Enric;Enric;Enric;Enrique;Henrique;Endrika;Henrique;Henry;Henry;Hank;Henri;M
Horácio;Horaci;Horaci;Horaci;Horacio;Horacio;Horazio;Horácio;Horace;Horace;Horacio;Horace;M
Hortênsia;Hortènsia;Hortènsia;Hortènsia;Hortensia;Hortensia;Hortentsia;Hortênsia;Hortense;Hortense;Hortensia;Hortense;F
Hugo;Hugo;Hugo;Hugo;Hugo;Hugo;Hugo;Hugo;Hugh;Hugo;Hugo;Hugues;M
Inês;Inés;Inés;Inés;Inés;Inés;Inese;Inês;Agnes;Agnes;Nessie;Agnès;F
Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Elizabeth;Elizabeth;Latoya;Isabelle;F
