ID,Grafema,IPA,Modo,V_Modo,Punto,V_Punto,Sonoridad,V_Sonoridad,Nasal,V_Nasal,Valor,Explicacion
30,p,/p/,oclusiva,8,bilabial,6,sorda,0,no,0,14,"8 (oclusiva) + 6 (bilabial) = 14"
30,pp,/p/,oclusiva,8,bilabial,6,sorda,0,no,0,14,"Geminada, mismos rasgos que /p/"
31,b,/b/,oclusiva,8,bilabial,6,sonora,1,no,0,15,"8 (oclusiva) + 6 (bilabial) + 1 (sonora) = 15"
31,bb,/b/,oclusiva,8,bilabial,6,sonora,1,no,0,15,"Geminada, mismos rasgos que /b/"
32,t,/t/,oclusiva,8,alveolar,4,sorda,0,no,0,12,"8 (oclusiva) + 4 (alveolar) = 12"
32,tt,/t/,oclusiva,8,alveolar,4,sorda,0,no,0,12,"Geminada, mismos rasgos que /t/"
33,d,/d/,oclusiva,8,alveolar,4,sonora,1,no,0,13,"8 (oclusiva) + 4 (alveolar) + 1 (sonora) = 13"
33,dd,/d/,oclusiva,8,alveolar,4,sonora,1,no,0,13,"Geminada, mismos rasgos que /d/"
34,c,/k/,oclusiva,8,velar,2,sorda,0,no,0,10,"8 (oclusiva) + 2 (velar) = 10"
34,kk,/k/,oclusiva,8,velar,2,sorda,0,no,0,10,"Geminada, mismos rasgos que /k/"
34,k,/k/,oclusiva,8,velar,2,sorda,0,no,0,10,"Mismos rasgos que /k/ velar sorda"
34,qu,/k/,oclusiva,8,velar,2,sorda,0,no,0,10,"Grafía distinta, mismos rasgos que /k/"
35,g,/g/,oclusiva,8,velar,2,sonora,1,no,0,11,"8 (oclusiva) + 2 (velar) + 1 (sonora) = 11"
35,gu,/g/,oclusiva,8,velar,2,sonora,1,no,0,11,"Mismos rasgos que /g/ velar sonora"
35,gg,/g/,oclusiva,8,velar,2,sonora,1,no,0,11,"Geminada, mismos rasgos que /g/"
36,m,/m/,nasal,9,bilabial,6,sonora,1,sí,1,17,"9 (nasal) + 6 (bilabial) + 1 (sonora) + 1 (nasal) = 17"
36,mm,/m/,nasal,9,bilabial,6,sonora,1,sí,1,17,"Geminada, mismos rasgos que /m/"
37,nn,/n/,nasal,9,alveolar,4,sonora,1,sí,1,15,"9 (nasal) + 4 (alveolar) + 1 (sonora) + 1 (nasal) = 15"
37,n,/n/,nasal,9,alveolar,4,sonora,1,sí,1,15,"Mismos rasgos que /n/ alveolar nasal"
38,nh,/ɲ/,nasal,9,palatal,3,sonora,1,sí,1,14,"9 (nasal) + 3 (palatal) + 1 (sonora) + 1 (nasal) = 14"
38,ñ,/ɲ/,nasal,9,palatal,3,sonora,1,sí,1,14,"Mismos rasgos que /ɲ/ palatal nasal"
38,ny,/ɲ/,nasal,9,palatal,3,sonora,1,sí,1,14,"Grafía distinta, mismos rasgos que /ɲ/"
39,ng,/ŋ/,nasal,9,velar,2,sonora,1,sí,1,13,"9 (nasal) + 2 (velar) + 1 (sonora) + 1 (nasal) = 13"
39,nk,/ŋ/,nasal,9,velar,2,sonora,1,sí,1,13,"Mismos rasgos que /ŋ/ velar nasal"
40,f,/f/,fricativa,7,labiodental,5,sorda,0,no,0,12,"7 (fricativa) + 5 (labiodental) = 12"
40,ff,/f/,fricativa,7,labiodental,5,sorda,0,no,0,12,"Geminada, mismos rasgos que /f/"
40,ph,/f/,fricativa,7,labiodental,5,sorda,0,no,0,12,"Grafía distinta, mismos rasgos que /f/"
41,vv,/v/,fricativa,7,labiodental,5,sonora,1,no,0,13,"7 (fricativa) + 5 (labiodental) + 1 (sonora) = 13"
41,v,/v/,fricativa,7,labiodental,5,sonora,1,no,0,13,"Mismos rasgos que /v/ labiodental sonora"
42,x,/s/,fricativa,7,alveolar,4,sorda,0,no,0,11,"7 (fricativa) + 4 (alveolar) = 11"
42,ç,/s/,fricativa,7,alveolar,4,sorda,0,no,0,11,"Mismos rasgos que /s/ alveolar sorda"
42,c,/s/,fricativa,7,alveolar,4,sorda,0,no,0,11,"/s/ antes de e/i, mismos rasgos alveolares"
42,s,/s/,fricativa,7,alveolar,4,sorda,0,no,0,11,"Fricativa alveolar sorda estándar"
42,ss,/s/,fricativa,7,alveolar,4,sorda,0,no,0,11,"Geminada, mismos rasgos que /s/"
43,z,/z/,fricativa,7,alveolar,4,sonora,1,no,0,12,"7 (fricativa) + 4 (alveolar) + 1 (sonora) = 12"
43,s,/z/,fricativa,7,alveolar,4,sonora,1,no,0,12,"/s/ sonora entre vocales en francés"
43,x,/z/,fricativa,7,alveolar,4,sonora,1,no,0,12,"/z/ en ex- portugués, mismos rasgos"
44,ch,/ʃ/,fricativa,7,palatal,3,sorda,0,no,0,10,"7 (fricativa) + 3 (palatal) = 10"
44,sh,/ʃ/,fricativa,7,palatal,3,sorda,0,no,0,10,"Mismos rasgos que /ʃ/ palatal sorda"
44,x,/ʃ/,fricativa,7,palatal,3,sorda,0,no,0,10,"/ʃ/ en catalán, mismos rasgos"
45,ge,/ʒ/,fricativa,7,palatal,3,sonora,1,no,0,11,"7 (fricativa) + 3 (palatal) + 1 (sonora) = 11"
45,j,/ʒ/,fricativa,7,palatal,3,sonora,1,no,0,11,"Mismos rasgos que /ʒ/ palatal sonora"
45,gi,/ʒ/,fricativa,7,palatal,3,sonora,1,no,0,11,"Grafía distinta, mismos rasgos que /ʒ/"
46,c,/θ/,fricativa,7,dental,4,sorda,0,no,0,11,"7 (fricativa) + 4 (dental) = 11"
46,z,/θ/,fricativa,7,dental,4,sorda,0,no,0,11,"Mismos rasgos que /θ/ dental sorda"
47,d͡z,/ð/,fricativa,7,dental,4,sonora,1,no,0,12,"7 (fricativa) + 4 (dental) + 1 (sonora) = 12"
47,dh,/ð/,fricativa,7,dental,4,sonora,1,no,0,12,"Mismos rasgos que /ð/ dental sonora"
48,g,/x/,fricativa,7,velar,2,sorda,0,no,0,9,"7 (fricativa) + 2 (velar) = 9"
48,j,/x/,fricativa,7,velar,2,sorda,0,no,0,9,"/x/ velar sorda en español, mismos rasgos"
49,h,/h/,fricativa,7,glotal,1,sorda,0,no,0,8,"7 (fricativa) + 1 (glotal) = 8"
50,gh,/ɣ/,fricativa,7,velar,2,sonora,1,no,0,10,"7 (fricativa) + 2 (velar) + 1 (sonora) = 10"
51,r,/ʁ/,fricativa,7,uvular,2,sonora,1,no,0,10,"7 (fricativa) + 2 (uvular) + 1 (sonora) = 10"
52,rh,/χ/,fricativa,7,uvular,2,sorda,0,no,0,9,"7 (fricativa) + 2 (uvular) = 9"
53,β,/β/,fricativa,7,bilabial,6,sonora,1,no,0,14,"7 (fricativa) + 6 (bilabial) + 1 (sonora) = 14"
54,ɸ,/ɸ/,fricativa,7,bilabial,6,sorda,0,no,0,13,"7 (fricativa) + 6 (bilabial) = 13"
55,ṣ,/ʂ/,fricativa,7,retrofleja,3,sorda,0,no,0,10,"7 (fricativa) + 3 (retrofleja) = 10"
56,ẓ,/ʐ/,fricativa,7,retrofleja,3,sonora,1,no,0,11,"7 (fricativa) + 3 (retrofleja) + 1 (sonora) = 11"
57,tch,/t͡ʃ/,africada,8,postalveolar,3,sorda,0,no,0,11,"8 (africada) + 3 (postalveolar) = 11"
57,ch,/t͡ʃ/,africada,8,postalveolar,3,sorda,0,no,0,11,"Mismos rasgos que /t͡ʃ/ sorda"
57,tx,/t͡ʃ/,africada,8,postalveolar,3,sorda,0,no,0,11,"Grafía distinta, mismos rasgos que /t͡ʃ/"
58,dj,/d͡ʒ/,africada,8,postalveolar,3,sonora,1,no,0,12,"8 (africada) + 3 (postalveolar) + 1 (sonora) = 12"
58,dg,/d͡ʒ/,africada,8,postalveolar,3,sonora,1,no,0,12,"Mismos rasgos que /d͡ʒ/ sonora"
58,j,/d͡ʒ/,africada,8,postalveolar,3,sonora,1,no,0,12,"Grafía inglesa, mismos rasgos que /d͡ʒ/"
59,r,/ɾ/,vibrante,7,alveolar,4,sonora,1,no,0,12,"7 (vibrante) + 4 (alveolar) + 1 (sonora) = 12"
60,rr,/r/,vibrante,7,alveolar,4,sonora,1,no,0,12,"Vibrante múltiple, mismos rasgos de modo/punto/sonoridad"
60,r,/r/,vibrante,7,alveolar,4,sonora,1,no,0,12,"/r/ inicial, mismos rasgos que vibrante múltiple"
61,r̃,/ɾ̃/,vibrante,7,alveolar,4,sonora,1,sí,1,13,"7 (vibrante) + 4 (alveolar) + 1 (sonora) + 1 (nasal) = 13"
62,l,/l/,lateral,7,alveolar,4,sonora,1,no,0,12,"7 (lateral) + 4 (alveolar) + 1 (sonora) = 12"
62,ll,/l/,lateral,7,alveolar,4,sonora,1,no,0,12,"Geminada, mismos rasgos que /l/"
