ID;Grafema;IPA;Descripcion;Modo;Punto;Sonoridad;Nasal;Valor

30;p;/p/;oclusiva bilabial sorda;oclusiva;bilabial;sorda;no;21
30;pp;/p/;oclusiva bilabial sorda;oclusiva;bilabial;sorda;no;21

31;b;/b/;oclusiva bilabial sonora;oclusiva;bilabial;sonora;no;22
31;bb;/b/;oclusiva bilabial sonora;oclusiva;bilabial;sonora;no;22

32;t;/t/;oclusiva dental/alveolar sorda;oclusiva;alveolar;sorda;no;17
32;tt;/t/;oclusiva dental/alveolar sorda;oclusiva;alveolar;sorda;no;17

33;d;/d/;oclusiva dental/alveolar sonora;oclusiva;alveolar;sonora;no;18
33;dd;/d/;oclusiva dental/alveolar sonora;oclusiva;alveolar;sonora;no;18

34;c;/k/;oclusiva velar sorda;oclusiva;velar;sorda;no;15
34;k;/k/;oclusiva velar sorda;oclusiva;velar;sorda;no;15
34;qu;/k/;oclusiva velar sorda;oclusiva;velar;sorda;no;15
34;kk;/k/;oclusiva velar sorda;oclusiva;velar;sorda;no;15

35;g;/g/;oclusiva velar sonora;oclusiva;velar;sonora;no;16
35;gu;/g/;oclusiva velar sonora;oclusiva;velar;sonora;no;16
35;gg;/g/;oclusiva velar sonora;oclusiva;velar;sonora;no;16

36;m;/m/;nasal bilabial;nasal;bilabial;sonora;sí;22
36;mm;/m/;nasal bilabial;nasal;bilabial;sonora;sí;22

37;n;/n/;nasal alveolar;nasal;alveolar;sonora;sí;20
37;nn;/n/;nasal alveolar;nasal;alveolar;sonora;sí;20

38;ñ;/ɲ/;nasal palatal;nasal;palatal;sonora;sí;18
38;ny;/ɲ/;nasal palatal (cat);nasal;palatal;sonora;sí;18
38;nh;/ɲ/;nasal palatal (pt);nasal;palatal;sonora;sí;18

39;ng;/ŋ/;nasal velar;nasal;velar;sonora;sí;17
39;nk;/ŋ/;nasal velar;nasal;velar;sonora;sí;17

40;f;/f/;fricativa labiodental sorda;fricativa;labiodental;sorda;no;17
40;ff;/f/;fricativa labiodental sorda;fricativa;labiodental;sorda;no;17
