ID;IPA;Descripcion;Altura;Posterioridad;Redondez;Nasal;Valor
1;/a/;vocal abierta central;3;2;0;0;36
2;/e/;vocal media-cerrada anterior;2;1;0;0;34
3;/ɛ/;vocal media-abierta anterior;2;1;0;0;34
4;/i/;vocal cerrada anterior alta;1;1;0;0;31
5;/o/;vocal media-cerrada posterior;2;3;1;0;23
6;/ɔ/;vocal media-abierta posterior;2;3;1;0;23
7;/u/;vocal cerrada posterior alta;1;3;1;0;21
8;/ə/;vocal neutra schwa (cat/balear);2;2;0;0;30
9;/ɐ/;vocal central abierta (port/br);3;2;0;0;36
10;/ɨ/;vocal cerrada central (port);1;2;0;0;30
11;/y/;vocal cerrada anterior redondeada (fr);1;1;1;0;30
12;/ø/;vocal media-cerrada anterior redondeada (fr);2;1;1;0;32
13;/œ/;vocal media-abierta anterior redondeada (fr);2;1;1;0;32
14;/ã/;vocal nasal /a/ (port/br/fr);3;2;0;1;37
15;/ẽ/;vocal nasal /e/ (port/fr);2;1;0;1;35
16;/ĩ/;vocal nasal /i/ (port/br);1;1;0;1;32
17;/õ/;vocal nasal /o/ (port/br/fr);2;3;1;1;24
18;/ũ/;vocal nasal /u/ (port/br);1;3;1;1;22
19;/ɜ/;vocal media central (inglés "bird");2;2;0;0;30
20;/ɒ/;vocal abierta posterior (inglés "lot");3;3;1;0;24
21;/j/;semivocal palatal;1;1;0;0;28
22;/w/;semivocal labiovelar;1;3;1;0;19
23;/j̃/;semivocal palatal nasal;1;1;0;1;29
24;/w̃/;semivocal labiovelar nasal;1;3;1;1;20

