ID,Grafema,IPA,Altura,V_Altura,Posterioridad,V_Posterioridad,Redondez,V_Redondez,Valor,Explicacion
1,a,/a/,abierta,20,central,3,no,2,25,"20 (abierta) + 3 (central) + 2 (no redondeada) = 25"
1,á,/a/,abierta,20,central,3,no,2,25,"Mismo valor que /a/: altura, posterioridad y redondez iguales"
1,à,/a/,abierta,20,central,3,no,2,25,"Mismo valor que /a/: solo cambia el acento gráfico"
1,â,/a/,abierta,20,central,3,no,2,25,"Mismo valor que /a/: misma vocal fonética"
2,e,/e/,media-cerrada,18,anterior,4,no,2,24,"18 (media-cerrada) + 4 (anterior) + 2 (no redondeada) = 24"
2,é,/e/,media-cerrada,18,anterior,4,no,2,24,"Mismo valor que /e/: acento no cambia rasgos vocálicos"
2,ê,/e/,media-cerrada,18,anterior,4,no,2,24,"Mismo valor que /e/: misma altura, anterioridad y redondez"
3,é,/ɛ/,media-abierta,18,anterior,4,no,2,24,"18 (media-abierta) + 4 (anterior) + 2 (no redondeada) = 24"
3,è,/ɛ/,media-abierta,18,anterior,4,no,2,24,"Mismo valor que /ɛ/: solo cambia el acento"
3,ê,/ɛ/,media-abierta,18,anterior,4,no,2,24,"Mismo valor que /ɛ/: misma configuración articulatoria"
4,i,/i/,cerrada,15,anterior,4,no,2,21,"15 (cerrada) + 4 (anterior) + 2 (no redondeada) = 21"
4,í,/i/,cerrada,15,anterior,4,no,2,21,"Mismo valor que /i/: acento no afecta rasgos"
4,ï,/i/,cerrada,15,anterior,4,no,2,21,"Mismo valor que /i/: diéresis no cambia la vocal base"
5,eau,/o/,media-cerrada,18,posterior,2,sí,1,21,"18 (media-cerrada) + 2 (posterior) + 1 (redondeada) = 21"
5,o,/o/,media-cerrada,18,posterior,2,sí,1,21,"Mismo valor que /o/: misma altura, posterioridad y redondez"
5,ó,/o/,media-cerrada,18,posterior,2,sí,1,21,"Mismo valor que /o/: acento no cambia rasgos"
5,ô,/o/,media-cerrada,18,posterior,2,sí,1,21,"Mismo valor que /o/: circunflejo no cambia rasgos"
6,ó,/ɔ/,media-abierta,18,posterior,2,sí,1,21,"18 (media-abierta) + 2 (posterior) + 1 (redondeada) = 21"
6,ò,/ɔ/,media-abierta,18,posterior,2,sí,1,21,"Mismo valor que /ɔ/: solo cambia el acento"
7,u,/u/,cerrada,15,posterior,2,sí,1,18,"15 (cerrada) + 2 (posterior) + 1 (redondeada) = 18"
7,ú,/u/,cerrada,15,posterior,2,sí,1,18,"Mismo valor que /u/: acento no cambia rasgos"
7,ü,/u/,cerrada,15,posterior,2,sí,1,18,"Mismo valor que /u/: diéresis no cambia rasgos vocálicos"
8,a,/ə/,media,16,central,3,no,2,21,"16 (media) + 3 (central) + 2 (no redondeada) = 21"
8,e,/ə/,media,16,central,3,no,2,21,"Mismo valor que schwa: misma altura, centralidad y redondez"
9,a,/ɐ/,abierta,20,central,3,no,2,25,"20 (abierta) + 3 (central) + 2 (no redondeada) = 25"
10,i,/ɨ/,cerrada,15,central,3,no,2,20,"15 (cerrada) + 3 (central) + 2 (no redondeada) = 20"
11,u,/y/,cerrada,15,anterior,4,sí,1,20,"15 (cerrada) + 4 (anterior) + 1 (redondeada) = 20"
12,eu,/ø/,media-cerrada,18,anterior,4,sí,1,23,"18 (media-cerrada) + 4 (anterior) + 1 (redondeada) = 23"
12,œu,/ø/,media-cerrada,18,anterior,4,sí,1,23,"Mismo valor que /ø/: grafía distinta, mismos rasgos"
13,œ,/œ/,media-abierta,18,anterior,4,sí,1,23,"18 (media-abierta) + 4 (anterior) + 1 (redondeada) = 23"
13,oe,/œ/,media-abierta,18,anterior,4,sí,1,23,"Mismo valor que /œ/: misma vocal, grafía alternativa"
14,ã,/ã/,abierta,20,central,3,no,2,26,"20 (abierta) + 3 (central) + 2 (no redondeada) + 1 (nasal) = 26"
14,am,/ã/,abierta,20,central,3,no,2,26,"Mismo valor que /ã/: nasal /a/ con misma configuración"
14,an,/ã/,abierta,20,central,3,no,2,26,"Mismo valor que /ã/: nasal /a/ en francés"
15,em,/ẽ/,media,16,anterior,4,no,2,23,"16 (media) + 4 (anterior) + 2 (no redondeada) + 1 (nasal) = 23"
15,en,/ẽ/,media,16,anterior,4,no,2,23,"Mismo valor que /ẽ/: nasal /e/ en francés"
16,im,/ĩ/,cerrada,15,anterior,4,no,2,22,"15 (cerrada) + 4 (anterior) + 2 (no redondeada) + 1 (nasal) = 22"
16,in,/ĩ/,cerrada,15,anterior,4,no,2,22,"Mismo valor que /ĩ/: nasal /i/ en francés"
17,õ,/õ/,media,16,posterior,2,sí,1,20,"16 (media) + 2 (posterior) + 1 (redondeada) + 1 (nasal) = 20"
17,om,/õ/,media,16,posterior,2,sí,1,20,"Mismo valor que /õ/: nasal /o/ en portugués"
17,on,/õ/,media,16,posterior,2,sí,1,20,"Mismo valor que /õ/: nasal /o/ en francés"
18,um,/ũ/,cerrada,15,posterior,2,sí,1,19,"15 (cerrada) + 2 (posterior) + 1 (redondeada) + 1 (nasal) = 19"
18,un,/ũ/,cerrada,15,posterior,2,sí,1,19,"Mismo valor que /ũ/: nasal /u/ en francés/portugués"
19,er,/ɜː/,media,16,central,3,no,2,21,"16 (media) + 3 (central) + 2 (no redondeada) = 21"
19,ir,/ɜː/,media,16,central,3,no,2,21,"Mismo valor que /ɜː/: grafía distinta, misma vocal"
19,ur,/ɜː/,media,16,central,3,no,2,21,"Mismo valor que /ɜː/: misma configuración articulatoria"
20,o,/ɒ/,abierta,20,posterior,2,sí,1,23,"20 (abierta) + 2 (posterior) + 1 (redondeada) = 23"
21,i,/j/,cerrada,15,anterior,4,no,2,21,"Semivocal palatal: mismos rasgos de altura/posterioridad/redondez que /i/"
21,y,/j/,cerrada,15,anterior,4,no,2,21,"Mismo valor que /j/: grafía alternativa"
