Prefijo,Tipo,Activo
a,auténtico,True
an,auténtico,True
anti,auténtico,True
contra,auténtico,True
des,auténtico,True
dis,auténtico,True
de,auténtico,True
ex,auténtico,True
extra,auténtico,True
in,auténtico,True
im,auténtico,True
i,auténtico,True
ante,auténtico,True
circun,auténtico,True
circum,auténtico,True
entre,auténtico,True
inter,auténtico,True
infra,auténtico,True
pos,auténtico,True
post,auténtico,True
sub,auténtico,True
so,auténtico,True
super,auténtico,True
sobre,auténtico,True
trans,auténtico,True
tras,auténtico,True
ultra,auténtico,True
vice,auténtico,True
archi,auténtico,True
re,auténtico,True
bi,auténtico,True
bis,auténtico,True
mini,auténtico,True
mono,auténtico,True
mon,auténtico,True
multi,auténtico,True
pluri,auténtico,True
semi,auténtico,True
uni,auténtico,True
pre,auténtico,True
pro,auténtico,True
retro,auténtico,True
en,auténtico,True
em,auténtico,True
es,auténtico,True

acui,prefijoide,True
ad,prefijoide,True
anglo,prefijoide,True
audio,prefijoide,True
centi,prefijoide,True
cis,prefijoide,True
cito,prefijoide,True
co,prefijoide,True
com,prefijoide,True
con,prefijoide,True
cuadri,prefijoide,True
dento,prefijoide,True
di,prefijoide,True
eco,prefijoide,True
electro,prefijoide,True
equi,prefijoide,True
fago,prefijoide,True
ferro,prefijoide,True
galo,prefijoide,True
hemi,prefijoide,True
infra,prefijoide,True
intra,prefijoide,True
mili,prefijoide,True
mio,prefijoide,True
nano,prefijoide,True
octo,prefijoide,True
per,prefijoide,True
pluri,prefijoide,True
proto,prefijoide,True
tri,prefijoide,True
uni,prefijoide,True

a,prefijoide,True
an,prefijoide,True
acanto,prefijoide,True
acro,prefijoide,True
adeno,prefijoide,True
aero,prefijoide,True
agro,prefijoide,True
alo,prefijoide,True
ana,prefijoide,True
andro,prefijoide,True
anemo,prefijoide,True
anfi,prefijoide,True
angio,prefijoide,True
antropo,prefijoide,True
arqueo,prefijoide,True
astro,prefijoide,True
auto,prefijoide,True
baro,prefijoide,True
biblio,prefijoide,True
bio,prefijoide,True
cardio,prefijoide,True
cata,prefijoide,True
cefalo,prefijoide,True
clepto,prefijoide,True
cosmo,prefijoide,True
crio,prefijoide,True
cripto,prefijoide,True
cromo,prefijoide,True
crono,prefijoide,True
dactilo,prefijoide,True
deca,prefijoide,True
demo,prefijoide,True
dermato,prefijoide,True
dermo,prefijoide,True
dia,prefijoide,True
dis,prefijoide,True
dodeca,prefijoide,True
eco,prefijoide,True
ecto,prefijoide,True
endo,prefijoide,True
eno,prefijoide,True
eritro,prefijoide,True
etno,prefijoide,True
exo,prefijoide,True
filo,prefijoide,True
fisio,prefijoide,True
fito,prefijoide,True
fono,prefijoide,True
foto,prefijoide,True
galacto,prefijoide,True
gastro,prefijoide,True
geo,prefijoide,True
geronto,prefijoide,True
giga,prefijoide,True
gineco,prefijoide,True
gluco,prefijoide,True
grafo,prefijoide,True
helio,prefijoide,True
hemato,prefijoide,True
hemo,prefijoide,True
hepato,prefijoide,True
hepta,prefijoide,True
hetero,prefijoide,True
hexa,prefijoide,True
hidro,prefijoide,True
higro,prefijoide,True
hiper,prefijoide,True
hipo,prefijoide,True
holo,prefijoide,True
homo,prefijoide,True
iso,prefijoide,True
kili,prefijoide,True
leuco,prefijoide,True
lipo,prefijoide,True
lito,prefijoide,True
macro,prefijoide,True
mega,prefijoide,True
meso,prefijoide,True
meta,prefijoide,True
micro,prefijoide,True
miria,prefijoide,True
mono,prefijoide,True
morfo,prefijoide,True
necro,prefijoide,True
nefro,prefijoide,True
neo,prefijoide,True
neumo,prefijoide,True
neuro,prefijoide,True
oligo,prefijoide,True
onco,prefijoide,True
onto,prefijoide,True
ornito,prefijoide,True
osteo,prefijoide,True
paleo,prefijoide,True
pan,prefijoide,True
para,prefijoide,True
pato,prefijoide,True
penta,prefijoide,True
peri,prefijoide,True
piro,prefijoide,True
podo,prefijoide,True
poli,prefijoide,True
proto,prefijoide,True
psico,prefijoide,True
quiro,prefijoide,True
rino,prefijoide,True
sarco,prefijoide,True
seudo,prefijoide,True
sin,prefijoide,True
taqui,prefijoide,True
tecno,prefijoide,True
tele,prefijoide,True
tera,prefijoide,True
termo,prefijoide,True
tetra,prefijoide,True
tri,prefijoide,True
xeno,prefijoide,True
xero,prefijoide,True
xilo,prefijoide,True
zoo,prefijoide,True
