prefijo;tipo;origen;ca-es
a-;autèntic;grec;True
anti-;autèntic;grec;True
ante-;autèntic;llatí;True
auto-;autèntic;grec;True
bi-;autèntic;llatí;True
co-;autèntic;llatí;True
contra-;autèntic;llatí;True
des-;autèntic;llatí;True
dis-;autèntic;llatí;True
ex-;autèntic;llatí;True
extra-;autèntic;llatí;True
hiper-;autèntic;grec;True
hipo-;autèntic;grec;True
in-;autèntic;llatí;True
im-;autèntic;llatí;True
il-;autèntic;llatí;True
ir-;autèntic;llatí;True
inter-;autèntic;llatí;True
intra-;autèntic;llatí;True
macro-;prefijoide;grec;True
micro-;prefijoide;grec;True
mono-;prefijoide;grec;True
multi-;prefijoide;llatí;True
neo-;prefijoide;grec;True
peri-;prefijoide;grec;True
pluri-;prefijoide;llatí;True
post-;autèntic;llatí;True
pre-;autèntic;llatí;True
pro-;prefijoide;grec/llatí;True
pseudo-;prefijoide;grec;True
re-;autèntic;llatí;True
retro-;autèntic;llatí;True
semi-;autèntic;llatí;True
sobre-;autèntic;llatí;True
sub-;autèntic;llatí;True
super-;autèntic;llatí;True
supra-;prefijoide;llatí;True
tele-;prefijoide;grec;True
trans-;autèntic;llatí;True
tri-;prefijoide;llatí;True
ultra-;autèntic;llatí;True
uni-;prefijoide;llatí;True


