Prefijo;Tipo;Origen;eu
a;auténtico;Griego;1
acanto;auténtico;Griego;1
acro;auténtico;Griego;1
aero;auténtico;Griego;1
agro;auténtico;Griego;1
alo;auténtico;Griego;1
an;auténtico;Griego;1
ana;auténtico;Griego;1
andro;auténtico;Griego;1
anemo;auténtico;Griego;1
anfi;auténtico;Griego;1
angio;auténtico;Griego;1
anglo;auténtico;Inglés;1
anti;auténtico;Griego;1
antropo;auténtico;Griego;1
arqueo;auténtico;Griego;1
astro;auténtico;Griego;1
audio;auténtico;Latino;1
auto;auténtico;Griego;1
baro;auténtico;Griego;1
bi;auténtico;Latino;1
biblio;auténtico;Griego;1
bio;auténtico;Griego;1
cardio;auténtico;Griego;1
cata;auténtico;Griego;1
cefalo;auténtico;Griego;1
centi;auténtico;Latino;1
cis;auténtico;Latino;1
cito;auténtico;Griego;1
clepto;auténtico;Griego;1
co;auténtico;Latino;1
contra;auténtico;Latino;1
cosmo;auténtico;Griego;1
crio;auténtico;Griego;1
cripto;auténtico;Griego;1
cromo;auténtico;Griego;1
crono;auténtico;Griego;1
cuadri;auténtico;Latino;1
dactilo;auténtico;Griego;1
deca;auténtico;Griego;1
demo;auténtico;Griego;1
dento;auténtico;Latino;1
dermato;auténtico;Griego;1
dermo;auténtico;Griego;1
di;auténtico;Latino;1
dia;auténtico;Griego;1
dodeca;auténtico;Griego;1
eco;auténtico;Griego;1
ecto;auténtico;Griego;1
electro;auténtico;Griego;1
endo;auténtico;Griego;1
eno;auténtico;Griego;1
entre;auténtico;Latino;1
equi;auténtico;Latino;1
eritro;auténtico;Griego;1
etno;auténtico;Griego;1
ex;auténtico;Latino;1
exo;auténtico;Griego;1
extra;auténtico;Latino;1
fago;auténtico;Griego;1
ferro;auténtico;Latino;1
filo;auténtico;Griego;1
fisio;auténtico;Griego;1
fito;auténtico;Griego;1
fono;auténtico;Griego;1
foto;auténtico;Griego;1
galacto;auténtico;Griego;1
gastro;auténtico;Griego;1
geo;auténtico;Griego;1
geronto;auténtico;Griego;1
giga;auténtico;Griego;1
gineco;auténtico;Griego;1
gluco;auténtico;Griego;1
grafo;auténtico;Griego;1
helio;auténtico;Griego;1
hemato;auténtico;Griego;1
hemo;auténtico;Griego;1
hepato;auténtico;Griego;1
hepta;auténtico;Griego;1
hetero;auténtico;Griego;1
hexa;auténtico;Griego;1
hidro;auténtico;Griego;1
higro;auténtico;Griego;1
hiper;auténtico;Griego;1
hipo;auténtico;Griego;1
holo;auténtico;Griego;1
homo;auténtico;Griego;1
inter;auténtico;Latino;1
intra;auténtico;Latino;1
iso;auténtico;Griego;1
kilo;auténtico;Griego;1
mega;auténtico;Griego;1
meta;auténtico;Griego;1
micro;auténtico;Griego;1
mili;auténtico;Latino;1
mio;auténtico;Griego;1
miria;auténtico;Griego;1
mono;auténtico;Griego;1
morfo;auténtico;Griego;1
multi;auténtico;Latino;1
nano;auténtico;Griego;1
necro;auténtico;Griego;1
nefro;auténtico;Griego;1
neo;auténtico;Griego;1
neumo;auténtico;Griego;1
neuro;auténtico;Griego;1
octo;auténtico;Latino;1
oligo;auténtico;Griego;1
onco;auténtico;Griego;1
onto;auténtico;Griego;1
ornito;auténtico;Griego;1
osteo;auténtico;Griego;1
paleo;auténtico;Griego;1
pan;auténtico;Griego;1
para;auténtico;Griego;1
pato;auténtico;Griego;1
penta;auténtico;Griego;1
per;auténtico;Latino;1
peri;auténtico;Griego;1
piro;auténtico;Griego;1
podo;auténtico;Griego;1
poli;auténtico;Griego;1
post;auténtico;Latino;1
pre;auténtico;Latino;1
pro;auténtico;Latino;1
psico;auténtico;Griego;1
quiro;auténtico;Griego;1
re;auténtico;Latino;1
retro;auténtico;Latino;1
rino;auténtico;Griego;1
sarco;auténtico;Griego;1
semi;auténtico;Latino;1
seudo;auténtico;Griego;1
sin;auténtico;Griego;1
sobre;auténtico;Latino;1
sub;auténtico;Latino;1
super;auténtico;Latino;1
taqui;auténtico;Griego;1
tecno;auténtico;Griego;1
tele;auténtico;Griego;1
tera;auténtico;Griego;1
termo;auténtico;Griego;1
tetra;auténtico;Griego;1
trans;auténtico;Latino;1
tri;auténtico;Latino;1
xeno;auténtico;Griego;1
xero;auténtico;Griego;1
xilo;auténtico;Griego;1
zoo;auténtico;Griego;1
