Prefijo;Tipo;Origen;Notas;Activo;es;ca;ca-va;ca-ib;gl;eu;pt-eu;pt-br;fr;en-gb
acanto;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
acro;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
adeno;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
aero;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
agro;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
alo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
ana;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
andro;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
anemo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
anfi;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
angio;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
aniso;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
antropo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
arqueo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
arterio;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
arterio-;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
arterio(o);formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
arterio-;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
arterio;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
arterio-;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
arterio(o);formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
arterio-;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
arterio;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
arterio-;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
arterio(o);formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
astro;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
audio;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
baro;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
biblio;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
bio;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
blasto;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
bradi;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
braqui;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
brio;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
cardio;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
cario;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
cata;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
cefalo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
centi;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
ciano;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
cine;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
cloro;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
cocc(i);formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
cocc-;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
coco;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
colo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
cono;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
corno;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
cráneo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
crio;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
cripto;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
cromo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
crono;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
cuadri;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
cúbito;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
dactilo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
deca;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
demo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
dendro;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
dento;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
dermato;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
dermo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
dia;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
di;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
dodeca;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
eco;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
ecto;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
electro;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
endo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
eno;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
entero;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
eritro;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
espiro;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
estereo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
etno;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
exo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
equi;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1

fago;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
ferro;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
filo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
fisio;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
fito;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
fono;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
foto;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
galacto;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
gastro;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
geo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
geronto;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
giga;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
gineco;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
gluco;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
grafo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
helio;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
hemato;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
hemo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
hepato;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
