Prefijo;Tipo;Origen;Notas;Activo;es;ca;ca-va;ca-ib;gl;eu;pt-eu;pt-br;fr;en-gb
a;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;0
ante;auténtico;Latino;;1;1;1;1;1;1;0;1;1;1;0
anti;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
archi;auténtico;Griego;;1;1;0;0;0;1;0;1;1;1;1
auto;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
bi;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
bis;auténtico;Latino;;1;1;0;0;0;1;0;1;1;1;1
circum;auténtico;Latino;;1;1;0;0;0;0;0;1;1;1;1
circun;auténtico;Latino;;1;1;0;0;0;0;0;1;1;1;1
co;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
con;auténtico;Latino;;1;1;0;0;0;1;0;1;1;1;0
contra;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
de;auténtico;Latino;;1;1;0;0;0;1;0;1;1;1;0
des;auténtico;Latino;;1;1;1;1;1;1;0;1;1;1;0
dis;auténtico;Latino;;1;1;1;1;1;1;0;1;1;1;0
en;auténtico;Latino;;1;1;0;0;0;1;0;1;1;1;0
em;auténtico;Latino;;1;1;0;0;0;1;0;1;1;1;0
es;auténtico;Latino;;1;1;0;0;0;1;0;1;1;1;0
ex;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
extra;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
entre;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;0
fore;auténtico;Inglés;;1;0;0;0;0;0;0;0;0;0;1
geo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
hiper;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
hipo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
in;auténtico;Latino;;1;1;1;1;1;1;0;1;1;1;0
im;auténtico;Latino;;1;1;1;1;1;1;0;1;1;1;0
il;auténtico;Latino;;1;1;1;1;1;1;0;1;1;1;0
ir;auténtico;Latino;;1;1;1;1;1;1;0;1;1;1;0
inter;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
intra;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
infra;auténtico;Latino;;1;1;0;0;0;1;0;1;1;1;1
mono;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
multi;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
pan;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
per;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
post;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
pre;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
pro;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
proto;auténtico;Griego;*Només autèntic en castellà i llengües romàniques*;1;1;0;0;0;1;0;1;1;1;0
re;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
retro;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
semi;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
sobre;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
sub;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
super;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
so;auténtico;Latino;;1;1;0;0;0;0;0;1;1;1;0
trans;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
tras;auténtico;Latino;;1;1;0;0;0;0;0;1;1;1;0

acanto;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
acro;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
ad;auténtico;Latino;;1;1;0;0;0;1;0;1;1;1;0
aero;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
agro;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
alo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
ana;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
andro;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
anemo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
anfi;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
angio;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
anglo;auténtico;Inglés;;1;1;1;1;1;1;1;1;1;1;1
an;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
antropo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
arqueo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
astro;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
audio;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
baro;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
biblio;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
bio;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
cardio;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
cata;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
cefalo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
centi;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
clepto;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
cis;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
cito;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
com;auténtico;Latino;;1;1;0;0;0;1;0;1;1;1;0
cosmo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
crio;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
cripto;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
cromo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
crono;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
cuadri;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
dactilo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
deca;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
demo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
dento;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
dermato;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
dermo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
dia;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
di;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
dodeca;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
eco;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
ecto;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
electro;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
endo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
eno;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
eritro;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
etno;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
exo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
equi;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
fago;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
