idFonema;IPA;ASCII;Tipo;Subtipo;EsVocal;EsDiptongo;EsHiato;EsConsonante;Lenguas;Descripcion
1;/i/;I;VOCAL;cerrada-anterior;1;0;0;0;ES,CA,GL,EU,PT,EN,FR;vocal cerrada anterior
2;/y/;Y;VOCAL;cerrada-anterior-redondeada;1;0;0;0;FR;vocal cerrada anterior redondeada
3;/ɨ/;I_BAR;VOCAL;cerrada-central;1;0;0;0;UNIV;vocal cerrada central
4;/ʉ/;U_BAR;VOCAL;cerrada-central-redondeada;1;0;0;0;UNIV;vocal cerrada central redondeada
5;/ɯ/;M_BAR;VOCAL;cerrada-posterior-no-redondeada;1;0;0;0;UNIV;vocal cerrada posterior no redondeada
6;/u/;U;VOCAL;cerrada-posterior;1;0;0;0;ES,CA,GL,EU,PT,EN,FR;vocal cerrada posterior

7;/iː/;I_L;VOCAL;cerrada-anterior-larga;1;0;0;0;UNIV;vocal cerrada anterior larga
8;/yː/;Y_L;VOCAL;cerrada-anterior-redondeada-larga;1;0;0;0;FR;vocal cerrada anterior redondeada larga
9;/ɨː/;I_BAR_L;VOCAL;cerrada-central-larga;1;0;0;0;UNIV;vocal cerrada central larga
10;/ʉː/;U_BAR_L;VOCAL;cerrada-central-redondeada-larga;1;0;0;0;UNIV;vocal cerrada central redondeada larga
11;/ɯː/;M_BAR_L;VOCAL;cerrada-posterior-no-redondeada-larga;1;0;0;0;UNIV;vocal cerrada posterior no redondeada larga
12;/uː/;U_L;VOCAL;cerrada-posterior-larga;1;0;0;0;EN,UNIV;vocal cerrada posterior larga

13;/e/;E;VOCAL;media-anterior;1;0;0;0;ES,CA,GL,EU,PT,FR;vocal media anterior
14;/ø/;OE;VOCAL;media-anterior-redondeada;1;0;0;0;FR;vocal media anterior redondeada
15;/ɛ/;E_AB;VOCAL;media-anterior-abierta;1;0;0;0;FR,CA,GL;vocal media anterior abierta

16;/eː/;E_L;VOCAL;media-anterior-larga;1;0;0;0;UNIV;vocal media anterior larga
17;/øː/;OE_L;VOCAL;media-anterior-redondeada-larga;1;0;0;0;FR;vocal media anterior redondeada larga
18;/ɛː/;E_AB_L;VOCAL;media-anterior-abierta-larga;1;0;0;0;UNIV;vocal media anterior abierta larga

19;/ə/;SCHWA;VOCAL;central-media;1;0;0;0;EN,FR,BAL;schwa
20;/ɘ/;E_BAR;VOCAL;central-media-cerrada;1;0;0;0;UNIV;vocal central media cerrada
21;/ɜ/;E_INV;VOCAL;central-media-abierta;1;0;0;0;EN;vocal central media abierta

22;/əː/;SCHWA_L;VOCAL;central-media-larga;1;0;0;0;UNIV;schwa larga
23;/ɘː/;E_BAR_L;VOCAL;central-media-cerrada-larga;1;0;0;0;UNIV;vocal central media cerrada larga
24;/ɜː/;E_INV_L;VOCAL;central-media-abierta-larga;1;0;0;0;EN;vocal central media abierta larga

25;/o/;O;VOCAL;media-posterior;1;0;0;0;ES,CA,GL,EU,PT,FR;vocal media posterior
26;/ɔ/;O_AB;VOCAL;media-posterior-abierta;1;0;0;0;CA,GL,FR;vocal media posterior abierta
27;/ʌ/;V_INVERT;VOCAL;media-posterior-central;1;0;0;0;EN;vocal posterior media central
28;/ɤ/;GAMMA;VOCAL;media-posterior-no-redondeada;1;0;0;0;UNIV;vocal media posterior no redondeada

29;/oː/;O_L;VOCAL;media-posterior-larga;1;0;0;0;UNIV;vocal media posterior larga
30;/ɔː/;O_AB_L;VOCAL;media-posterior-abierta-larga;1;0;0;0;UNIV;vocal media posterior abierta larga
31;/ʌː/;V_INVERT_L;VOCAL;media-posterior-central-larga;1;0;0;0;UNIV;vocal posterior media central larga
32;/ɤː/;GAMMA_L;VOCAL;media-posterior-no-redondeada-larga;1;0;0;0;UNIV;vocal media posterior no redondeada larga

33;/a/;A;VOCAL;abierta-central;1;0;0;0;ES,CA,GL,EU,PT,FR;vocal abierta central
34;/æ/;AE;VOCAL;abierta-anterior;1;0;0;0;EN;vocal abierta anterior
35;/ɐ/;A_BAR;VOCAL;abierta-central-relajada;1;0;0;0;UNIV;vocal abierta central relajada

36;/aː/;A_L;VOCAL;abierta-central-larga;1;0;0;0;UNIV;vocal abierta central larga
37;/æː/;AE_L;VOCAL;abierta-anterior-larga;1;0;0;0;UNIV;vocal abierta anterior larga
38;/ɐː/;A_BAR_L;VOCAL;abierta-central-relajada-larga;1;0;0;0;UNIV;vocal abierta central relajada larga

39;/ɑ/;A_POST;VOCAL;abierta-posterior;1;0;0;0;EN,FR;vocal abierta posterior
40;/ɒ/;O_INV;VOCAL;abierta-posterior-redondeada;1;0;0;0;EN;vocal abierta posterior redondeada

41;/ɑː/;A_POST_L;VOCAL;abierta-posterior-larga;1;0;0;0;EN;vocal abierta posterior larga
42;/ɒː/;O_INV_L;VOCAL;abierta-posterior-redondeada-larga;1;0;0;0;UNIV;vocal abierta posterior redondeada larga

43;/ã/;A_N;VOCAL;nasal;1;0;0;0;FR,PT;vocal nasal A
44;/ẽ/;E_N;VOCAL;nasal;1;0;0;0;FR,PT;vocal nasal E
45;/ĩ/;I_N;VOCAL;nasal;1;0;0;0;PT;vocal nasal I
46;/õ/;O_N;VOCAL;nasal;1;0;0;0;FR,PT;vocal nasal O
47;/ũ/;U_N;VOCAL;nasal;1;0;0;0;PT;vocal nasal U
48;/œ̃/;OE_N;VOCAL;nasal;1;0;0;0;FR;vocal nasal OE
49;/ɑ̃/;A_POST_N;VOCAL;nasal;1;0;0;0;FR;vocal nasal A posterior



60;/ja/;J_A;DIPTONGO;creciente-palatal;1;1;0;0;ES,CA,GL,PT,EN;diptongo creciente con semivocal palatal
61;/jæ/;J_AE;DIPTONGO;creciente-palatal;1;1;0;0;EN;diptongo creciente palatal
62;/jɑ/;J_A_POST;DIPTONGO;creciente-palatal;1;1;0;0;EN;diptongo creciente palatal
63;/jɒ/;J_O_INV;DIPTONGO;creciente-palatal;1;1;0;0;EN;diptongo creciente palatal
64;/je/;J_E;DIPTONGO;creciente-palatal;1;1;0;0;ES,CA,GL,PT,FR;diptongo creciente palatal
65;/jø/;J_OE;DIPTONGO;creciente-palatal;1;1;0;0;FR;diptongo creciente palatal
66;/jɛ/;J_E_AB;DIPTONGO;creciente-palatal;1;1;0;0;FR,CA;diptongo creciente palatal
67;/jə/;J_SCHWA;DIPTONGO;creciente-palatal;1;1;0;0;EN;diptongo creciente palatal
68;/jɜ/;J_E_INV;DIPTONGO;creciente-palatal;1;1;0;0;EN;diptongo creciente palatal
69;/ji/;J_I;DIPTONGO;creciente-palatal;1;1;0;0;UNIV;diptongo creciente palatal
70;/jy/;J_Y;DIPTONGO;creciente-palatal;1;1;0;0;FR;diptongo creciente palatal
71;/jɨ/;J_I_BAR;DIPTONGO;creciente-palatal;1;1;0;0;UNIV;diptongo creciente palatal
72;/jʉ/;J_U_BAR;DIPTONGO;creciente-palatal;1;1;0;0;UNIV;diptongo creciente palatal
73;/ju/;J_U;DIPTONGO;creciente-palatal;1;1;0;0;EN,PT;diptongo creciente palatal

74;/wa/;W_A;DIPTONGO;creciente-labiovelar;1;1;0;0;ES,CA,GL,PT,EN;diptongo creciente labiovelar
